subnum,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q41_First Click,Q41_Last Click,Q41_Page Submit,Q41_Click Count,Q1 RP1,Q2 RP2,Q3 RP3,Q4 RP4,Q5 RP5,Q6 RP6,Q7 RP7,Q8 RN1,Q9 RN2,Q10 RN3,Q11 RN4,Q12 RN5,Q13 RN6,Q14 RN7,Q15 LP1,Q16 LP2,Q17 LP3,Q18 LP4,Q19 LP5,Q20 LP6,Q21 LP7,Q22 LN1,Q23 LN2,Q24 LN3,Q25 LN4,Q26 LN5,Q27 LN6,Q28 LN7,Q42_First Click,Q42_Last Click,Q42_Page Submit,Q42_Click Count,age,gender,gender_3_TEXT,tech,comments,hitId,assignmentID,workerId,country,confirmation_code
subnum,Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Slow




 Fast






+



Loading all the content...




This should take less than 1 minute



Instructions: Place your left and right index fingers on the E and I keys. At the top of the screen are 2 categories. In the task, words and/or images appear in the middle of the screen. 

When the word/image belongs to the category on the left, press the E key as fast as you can. When it belongs to the category on the right, press the I key as fast as you can. If you make an error, a red X will appear. Correct errors by hitting the other key.




Please try to go as fast as you can while making as few errors as possible.




When you are ready, please press the [Space] bar to begin.




Part 1 of 7




x","Concrete




	Abstract






+



Loading all the content...




This should take less than 1 minute



Now, the categories have changed, but the rules remain the same. Please try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 2 of 7




x","Slow
	or
	Concrete




	Fast
	or
	Abstract






+



Loading all the content...




This should take less than 1 minute



Now the four categories you saw separately will appear together. Remember, each word/image fits in only one of the four categories. The label/item colors may help you identify the appropriate category.




Use the E key for the two categories on the left and the I key for the two categories on the right. Again, try to go as fast as possible without making mistakes. Correct errors by hitting the other key. Practice this combination now. 




When you are ready, please press the [Space] bar to begin.




Part 3 of 7




x","Slow
	or
	Concrete




	Fast
	or
	Abstract






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it. Again, try to go as fast as possible without making mistakes.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 4 of 7




x","Fast




	Slow






+



Loading all the content...




This should take less than 1 minute



Notice the categories from before have switched sides. Please practice this new configuration now. Remember to try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key. 




When you are ready, please press the [Space] bar to begin.




Part 5 of 7




x","Fast
	or
	Concrete




	Slow
	or
	Abstract






+



Loading all the content...




This should take less than 1 minute



Notice the four categories have been combined again, but in a new configuration. Please practice this combination now, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 6 of 7




x","Fast
	or
	Concrete




	Slow
	or
	Abstract






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 7 of 7




x","Slow




 Fast






+



Loading all the content...




This should take less than 1 minute



Instructions: Place your left and right index fingers on the E and I keys. At the top of the screen are 2 categories. In the task, words and/or images appear in the middle of the screen. 

When the word/image belongs to the category on the left, press the E key as fast as you can. When it belongs to the category on the right, press the I key as fast as you can. If you make an error, a red X will appear. Correct errors by hitting the other key.




Please try to go as fast as you can while making as few errors as possible.




When you are ready, please press the [Space] bar to begin.




Part 1 of 7




x","Abstract




	Concrete






+



Loading all the content...




This should take less than 1 minute



Now, the categories have changed, but the rules remain the same. Please try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 2 of 7




x","Slow
	or
	Abstract




	Fast
	or
	Concrete






+



Loading all the content...




This should take less than 1 minute



Now the four categories you saw separately will appear together. Remember, each word/image fits in only one of the four categories. The label/item colors may help you identify the appropriate category.




Use the E key for the two categories on the left and the I key for the two categories on the right. Again, try to go as fast as possible without making mistakes. Correct errors by hitting the other key. Practice this combination now. 




When you are ready, please press the [Space] bar to begin.




Part 3 of 7




x","Slow
	or
	Abstract




	Fast
	or
	Concrete






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it. Again, try to go as fast as possible without making mistakes.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 4 of 7




x","Fast




	Slow






+



Loading all the content...




This should take less than 1 minute



Notice the categories from before have switched sides. Please practice this new configuration now. Remember to try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key. 




When you are ready, please press the [Space] bar to begin.




Part 5 of 7




x","Fast
	or
	Abstract




	Slow
	or
	Concrete






+



Loading all the content...




This should take less than 1 minute



Notice the four categories have been combined again, but in a new configuration. Please practice this combination now, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 6 of 7




x","Fast
	or
	Abstract




	Slow
	or
	Concrete






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 7 of 7




x","Fast




 Slow






+



Loading all the content...




This should take less than 1 minute



Instructions: Place your left and right index fingers on the E and I keys. At the top of the screen are 2 categories. In the task, words and/or images appear in the middle of the screen. 

When the word/image belongs to the category on the left, press the E key as fast as you can. When it belongs to the category on the right, press the I key as fast as you can. If you make an error, a red X will appear. Correct errors by hitting the other key.




Please try to go as fast as you can while making as few errors as possible.




When you are ready, please press the [Space] bar to begin.




Part 1 of 7




x","Abstract




	Concrete






+



Loading all the content...




This should take less than 1 minute



Now, the categories have changed, but the rules remain the same. Please try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 2 of 7




x","Fast
	or
	Abstract




	Slow
	or
	Concrete






+



Loading all the content...




This should take less than 1 minute



Now the four categories you saw separately will appear together. Remember, each word/image fits in only one of the four categories. The label/item colors may help you identify the appropriate category.




Use the E key for the two categories on the left and the I key for the two categories on the right. Again, try to go as fast as possible without making mistakes. Correct errors by hitting the other key. Practice this combination now. 




When you are ready, please press the [Space] bar to begin.




Part 3 of 7




x","Fast
	or
	Abstract




	Slow
	or
	Concrete






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it. Again, try to go as fast as possible without making mistakes.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 4 of 7




x","Slow




	Fast






+



Loading all the content...




This should take less than 1 minute



Notice the categories from before have switched sides. Please practice this new configuration now. Remember to try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key. 




When you are ready, please press the [Space] bar to begin.




Part 5 of 7




x","Slow
	or
	Abstract




	Fast
	or
	Concrete






+



Loading all the content...




This should take less than 1 minute



Notice the four categories have been combined again, but in a new configuration. Please practice this combination now, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 6 of 7




x","Slow
	or
	Abstract




	Fast
	or
	Concrete






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 7 of 7




x","Fast




 Slow






+



Loading all the content...




This should take less than 1 minute



Instructions: Place your left and right index fingers on the E and I keys. At the top of the screen are 2 categories. In the task, words and/or images appear in the middle of the screen. 

When the word/image belongs to the category on the left, press the E key as fast as you can. When it belongs to the category on the right, press the I key as fast as you can. If you make an error, a red X will appear. Correct errors by hitting the other key.




Please try to go as fast as you can while making as few errors as possible.




When you are ready, please press the [Space] bar to begin.




Part 1 of 7




x","Concrete




	Abstract






+



Loading all the content...




This should take less than 1 minute



Now, the categories have changed, but the rules remain the same. Please try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 2 of 7




x","Fast
	or
	Concrete




	Slow
	or
	Abstract






+



Loading all the content...




This should take less than 1 minute



Now the four categories you saw separately will appear together. Remember, each word/image fits in only one of the four categories. The label/item colors may help you identify the appropriate category.




Use the E key for the two categories on the left and the I key for the two categories on the right. Again, try to go as fast as possible without making mistakes. Correct errors by hitting the other key. Practice this combination now. 




When you are ready, please press the [Space] bar to begin.




Part 3 of 7




x","Fast
	or
	Concrete




	Slow
	or
	Abstract






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it. Again, try to go as fast as possible without making mistakes.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 4 of 7




x","Slow




	Fast






+



Loading all the content...




This should take less than 1 minute



Notice the categories from before have switched sides. Please practice this new configuration now. Remember to try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key. 




When you are ready, please press the [Space] bar to begin.




Part 5 of 7




x","Slow
	or
	Concrete




	Fast
	or
	Abstract






+



Loading all the content...




This should take less than 1 minute



Notice the four categories have been combined again, but in a new configuration. Please practice this combination now, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 6 of 7




x","Slow
	or
	Concrete




	Fast
	or
	Abstract






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 7 of 7




x",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your age? (Please enter a number below),Gender - Selected Choice,Gender - Other (please specify) - Text,Please let us know what (if any) technical difficulties you experienced during the study. Leave the box blank if you did not experience any technical difficulties.,Do you have and additional comments about this experiment?,hitId,assignmentID,workerId,country,confirmation_code
1,12/23/20 8:21,12/23/20 8:24,0,100,136,1,12/23/20 8:24,R_2pKU1rMqE5F0QbQ,anonymous,EN,0,0,8.673,0,,,,,,,,,,,,,,,"22X152,20C44,17X78,15X194,16C34,19C45,24C133,21C89,22C83,25X71,17C80,18X88,15C95,26X105,18C66,20C76,23X114,21X89,24X115,26X94,END","12C134,2X118,7X103,9C47,14X124,6X184,5X155,5C130,10X94,4C57,3X141,2X131,1X123,11C56,8C130,6C24,11X155,10X99,13C87,13C107,END","4X158,26C68,6C13,21C59,5C36,18X147,12X2067,19X69,8C59,22C64,1X180,24C60,13X87,20C63,10C71,16X125,3C5,15X83,14C68,25C88,END","13C120,24C87,13C93,16C12,6X154,23X6073,8C63,17X108,2X115,23X160,11C55,15X158,7C102,22C91,5X134,26X145,4X100,21C40,2X111,19X97,11C42,17C8,9C18,16C73,10C85,20X184,3X137,22X155,12X112,19X154,1X154,25C128,6X137,18X156,12C8,25X98,5C86,15X128,14C100,24C114,END","23X191,16C69,15X88,24C92,26X147,18C52,16X136,20C71,23X250,16C127,22X163,22X175,18X158,21X140,23X146,25X178,15X159,17C73,16C125,21X172,18C47,17X128,15X90,18X101,22X154,25X128,19C69,19C143,26C12,20C56,24C99,24X128,20C95,26C5,21C52,19C99,25X134,17C83,25X369,24X124,END","13C200,22X140,10C78,17C131,3C103,23X101,6X144,26X143,11C83,18C119,7X175,16C128,12C125,24C11,5X102,19C99,8C138,15X148,4X185,25X131,END","12C145,24X150,10C123,25X171,1X85,17C107,4C118,23C112,10X139,21X117,2X126,19C88,14C121,24X164,14X101,19X117,13C85,22X181,11C63,15C114,8X134,20X153,9X147,20X118,3C96,15C96,5C9,23C1,7C38,18C51,7X148,26X65,1X165,21C106,2X149,17C39,11X68,26X79,6X89,16C58,END",,,,,,,,8.734,14.561,35.51,3,49,1,,,im explicitly biased against the i key,,,anonymized,,3957749
2,12/23/20 8:22,12/23/20 8:24,0,100,105,1,12/23/20 8:24,R_1hEDYJ0rfHaxn10,anonymous,EN,0,0,19.828,0,,,,,,,,"21X946,26X73,22C30,19X55,18C64,22X89,24X94,16X51,16X68,21X79,20C57,17C67,24X80,20C48,17C71,23X83,19C87,25X82,15C71,26X80,END","14C143,14C66,5X84,12C55,5X82,1X83,13C54,11C73,3X73,7X81,12C72,4X79,10C47,9C82,7C80,1X113,2X53,6X105,8C45,11C89,END","13C8,18C91,5C62,15C65,9X75,19C56,11C69,22X87,3C3896,23X124,1X65,20C59,8C61,26X109,6X63,25X76,2X96,17C58,14C83,24X104,END","9C47,23X93,13C649,24X47,3X35,16C21,6X62,22X34,12C60,25X73,11C39,20C72,7X73,21X60,1X53,26X56,14C68,19C52,4X70,18X64,6C44,24X84,5X80,25X75,4C61,15C57,2C74,17C59,8C76,17X64,13X59,19X67,12C45,21X72,1C59,16X66,10X67,15X61,11X40,22C76,END","15C79,17C63,18C50,21X59,19C68,24X62,24X103,21X66,20C46,23X79,15C51,16X53,16X64,24C52,19X77,20C51,25C76,16X64,22C80,25C69,18X87,26C74,26X285,18C80,16C88,23C58,23X68,19C55,18C57,25C53,20C80,17C52,26X87,15C51,22C972,24C82,22C87,17X101,21C88,22C104,END","14C7,22X79,10X80,21X69,12C72,16X68,6X80,20C49,8C85,24C73,2X100,23C72,9C76,18X111,5X98,15X63,4X102,19X82,3X88,25C50,END","13C38,23X68,7X71,16X480,13C106,19C87,1X114,23X90,14C82,24C69,10C80,22C99,9C97,20X132,11C57,18X101,12C81,17X117,7X96,18X80,6X418,25C103,2X88,15X80,12C72,21C90,4X100,26C56,8C75,26C62,5X139,19X57,8C66,20X86,4X83,21C52,3X68,16X73,2X52,22C53,END",,,,,,,,,,,,,,,0,0,3.919,0,37,1,,,,,,anonymized,,3099350
3,12/23/20 8:23,12/23/20 8:25,0,100,135,1,12/23/20 8:25,R_2uZE5VjT6mIk37B,anonymous,EN,0,0,10.377,0,"24C1864,15X92,18C56,25C185,26C27,24X240,18X118,21C142,20X98,20C28,25C117,22X248,17X115,17X252,26C82,19X134,21X141,15C145,23C156,16X138,END","8C4,11X303,5X527,10X99,11X277,8X247,6C113,9X151,14C49,12X221,7X127,4C19,2X45,3X253,1C49,3X285,5X269,10X217,13C20,END","14C658,16C79,8X264,19X80,9C328,25X233,6X166,20C16,12X249,23C34,2X185,17C8,4C4,18C42,7C40,22X185,5X169,24X168,13C35,21C13,END","6X659,20C30,1C52,23C150,8C30,24C37,9C92,17X79,9X219,15X104,4C5,20C84,5C50,22X201,10C73,26C74,12C25,21C61,3X225,23X226,14C52,26C21,12X270,22C69,5X165,19C7,3C49,15C30,7C71,17C28,2X109,18C91,8C170,18X148,13X244,16X144,7C35,25X254,11X280,24C44,END","20C334,19C107,19C13,24X89,25C41,17X268,24X88,22X61,23C40,25C44,21C45,20C235,22X105,15X242,16C44,18X290,23X118,17X210,22X158,15X264,17C82,25X158,21C56,18X201,26X145,26C29,16X278,23X175,25C48,23C81,21C83,18C143,18C31,20C5,26X167,16X186,19C38,24X180,15X204,20C10,END","5X590,22C98,14X163,17C21,13C6,20C23,7X187,24X163,6C27,25C43,9X225,19C3,1C57,21C34,10X240,18X270,2C101,26X297,8X238,16C50,END","3X614,18C18,1C165,19C151,2C181,21X238,13C126,26X203,12C174,20C29,9C18,23X157,6X286,17X243,9C53,15C25,10C76,22X89,4C59,23C28,2C37,16X223,11C30,20C24,8C7,25X159,10X810,24X203,1C57,18C134,14C17,26C94,12C113,24X118,4X205,15X193,7X100,19X184,5C74,25C21,END",,,,,,,,,,,,,,,,,,,,,,2.359,10.393,13.095,4,30,1,,nothing ,good,,,anonymized,,5648504
4,12/23/20 8:21,12/23/20 8:25,0,100,238,1,12/23/20 8:25,R_125WuY0pE1R7QtT,anonymous,EN,4.602,4.602,7.412,1,"18C1032,21C629,15C572,23C582,19C588,26C741,22C748,24C677,25C565,15X885,17C556,22C661,16C524,20C574,17C547,25X702,21C541,16C573,23C683,20C605,END","7C1782,4C763,12C958,9C763,11C828,1X1887,6C684,4C661,2C933,13X957,5C772,8C789,14C574,10C533,11C564,2C677,5C653,3C708,14C621,13C620,END","5C591,16C628,13X798,18X661,1C619,17C780,7C509,25C580,14C676,24X719,10C498,19C741,6C540,21C589,9C588,20C709,3C589,23C892,12C524,26X1011,END","1C846,19C590,9C757,25C587,7C686,18C619,8C708,22C589,12C590,21C661,14C756,22C661,3C604,16C821,11C604,20C628,9X852,19X773,4C523,20X1077,11C637,23C725,3X1212,26C663,13C538,15X748,2C621,17X852,10X813,16C643,2X996,24X925,6C566,24X1027,13C669,25C587,5C573,18C556,1X924,21X965,END","16X1055,19C404,22X717,23C534,18X748,20C285,25C597,16C771,15C646,23X867,26C622,18C668,15C485,24C732,18C664,17C742,26C716,24C710,23C730,19C661,20C549,19C477,15C515,21X797,22C652,20C597,20C532,21X756,26C549,23C612,25C621,25C621,21C651,21C508,17C613,17X819,24C708,19C590,16C654,22X1012,END","12X1232,19C460,7X980,17X950,1C717,25C580,8X1052,26X1501,11C740,15X940,6X1006,24X884,5C1187,16X1029,4X1395,21C900,13X989,23X709,14X725,18C719,END","6C1214,23C1156,3C854,19C779,7X1229,21C763,11X1197,23X1502,4X1092,20C661,14C899,20C924,10C612,21C821,1X1013,16C453,5X909,16C668,5C795,22C549,12X1100,26X1189,8X1053,15C893,2X780,18X708,13C701,25C1029,8C796,17C673,2X782,26C380,14C645,25X653,9X720,18C619,3C877,24C829,12X1389,19C516,END",,,,,,,,,,,,,,,,,,,,,,4.465,9.232,9.413,3,28,1,,,,,,anonymized,,6776093
5,12/23/20 8:22,12/23/20 8:25,0,100,217,1,12/23/20 8:25,R_yUb1E0pA8xMGc6Z,anonymous,EN,0,0,27.963,0,,,,,,,,,,,,,,,,,,,,,,"16X600,26X594,21X296,15C98,17C356,23X462,25X309,19C87,17C285,25X462,19C133,23X458,18C117,24X449,18C98,20C402,16X1049,22C214,22C1222,21C951,END","12C1924,14X2010,10X888,8C156,6X280,3X134,1X2088,8C12,14X186,11C65,2X746,4X185,7X199,9C50,13C158,5X307,3X167,10C3,7X6131,4X138,END","11X530,26X301,5X141,18C60,10C197,19C185,2X567,17C4296,9C132,20C176,12X259,22C44,1X148,24X160,6X128,15C15,8C108,21X283,4X134,23X127,END","3X685,24X202,14C23,19C154,12C118,25X285,2C112,23C105,14X317,23X276,7C118,21C92,5C79,16X265,9C108,26X207,9X311,26X183,7C81,15X313,10C44,17C76,2X199,20X338,11C88,18C73,8C76,16C72,1X195,19X250,6X192,17X241,10C68,18C108,13C115,22X244,4C82,25C92,5C110,22C110,END","26C627,15X279,19X124,22C18,24C134,25C153,18C6283,21C127,21C85,18X204,23X336,20X204,20X124,16X130,15C131,17C113,21X358,24C129,24C141,26C33,25C108,22C130,19X280,18C95,17C83,20C97,19C109,21X330,23C93,22C91,16X208,15C83,19C139,25X266,17X234,16C110,23X323,18X219,26X308,22C86,END","6C966,26C39,2X394,25C20,10C115,19X282,3X108,20X119,14X322,15X256,11X296,21C125,5X253,16C141,13X308,18X288,12X290,22C119,1X306,23X352,END","7C505,26X321,4X227,23X280,9C96,24C86,6X207,15C104,3C78,19C109,8X293,22C72,11C99,20X248,4C53,20C86,10X223,25C68,2X200,21X244,14C39,16X249,10X350,18X232,8X291,21C103,12C93,17X211,5C79,22X324,6X220,25X252,3X238,26X247,12C95,19X228,1C76,17C62,13X287,16X230,END",3.167,9.203,11.328,4,39,2,,no,no,,,anonymized,,5001989
6,12/23/20 8:23,12/23/20 8:26,0,100,133,1,12/23/20 8:26,R_1Dq0xnwGvu9CZ1t,anonymous,EN,0,0,8.94,0,"21X3067,25C110,19X169,23C50,17C82,26C351,16C219,22X99,15C19,18C41,20X133,25X98,24C14,24X192,21C1,23X201,19C116,20X141,15X171,18C111,END","1C270,7X129,12X162,14C18,2C53,4X118,9X140,10X220,11X201,5C182,5X161,12C69,9X192,6C8,6C120,8X229,13X160,3X121,7X151,11C130,END","6C179,15X130,10X190,19C80,8C140,23X210,4C129,16X169,12C121,17C191,3X161,25C10,2C129,18X190,14C78,24X200,5C134,26C77,11C10,22X250,END","12X240,22X180,11X180,24C4,5C97,25C80,4C48,21C130,4C130,19X201,7X99,15X121,9C107,23C111,3C79,26C69,3C170,25C19,9X191,17X209,13X429,21X181,7C50,26C139,14C10,20X130,8X270,23X210,2X60,19C138,12C39,18C100,14C189,20X220,10C70,16X90,1C192,18X169,6X211,17C4,END","21C250,26X159,18C119,22X22,25X199,16C19,21X130,15C69,17C11,25C50,23X199,25C199,15C51,17X199,18X239,19C11,21C59,15C109,17X208,25X135,19X135,24C80,24C130,22X130,26C221,23X210,16C300,20X270,16X240,19C9,18X230,20X142,23X210,24X199,26X141,20X159,20C40,19C49,24C301,22C471,END","8X259,17X190,13C21,16X210,6C189,20C40,1C79,24X131,2C171,23C191,5C179,25X169,12C70,15C1,14C20,18C8,4C2,21X236,10C130,22X109,END","4C270,19C90,2C81,21C108,9C50,20X230,10X202,23C189,4X159,24X159,14C159,24C179,11C3,26C126,7X170,15C10,8X189,16X191,13X219,18X231,12X149,22C120,6X202,20C58,3C130,25X159,14X210,15C11,5C129,18C159,3C19,22X179,6X239,17C29,10C90,21X190,1C41,17C67,11C29,23C101,END",,,,,,,,,,,,,,,,,,,,,,3.534,13.594,19.531,4,45,1,,,nice survey,,,anonymized,,4398688
7,12/23/20 8:21,12/23/20 8:26,0,100,272,1,12/23/20 8:26,R_sFEyy19ucckcJP3,anonymous,EN,0,0,7.1,0,"17C1373,26C983,21C805,25C637,21C761,23C536,20C649,15C529,24C690,16C602,22C714,18X1155,16C706,25C693,19C626,26C830,22C716,18X920,20C646,17C659,END","6X4128,2C818,5C828,1X1533,7C781,14C951,11C780,8C697,3C1058,13C1223,4C840,4C668,5C1265,9C815,12C715,8C975,13X1325,6C703,10C974,9C690,END","3C3217,24C985,6C951,16C746,2C704,18C625,8C964,15C731,13C1007,17C831,14C1052,23C817,12C692,21C872,5C807,20C739,7C703,22C692,9C771,25C594,END","3X3885,20C969,13C998,23C658,4X1065,20C796,11C691,15C952,7X1243,26C739,6C746,21C737,2C784,25C638,1C722,25C741,10C579,18X929,3X1179,18X1074,8C568,16C637,9C933,23C733,10C646,26C573,7C693,24C854,9C711,22C648,12C611,17C736,14X1053,19C872,5C748,15C728,14C823,24C652,2C692,19C705,END","17C2957,17C1044,15C862,25C657,22C1065,26C497,23C648,16C679,20C717,15C755,16C639,21X1296,26C677,26C569,20C636,22C749,24C784,22C588,18C703,21C871,19X1131,20C739,19C784,18C637,18C566,24C717,23C658,25C558,17C840,15X1135,17C672,24C703,23C750,21C693,25C602,20C672,21C798,16C900,19C930,26C753,END","5X8200,23C826,3C722,26X815,9X1312,21C727,4C748,17C728,13X1514,22C897,8X805,15C826,1X2011,18C796,2C1027,19C1187,10C2247,16C1616,14C1234,24C894,END","8X1833,19X1526,13C1413,25C885,12X1404,19C1705,5C1446,17C1008,6C905,20C1109,12X1335,25X1228,14C1402,15C919,4C1198,26C1152,9X1573,23X842,7X614,24C387,3X386,23X402,1X391,16C377,11C345,17X310,9C255,21C298,5X288,24X306,2X226,22X278,6X244,18C173,14C260,15C201,7X218,21X241,10C304,16C475,END",,,,,,,,,,,,,,,,,,,,,,1.901,4.936,6.828,3,40,1,,,,,,anonymized,,8391902
8,12/23/20 8:23,12/23/20 8:26,0,100,177,1,12/23/20 8:26,R_2B4JTQfaGXft5Px,anonymous,EN,0,0,8.872,0,,,,,,,,"16X679,21C137,23X202,15C33,24X129,24C3,18X251,26X148,25X170,17C61,15X344,18X194,21C113,20X10,22X268,19X109,23C147,20C49,16C130,22X892,END","8C739,14X195,11C184,14X1082,10C255,7C228,5C90,13X507,6C49,9X288,3C189,4C195,9X321,11C200,2C135,1X416,2C232,1C95,5C94,12C49,END","9C738,20X331,13C128,16X529,2X349,18X88,12X292,19C153,8X275,23C106,11X36,26X254,1C26,17C46,4C84,24X458,5C20,21X179,3X289,22C37,END","4C714,26X175,2C7,24C3,12X85,20X228,10C9,18C188,14C10,22X235,9X103,17C83,1C136,16C66,11C30,17C28,3C169,23X232,3C53,25X339,6C29,16C31,5C113,25C45,8C2,21C3,8X151,21C130,9X88,24X330,13X348,19X49,13X269,22X191,1X189,15C199,7X161,20C147,4X210,15C150,END","26X299,19C5,18C10,21X70,16X470,24X89,23C56,20X463,19X568,17C210,26X187,20X435,23X1055,19X1067,21X295,18C166,22X138,25C61,16X404,15X274,24C10,18X110,26X138,21X210,25X13,19C16,25X133,20X185,16C29,24X609,26C189,15X8669,15C213,17C223,17C215,23X1524,20X934,21X843,22C148,22C115,END","4X1002,17C366,10C124,22C50,8C67,23X136,12X162,18X264,1X268,20X259,11C78,15C191,14X198,26X197,3C70,25C73,6C145,24X158,5C110,19X182,END","4X797,21C111,1C69,20X312,5C427,18C188,10X330,23C169,4X327,19C128,12C148,24C108,6C149,16C126,14C109,21C88,8X708,18X448,7C128,26C66,2C9,22X229,3X250,20C149,2X511,26X312,7C185,15X950,11C267,23X748,10X731,19X369,13X511,25C195,9X582,17X509,9X387,22C9,12C10,16X205,END",,,,,,,,,,,,,,,2.638,5.867,9.951,3,43,2,,,,,,anonymized,,4351656
9,12/23/20 8:21,12/23/20 8:26,0,100,266,1,12/23/20 8:26,R_1kYOu9ZYm3Usfkt,anonymous,EN,0,0,17.631,0,"21C1361,19C766,26C909,16C785,22C813,25C784,15C743,22C817,19C666,24C884,16C656,26C975,17C634,24C736,23C1331,18C709,17C656,21C665,18C711,20X1403,END","7C1107,3C853,10C731,4C747,5C990,14C721,13C719,3C696,2C937,10C688,9C699,6X1611,14C763,12X1282,8X1521,2C716,1X1432,6X1222,9C800,11C851,END","14C625,24C717,5C774,18C713,9C761,19C690,1C1015,16C649,12C985,23C807,11C578,26C690,7C746,15C719,3X1108,21C747,10C681,22C631,6C860,17C559,END","12C602,21C635,14C777,20C778,14C793,22C700,12C780,20C673,10C722,18C731,8X1486,25X1420,1C749,16C710,3C690,19X1006,9C707,16C681,2C746,19C650,5C620,26C745,8C898,25C886,2C700,24X827,1X1483,22C669,4C971,15C624,6X1626,23C845,13C757,18C693,6C799,17C1267,7C663,23C704,11C679,24C768,END","23X997,21C702,17C745,21C685,15C767,24C622,19C739,25C664,20C1046,16C583,22C671,24C745,22C723,17C812,24C699,21C703,20C855,24C742,17C760,25C699,23X1276,25C774,17C879,19C706,26C788,18C801,26C718,22C740,19C713,18X986,16C741,18C800,26C716,16C691,22C676,20C1003,23X1405,15X1238,18C681,15C842,END","3X1011,20C948,8C841,15X1465,10C770,23C113,13C1132,21C711,6X1177,24C713,7C658,16C837,1X1347,26C768,14C932,22C824,4C790,17C798,11X1578,18C717,END","4X910,20C752,7C697,23C838,8C1003,18C686,8C702,20C792,12C922,23X1393,3C730,15C806,13C693,17C605,9C745,24C686,2C727,16C723,13C686,16C709,9C697,18C678,5C701,17C695,7C706,21C626,14C759,19C660,1C790,25C766,11X1327,24C630,5C650,26X790,10C728,22C655,6C816,26C524,1C778,22C690,END",,,,,,,,,,,,,,,,,,,,,,2.451,4.411,6.238,2,42,2,,,,,,anonymized,,227564
