RecordedDate,Condition,choiceDV,age,gender,gender_3_TEXT
12/8/21 20:56,1,2,28,1,
12/8/21 20:56,1,2,38,0,
12/8/21 20:56,1,2,50,0,
12/8/21 20:56,1,2,28,1,
12/8/21 20:56,1,1,28,1,
12/8/21 20:57,1,1,25,2,
12/8/21 20:58,1,1,49,1,
12/8/21 20:59,1,2,45,0,
12/8/21 20:59,1,1,47,1,
12/8/21 20:59,1,2,65,0,
12/8/21 21:00,1,1,33,0,
12/8/21 21:00,1,2,29,0,
12/8/21 21:02,1,1,30,0,
12/8/21 21:02,1,2,39,0,
12/8/21 21:02,1,2,29,1,
12/8/21 21:02,1,2,56,1,
12/8/21 21:04,1,2,39,1,
12/8/21 21:05,1,2,33,1,
12/8/21 21:05,1,1,40,1,
12/8/21 21:06,1,1,30,0,
12/8/21 21:06,1,2,39,0,
12/8/21 21:07,1,2,29,1,
12/8/21 21:07,1,1,28,1,
12/8/21 21:08,1,1,39,0,
12/8/21 21:10,1,1,54,0,
12/8/21 21:11,1,1,24,1,
12/8/21 21:13,1,1,40,1,
12/8/21 21:17,1,1,36,0,
12/8/21 21:20,1,1,68,0,
12/8/21 21:23,1,2,30,1,
12/8/21 21:28,1,2,33,1,
12/8/21 21:30,1,1,69,4,
12/8/21 21:34,1,2,36,1,
12/8/21 21:37,1,2,27,1,
12/8/21 21:49,1,2,31,1,
12/9/21 14:59,1,2,21,0,
12/9/21 15:00,1,1,20,0,
12/9/21 15:01,1,2,32,0,
12/9/21 15:04,1,1,21,0,
12/9/21 15:07,1,2,21,1,
12/9/21 15:10,1,1,65,0,
12/9/21 15:10,1,2,30,0,
12/9/21 15:11,1,2,24,1,
12/9/21 15:14,1,1,22,0,
12/9/21 15:15,1,1,34,1,
12/9/21 15:16,1,2,28,0,
12/9/21 15:17,1,2,28,0,
12/9/21 15:18,1,2,23,0,
12/9/21 15:19,1,2,45,0,
12/9/21 15:19,1,1,30,0,
12/9/21 15:20,1,1,21,0,
12/9/21 15:21,1,2,22,1,
12/9/21 15:22,1,2,19,0,
12/9/21 15:23,1,2,47,1,
12/9/21 15:25,1,1,19,0,
12/9/21 15:25,1,1,30,0,
12/9/21 15:26,1,1,46,0,
12/9/21 15:26,1,2,20,0,
12/9/21 15:27,1,1,40,1,
12/9/21 15:27,1,2,32,1,
12/9/21 15:29,1,2,20,0,
12/9/21 15:29,1,1,29,0,
12/9/21 15:29,1,2,41,1,
12/9/21 15:29,1,2,21,0,
12/9/21 15:30,1,2,39,0,
12/9/21 15:31,1,2,26,0,
12/9/21 15:32,1,2,58,0,
12/9/21 15:32,1,2,25,0,
12/9/21 15:32,1,1,25,0,
12/9/21 15:33,1,2,28,1,
12/9/21 15:34,1,2,28,0,
12/9/21 15:34,1,2,21,1,
12/9/21 15:34,1,1,26,2,
12/9/21 15:34,1,2,28,0,
12/9/21 15:36,1,2,27,1,
12/9/21 15:37,1,2,35,1,
12/9/21 15:38,1,2,41,1,
12/9/21 15:38,1,2,29,1,
12/9/21 15:38,1,2,36,1,
12/9/21 15:38,1,2,24,0,
12/9/21 15:39,1,1,43,1,
12/9/21 15:39,1,1,57,0,
12/9/21 15:39,1,2,19,0,
12/9/21 15:40,1,2,19,0,
12/9/21 15:40,1,1,21,0,
12/9/21 15:40,1,1,28,1,
12/9/21 15:41,1,2,23,0,
12/9/21 15:41,1,2,23,0,
12/9/21 15:42,1,2,21,1,
12/9/21 15:42,1,1,38,0,
12/9/21 15:42,1,2,48,0,
12/9/21 15:43,1,2,36,1,
12/9/21 15:43,1,1,25,2,
12/9/21 15:43,1,2,24,0,
12/9/21 15:44,1,2,25,0,
12/9/21 15:44,1,2,18,1,
12/9/21 15:45,1,1,20,0,
12/9/21 15:45,1,2,41,1,
12/9/21 15:46,1,1,21,0,
12/9/21 16:01,1,2,22,0,
12/8/21 20:55,2,1,37,1,
12/8/21 20:55,2,1,29,0,
12/8/21 20:55,2,2,30,1,
12/8/21 20:55,2,1,22,0,
12/8/21 20:56,2,1,30,1,
12/8/21 20:57,2,1,57,1,
12/8/21 20:58,2,1,39,1,
12/8/21 20:58,2,1,45,1,
12/8/21 20:59,2,1,58,1,
12/8/21 21:00,2,1,31,1,
12/8/21 21:01,2,1,39,4,
12/8/21 21:03,2,2,33,0,
12/8/21 21:04,2,1,21,1,
12/8/21 21:05,2,1,37,1,
12/8/21 21:05,2,2,31,0,
12/8/21 21:05,2,1,67,0,
12/8/21 21:05,2,1,35,1,
12/8/21 21:06,2,1,28,1,
12/8/21 21:07,2,2,28,0,
12/8/21 21:07,2,1,36,1,
12/8/21 21:09,2,1,35,0,
12/8/21 21:09,2,1,54,0,
12/8/21 21:10,2,2,39,0,
12/8/21 21:11,2,1,33,1,
12/8/21 21:11,2,2,43,0,
12/8/21 21:13,2,2,31,0,
12/8/21 21:15,2,1,30,1,
12/8/21 21:25,2,1,23,1,
12/8/21 21:26,2,2,25,1,
12/8/21 21:29,2,1,58,1,
12/8/21 21:32,2,2,33,1,
12/8/21 21:49,2,1,30,0,
12/8/21 22:00,2,1,36,1,
12/9/21 14:57,2,2,22,0,
12/9/21 15:03,2,1,21,1,
12/9/21 15:05,2,2,19,0,
12/9/21 15:10,2,1,18,0,
12/9/21 15:10,2,2,23,0,
12/9/21 15:11,2,2,20,0,
12/9/21 15:12,2,1,20,0,
12/9/21 15:13,2,2,23,1,
12/9/21 15:13,2,2,24,0,
12/9/21 15:17,2,2,31,0,
12/9/21 15:17,2,1,21,1,
12/9/21 15:18,2,2,26,0,
12/9/21 15:19,2,1,22,1,
12/9/21 15:19,2,1,36,1,
12/9/21 15:19,2,1,34,1,
12/9/21 15:21,2,1,25,0,
12/9/21 15:22,2,2,44,1,
12/9/21 15:22,2,1,27,1,
12/9/21 15:23,2,2,20,0,
12/9/21 15:25,2,2,20,1,
12/9/21 15:26,2,2,55,0,
12/9/21 15:27,2,2,34,0,
12/9/21 15:27,2,2,32,1,
12/9/21 15:28,2,2,42,0,
12/9/21 15:28,2,2,19,0,
12/9/21 15:28,2,2,26,0,
12/9/21 15:28,2,1,38,1,
12/9/21 15:30,2,1,19,0,
12/9/21 15:30,2,2,18,0,
12/9/21 15:31,2,2,47,0,
12/9/21 15:32,2,2,30,0,
12/9/21 15:32,2,1,26,0,
12/9/21 15:32,2,2,56,1,
12/9/21 15:33,2,2,36,0,
12/9/21 15:34,2,1,18,1,
12/9/21 15:34,2,2,34,1,
12/9/21 15:35,2,1,20,0,
12/9/21 15:35,2,1,24,1,
12/9/21 15:36,2,1,34,4,
12/9/21 15:37,2,1,33,1,
12/9/21 15:38,2,1,23,0,
12/9/21 15:38,2,2,23,1,
12/9/21 15:38,2,1,29,0,
12/9/21 15:38,2,1,20,0,
12/9/21 15:38,2,2,27,0,
12/9/21 15:39,2,2,32,0,
12/9/21 15:40,2,2,27,1,
12/9/21 15:40,2,2,23,0,
12/9/21 15:40,2,1,26,2,
12/9/21 15:41,2,1,58,1,
12/9/21 15:41,2,1,32,0,
12/9/21 15:42,2,1,24,0,
12/9/21 15:42,2,1,19,0,
12/9/21 15:42,2,1,35,0,
12/9/21 15:43,2,2,67,0,
12/9/21 15:43,2,2,24,0,
12/9/21 15:43,2,2,56,0,
12/9/21 15:44,2,1,25,0,
12/9/21 15:45,2,1,44,1,
12/9/21 15:45,2,1,47,0,
12/9/21 15:45,2,2,42,0,
12/9/21 15:46,2,1,22,0,
12/9/21 15:47,2,2,31,0,
12/9/21 16:25,2,1,21,0,
12/9/21 17:18,2,2,20,0,
12/9/21 17:18,2,1,24,1,
12/8/21 20:54,3,2,28,0,
12/8/21 20:55,3,1,50,0,
12/8/21 20:56,3,1,33,1,
12/8/21 20:56,3,2,37,0,
12/8/21 20:56,3,1,20,1,
12/8/21 20:56,3,1,65,0,
12/8/21 20:57,3,2,32,1,
12/8/21 20:58,3,2,24,1,
12/8/21 20:58,3,1,41,1,
12/8/21 20:59,3,1,41,1,
12/8/21 21:00,3,2,33,1,
12/8/21 21:01,3,2,21,0,
12/8/21 21:02,3,1,36,0,
12/8/21 21:02,3,1,45,1,
12/8/21 21:04,3,2,71,0,
12/8/21 21:05,3,2,42,1,
12/8/21 21:07,3,2,51,1,
12/8/21 21:07,3,1,53,0,
12/8/21 21:08,3,2,37,0,
12/8/21 21:08,3,2,50,1,
12/8/21 21:08,3,1,40,0,
12/8/21 21:09,3,2,60,1,
12/8/21 21:16,3,2,36,1,
12/8/21 21:16,3,1,43,0,
12/8/21 21:17,3,2,32,0,
