RecordedDate,Beer,Clothes,Sedan,Soda,Smartphone,Gas,Creditcard,Moisturizer,Hotel,SearchEngine,camera,TV,burger,shoes,laptop,mailservice
11/23/21 21:23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
11/23/21 21:28,3,2,1,1,1,3,3,3,4,1,4,3,4,3,2,3
11/23/21 21:28,5,3,3,2,2,3,3,3,3,1,3,3,2,2,3,1
11/23/21 21:28,3,1,5,5,1,3,3,3,5,1,5,5,5,5,5,5
11/23/21 21:28,2,1,3,1,3,3,4,2,2,1,1,2,1,5,3,3
11/23/21 21:28,5,1,1,5,1,5,5,1,1,5,5,1,1,5,1,5
11/23/21 21:28,3,3,3,3,5,5,1,1,1,3,3,1,1,1,1,1
11/23/21 21:28,1,1,1,1,1,5,5,1,1,1,1,1,1,5,1,3
11/23/21 21:28,3,1,5,5,1,1,1,3,3,1,1,5,1,1,1,3
11/23/21 21:28,1,2,2,3,2,3,3,2,3,1,3,3,2,2,2,3
11/23/21 21:28,5,3,5,5,5,5,1,5,1,1,3,3,2,2,2,2
11/23/21 21:28,4,4,1,4,1,2,4,4,4,4,3,2,4,1,4,4
11/23/21 21:29,1,1,3,3,1,3,3,3,5,1,3,3,3,1,3,3
11/23/21 21:29,3,1,1,1,1,3,3,3,3,1,3,1,3,3,3,3
11/23/21 21:29,1,1,1,1,1,3,1,3,3,1,1,1,1,1,1,1
11/23/21 21:29,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/23/21 21:29,3,3,1,1,3,2,3,2,3,1,4,2,3,2,4,3
11/23/21 21:29,1,1,5,1,1,5,5,5,5,1,5,5,2,5,5,2
11/23/21 21:29,4,3,3,3,4,2,3,3,2,4,4,1,4,3,2,3
11/23/21 21:30,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,3
11/23/21 21:30,3,3,1,3,1,3,5,1,1,3,1,1,5,1,5,3
11/23/21 21:30,1,1,1,1,5,3,5,5,5,1,5,5,5,5,1,5
11/23/21 21:30,2,3,3,1,1,3,3,3,3,1,2,2,2,2,1,2
11/23/21 21:30,2,1,1,2,3,5,4,4,5,4,2,3,2,4,4,5
11/23/21 21:30,2,5,4,4,5,5,5,4,4,2,2,4,5,4,2,4
