RecordedDate,Condition,PreferenceDV,rankp,rankM,rankJJ,rating1,rating2,rating3,choice_na,age,genderchoice,gender
12/3/21 16:59,1,3,1,2,3,5,1,1,2,32,0,
12/3/21 17:00,1,-3,,,,3,1,1,1,67,0,
12/3/21 17:05,1,3,2,3,1,5,5,5,2,21,1,
12/3/21 17:06,1,3,1,2,3,5,1,1,2,30,0,
12/3/21 17:07,1,3,,,,3,2,2,1,30,1,
12/3/21 17:11,1,3,1,2,3,4,1,1,1,26,1,
12/3/21 17:13,1,3,2,1,3,1,1,1,1,23,0,
12/3/21 17:14,1,0,2,1,3,1,1,1,1,20,0,
12/3/21 17:14,1,-1,,,,4,1,1,1,22,0,
12/3/21 17:15,1,2,2,1,3,2,1,3,1,41,0,
12/3/21 17:15,1,3,2,1,3,3,1,1,1,23,0,
12/3/21 17:17,1,-3,,,,1,1,1,1,33,1,
12/3/21 17:17,1,3,1,2,3,4,1,1,2,25,0,
12/3/21 17:17,1,-3,2,1,3,2,1,2,1,25,0,
12/3/21 17:21,1,3,,,,5,1,1,2,30,1,
12/3/21 17:25,1,3,1,2,3,5,1,1,2,28,0,
12/3/21 17:27,1,0,3,2,1,3,4,4,3,52,0,
12/3/21 17:28,1,2,2,1,3,2,2,3,1,22,1,
12/3/21 17:28,1,2,1,2,3,4,4,4,2,36,0,
12/3/21 17:30,1,-3,2,1,3,1,1,1,1,36,1,
12/3/21 17:31,1,-3,1,3,2,5,2,2,2,60,1,
12/3/21 17:32,1,3,,,,3,1,1,1,19,0,
12/3/21 17:32,1,-1,2,1,3,2,2,2,1,57,0,
12/3/21 17:32,1,3,2,1,3,4,1,1,1,38,0,
12/3/21 17:33,1,-3,2,1,3,1,1,1,1,50,1,
12/3/21 17:34,1,3,2,1,3,3,2,2,2,34,1,
12/3/21 17:35,1,0,3,2,1,1,2,3,1,32,1,
12/3/21 17:36,1,-1,2,1,3,2,1,1,1,25,0,
12/3/21 17:37,1,3,2,1,3,2,1,1,2,21,0,
12/3/21 17:38,1,0,3,2,1,3,3,3,3,21,1,
12/3/21 17:38,1,0,3,2,1,5,4,4,2,33,0,
12/3/21 17:39,1,1,1,2,3,4,2,1,2,38,0,
12/3/21 17:04,1,0,1,2,3,3,3,3,2,40,1,
12/3/21 17:11,1,0,1,2,3,3,3,3,2,30,1,
12/3/21 17:12,1,1,2,1,3,3,2,2,1,22,0,
12/3/21 17:13,1,-3,1,2,3,5,1,1,2,35,1,
12/3/21 17:15,1,3,3,1,2,2,2,3,2,19,1,
12/3/21 17:15,1,1,,,,3,1,1,1,24,0,
12/3/21 17:19,1,-2,1,2,3,4,2,1,2,29,0,
12/3/21 17:20,1,-1,1,2,3,3,2,2,2,25,0,
12/3/21 17:23,1,2,1,2,3,3,3,3,2,38,0,
12/3/21 17:23,1,3,2,1,3,1,1,1,1,66,0,
12/3/21 17:24,1,3,2,1,3,2,2,3,1,42,1,
12/3/21 17:25,1,0,1,2,3,3,1,1,2,29,1,
12/3/21 17:28,1,3,1,2,3,3,1,1,2,39,1,
12/3/21 17:28,1,3,3,2,1,3,3,3,3,61,0,
12/3/21 17:30,1,-3,,,,5,1,1,2,55,1,
12/3/21 17:31,1,2,2,1,3,2,1,1,2,33,0,
12/3/21 17:31,1,1,2,1,3,2,1,1,1,28,1,
12/3/21 17:33,1,3,1,2,3,4,1,1,2,20,0,
12/3/21 17:35,1,2,1,2,3,5,1,1,1,19,0,
12/3/21 17:36,1,0,1,2,3,3,3,3,1,60,1,
12/3/21 17:36,1,3,2,1,3,1,1,1,2,36,0,
12/3/21 17:37,1,0,,,,3,4,4,3,61,1,
12/3/21 17:37,1,-2,1,2,3,4,2,1,2,20,0,
12/3/21 17:38,1,3,2,1,3,3,2,2,2,22,2,
12/3/21 17:39,1,3,2,3,1,4,4,4,1,22,0,
12/3/21 17:40,1,0,2,1,3,2,2,2,1,30,0,
12/3/21 17:40,1,0,2,1,3,3,2,2,2,27,0,
12/3/21 17:42,1,0,3,1,2,3,4,4,3,30,0,
12/3/21 17:06,2,-3,1,2,3,5,1,1,2,18,0,
12/3/21 17:14,2,-3,2,1,3,1,1,1,1,36,0,
12/3/21 17:16,2,-1,2,1,3,1,1,1,1,38,0,
12/3/21 17:29,2,2,1,2,3,4,3,2,2,27,0,
12/3/21 17:29,2,3,,,,3,2,2,1,18,0,
12/3/21 17:31,2,-1,2,1,3,2,1,3,1,24,1,
12/3/21 17:32,2,2,,,,2,2,4,2,21,0,
12/3/21 17:35,2,-3,2,1,3,2,2,2,1,36,0,
12/3/21 17:11,2,2,1,2,3,3,2,2,1,24,0,
12/3/21 17:15,2,1,1,2,3,3,2,2,2,26,0,
12/3/21 17:21,2,3,2,1,3,1,1,3,1,23,2,
