id,CertainBall,CertainBall.r,Choice,order
1,red,1,1,2
2,red,1,1,2
3,red,1,1,2
4,red,1,1,1
5,red,1,1,2
6,red,1,1,1
7,red,1,1,1
8,red,1,1,1
9,red,1,1,1
10,red,1,1,1
11,red,1,1,1
12,red,1,1,2
13,red,1,1,1
14,red,1,1,1
15,red,1,1,1
16,red,1,1,1
17,red,1,1,2
18,red,1,1,2
19,red,1,1,2
20,red,1,0,1
21,red,1,1,2
22,red,1,1,2
23,red,1,1,1
24,red,1,1,1
25,red,1,1,2
26,red,1,1,2
27,red,1,1,2
28,red,1,1,1
29,red,1,1,1
30,red,1,1,1
31,red,1,1,2
32,red,1,1,2
33,red,1,1,2
34,smiley face,2,0,1
35,smiley face,2,1,1
36,smiley face,2,1,1
37,smiley face,2,1,1
38,smiley face,2,0,1
39,smiley face,2,1,1
40,smiley face,2,1,1
41,smiley face,2,0,2
42,smiley face,2,1,2
43,smiley face,2,1,2
44,smiley face,2,0,2
45,smiley face,2,1,2
46,smiley face,2,1,2
47,smiley face,2,0,2
48,smiley face,2,1,2
49,smiley face,2,1,2
50,smiley face,2,1,2
51,smiley face,2,1,2
52,smiley face,2,1,2
53,smiley face,2,1,2
54,smiley face,2,1,1
55,smiley face,2,1,1
56,smiley face,2,1,1
57,smiley face,2,0,1
58,smiley face,2,1,1
59,smiley face,2,1,1
60,smiley face,2,1,1
61,smiley face,2,1,2
62,smiley face,2,0,1
63,smiley face,2,1,1
64,smiley face,2,1,1
65,smiley face,2,1,1
66,globe,3,1,1
67,globe,3,1,1
68,globe,3,1,1
69,globe,3,1,1
70,globe,3,1,1
71,globe,3,1,2
72,globe,3,1,2
73,globe,3,1,1
74,globe,3,1,2
75,globe,3,1,1
76,globe,3,0,2
77,globe,3,1,2
78,globe,3,1,2
79,globe,3,1,1
80,globe,3,1,1
81,globe,3,1,2
82,globe,3,1,1
83,globe,3,1,1
84,globe,3,1,2
85,globe,3,0,2
86,globe,3,1,2
87,globe,3,1,2
88,globe,3,1,2
89,globe,3,1,2
90,globe,3,1,1
91,globe,3,1,2
92,globe,3,1,2
93,globe,3,1,1
94,globe,3,1,2
95,globe,3,1,2
96,globe,3,1,2
97,globe,3,0,2
98,globe,3,1,1
99,globe,3,1,2
100,globe,3,1,2
