Date,day,DV,certainoption,certainoption2,mysteryoutcome,mysteryoutcome2,order
28-Oct-21,1,2,chocolate,1,cookies and cream,4,1
28-Oct-21,1,2,chocolate,1,salted caramel,6,2
28-Oct-21,1,2,chocolate,1,salted pretzel,7,1
28-Oct-21,1,1,chocolate,1,,,1
29-Oct-21,2,2,chocolate,1,cinnamon,2,2
29-Oct-21,2,2,chocolate,1,coffee,3,1
29-Oct-21,2,2,chocolate,1,salted pretzel,7,1
29-Oct-21,2,2,chocolate,1,salted pretzel,7,1
29-Oct-21,2,2,chocolate,1,salted pretzel,7,2
29-Oct-21,2,2,chocolate,1,strawberry,9,1
29-Oct-21,2,2,chocolate,1,vanilla,10,2
29-Oct-21,2,2,chocolate,1,vanilla,10,2
29-Oct-21,2,2,chocolate,1,vanilla,10,1
29-Oct-21,2,1,chocolate,1,,,2
29-Oct-21,2,1,chocolate,1,,,2
29-Oct-21,2,1,chocolate,1,,,1
29-Oct-21,2,1,chocolate,1,,,1
29-Oct-21,2,1,chocolate,1,,,2
30-Oct-21,3,2,chocolate,1,chocolate,1,1
30-Oct-21,3,2,chocolate,1,chocolate,1,2
30-Oct-21,3,2,chocolate,1,cinnamon,2,1
30-Oct-21,3,2,chocolate,1,coffee,3,2
30-Oct-21,3,2,chocolate,1,cookies and cream,4,1
30-Oct-21,3,2,chocolate,1,cookies and cream,4,2
30-Oct-21,3,2,chocolate,1,cookies and cream,4,1
30-Oct-21,3,2,chocolate,1,earl grey tea,5,2
30-Oct-21,3,2,chocolate,1,earl grey tea,5,1
30-Oct-21,3,2,chocolate,1,earl grey tea,5,2
30-Oct-21,3,2,chocolate,1,salted caramel,6,2
30-Oct-21,3,2,chocolate,1,salted pretzel,7,1
30-Oct-21,3,1,chocolate,1,,,1
30-Oct-21,3,1,chocolate,1,,,1
30-Oct-21,3,1,chocolate,1,,,2
30-Oct-21,3,1,chocolate,1,,,1
28-Oct-21,1,2,strawberry,2,spiced pumpkin,8,2
29-Oct-21,2,2,strawberry,2,chocolate,1,1
29-Oct-21,2,2,strawberry,2,chocolate,1,1
29-Oct-21,2,2,strawberry,2,cinnamon,2,2
29-Oct-21,2,2,strawberry,2,cinnamon,2,1
29-Oct-21,2,2,strawberry,2,cinnamon,2,2
29-Oct-21,2,2,strawberry,2,coffee,3,1
29-Oct-21,2,2,strawberry,2,coffee,3,2
29-Oct-21,2,2,strawberry,2,coffee,3,1
29-Oct-21,2,2,strawberry,2,salted caramel,6,1
29-Oct-21,2,2,strawberry,2,salted pretzel,7,2
