RecordedDate,DV,age,gender,gender_3_TEXT
2/17/21 9:09,1,20,0,
2/17/21 9:09,1,22,0,
2/17/21 9:09,1,19,0,
2/17/21 9:09,1,19,0,
2/17/21 9:09,1,21,0,
2/17/21 9:10,1,20,1,
2/17/21 9:11,2,20,1,
2/17/21 9:11,1,21,1,
2/17/21 9:11,2,20,0,
2/17/21 9:12,2,20,0,
2/17/21 9:12,2,20,0,
2/17/21 9:12,1,20,1,
2/17/21 9:13,2,19,0,
2/17/21 9:13,1,19,0,
2/17/21 9:13,2,21,1,
2/17/21 9:13,2,21,1,
2/17/21 9:13,2,20,0,
2/17/21 9:14,1,20,0,
2/17/21 9:14,2,19,0,
2/17/21 9:14,2,20,1,
2/17/21 9:14,2,23,1,
2/17/21 9:14,2,20,0,
2/17/21 9:15,2,20,1,
2/17/21 9:15,2,20,0,
2/17/21 9:16,2,19,0,
2/17/21 9:17,1,20,1,
2/17/21 9:17,2,20,0,
2/17/21 9:17,2,19,1,
2/17/21 9:17,1,20,0,
2/17/21 9:18,1,20,0,
2/17/21 9:18,2,19,1,
2/17/21 9:18,2,19,0,
2/17/21 9:18,2,24,0,
2/17/21 9:18,2,19,1,
2/17/21 9:21,2,22,1,
2/17/21 9:22,2,20,1,
2/17/21 9:25,2,20,0,
2/17/21 9:26,2,21,0,
2/17/21 9:29,2,20,1,
2/17/21 9:32,2,20,0,
2/17/21 9:32,1,19,0,
2/17/21 9:35,2,20,0,
2/17/21 9:37,2,19,1,
2/17/21 9:39,2,19,0,
2/17/21 9:41,2,19,0,
2/17/21 9:43,2,19,1,
2/17/21 9:44,1,20,0,
2/17/21 9:54,2,19,1,
2/17/21 9:56,2,19,0,
2/17/21 10:02,2,20,0,
2/17/21 10:05,1,20,0,
2/17/21 10:07,2,19,0,
2/17/21 10:18,1,19,0,
2/17/21 10:19,2,22,0,
2/17/21 10:23,1,20,1,
2/17/21 10:24,2,19,0,
2/17/21 10:26,1,19,1,
2/17/21 10:37,1,22,1,
2/17/21 10:38,2,19,1,
2/17/21 10:49,2,22,1,
2/17/21 10:53,2,21,1,
2/17/21 10:59,2,20,1,
2/17/21 11:01,2,22,1,
2/17/21 11:02,2,20,1,
2/17/21 11:18,2,19,1,
2/17/21 11:39,2,19,0,
2/17/21 12:06,2,,1,
2/17/21 12:34,1,21,0,
2/17/21 12:44,2,19,1,
2/17/21 12:55,1,32,1,
2/17/21 12:56,2,20,1,
2/17/21 13:17,2,19,0,
2/17/21 13:34,2,20,0,
2/17/21 13:51,1,20,0,
2/17/21 14:12,2,20,0,
2/17/21 14:26,2,19,1,
2/17/21 14:42,2,22,1,
2/17/21 15:08,2,20,0,
2/17/21 15:15,2,20,1,
2/17/21 15:37,2,19,0,
2/17/21 15:58,2,20,0,
2/17/21 16:00,2,21,1,
2/17/21 16:00,1,19,0,
2/17/21 16:06,1,20,0,
2/17/21 16:09,2,19,0,
2/17/21 16:09,2,19,1,
2/17/21 16:09,1,20,1,
2/17/21 16:10,2,22,1,
2/17/21 16:10,2,21,0,
2/17/21 16:10,1,20,0,
2/17/21 16:10,2,21,1,
2/17/21 16:10,2,20,0,
2/17/21 16:11,2,20,1,
2/17/21 16:11,2,20,0,
2/17/21 16:11,2,19,0,
2/17/21 16:12,2,20,1,
2/17/21 16:12,1,20,0,
2/17/21 16:12,1,19,0,
2/17/21 16:12,2,19,1,
2/17/21 16:12,1,20,0,
2/17/21 16:13,2,21,1,
2/17/21 16:13,2,20,1,
2/17/21 16:14,1,19,1,
2/17/21 16:14,2,22,0,
2/17/21 16:14,2,20,1,
2/17/21 16:15,2,20,1,
2/17/21 16:15,2,21,1,
2/17/21 16:15,1,21,0,
2/17/21 16:16,1,20,1,
2/17/21 16:16,2,19,0,
2/17/21 16:16,2,24,1,
2/17/21 16:16,2,19,1,
2/17/21 16:16,1,20,1,
2/17/21 16:17,2,20,0,
2/17/21 16:17,2,21,1,
2/17/21 16:18,1,20,1,
2/17/21 16:18,1,23,0,
2/17/21 16:18,2,23,0,
2/17/21 16:19,1,19,1,
2/17/21 16:19,1,21,0,
2/17/21 16:20,2,21,0,
2/17/21 16:22,1,19,0,
2/17/21 16:22,1,19,1,
2/17/21 16:27,1,20,1,
2/17/21 16:28,2,19,1,
2/17/21 16:29,2,20,1,
2/17/21 16:31,2,20,1,
2/17/21 16:32,2,18,0,
2/17/21 16:33,2,20,1,
2/17/21 16:35,2,21,0,
2/17/21 16:45,1,19,0,
2/17/21 16:47,2,19,1,
2/17/21 16:48,2,20,0,
2/17/21 16:50,2,20,1,
2/17/21 16:52,1,22,1,
2/17/21 16:54,2,22,1,
2/17/21 16:58,2,19,1,
2/17/21 17:00,1,19,1,
2/17/21 17:07,2,20,0,
2/17/21 17:11,1,20,0,
2/17/21 17:31,2,20,1,
