RecordedDate,song1,song2,song3,song4,song5,song6,song7,song8,song9,song10,song11,song12,song13,song14,song15,song16,song17,song18,song19,song20,song21,song22,song23,song24,song25,song26,song27,song28,song29,song30,song31,song32,song33,song34,song35,song36,song37,song38,ATTCHECK,ATTCHECK.r,song39,song40,song41,song42,song43,song44,song45,song46,song47,song48,song49,song50,CHOICE,describe,entire,certain.liking,age,gender,gender.selfdescribe,Options
4/8/22 8:44,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,2,1,2,1,1,1,1,1,1,1,2,kendrick lamar,2,1,26,1,,5
4/8/22 8:49,2,1,1,2,2,1,1,1,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,0,1,1,1,2,2,2,2,2,1,1,1,1,1,singing while naked and painted,2,4,20,1,,23
4/8/22 11:01,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,adele singing,1,5,20,1,,7
4/8/22 11:41,2,1,1,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,1,1,1,2,2,2,2,1,2,1,1,2,2,2,MJ went around stepping on lights which would light up. He also cleaned his shoes. ,1,5,18,1,,37
4/8/22 12:05,2,1,1,2,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,It was a recreation of a old movie scene.,2,4,18,1,,36
4/8/22 12:13,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,1,1,1,1,2,1,2,1,2,2,1,2,2,1,2,2,1,0,1,1,2,1,2,2,2,2,1,2,1,2,1,Rihanna was singing with rainfall,2,5,21,1,,31
4/8/22 12:15,2,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,1,1,2,1,2,2,2,,1,1,1,2,2,2,2,2,2,1,2,2,1,2,"Lots of dancing in brightly colored clothes, repetitive. ",2,4,19,0,,26
4/8/22 12:35,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,,1,1,2,2,1,2,1,1,2,1,2,1,1,2,It was the Weeknd with a lot of makeup just singing.,2,1,20,1,,23
4/8/22 12:45,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,1,1,0,1,1,2,1,2,1,1,2,1,1,1,1,1,The Black Eye Peas danced and lip singed their song,2,5,20,1,,14
4/8/22 13:04,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,1,,1,1,1,2,1,2,1,1,1,1,1,2,1,2,It was just Old Town Road despite selecting Option B. There were horses and homies I guess.,1,3,21,1,,18
4/8/22 13:07,2,2,1,1,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,1,2,2,2,2,2,1,2,2,2,2,2,2,2,A couple was displayed. The guy was a singer/songwriter and the girl comes on stage to sing with him.,2,7,20,1,,41
4/8/22 13:18,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1,1,2,1,2,2,1,2,2,1,2,2,1,1,1,1,0,1,1,2,2,2,1,2,1,1,1,1,1,2,"Adelle is sitting then plates break then she dances, rollin in the deep",2,4,22,1,,21
4/8/22 13:32,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,0,1,1,2,2,2,1,2,2,1,1,2,2,2,it was just the album cover ,2,3,19,1,,30
4/8/22 13:40,2,1,1,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2,1,1,2,2,,1,1,1,2,2,2,1,2,2,1,1,1,2,2,Sia was walking around showing her chandelier ,1,5,19,1,,32
4/8/22 14:35,2,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,0,1,1,2,2,2,1,1,2,1,1,2,2,2,Rain waas falling and the dancers were dressed in all black,2,4,19,1,,27
4/8/22 14:42,1,2,2,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,1,,1,1,1,1,1,1,1,1,1,1,2,1,1,2,billie danced around,2,4,21,0,,12
4/8/22 14:53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,2,0,2,2,1,1,1,2,2,2,2,1,1,1,2,Three girls danced to a song in black and white.,1,3,20,0,,12
4/8/22 15:03,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,It was Miley Cyrus dancing. There were tigers and mirrors. ,2,7,19,0,,40
