surpr,surpr_r,optimism,varietyseeking,Dmaking,opennes,choiceDV,allergies,age,gender,gender_3_TEXT,snack,Msnack,SurpIndex,set
6,3,5,4,5,6,2,3,22,0,,Cheetos,Butterfingers,5.5,1
5,2,6,6,2,7,2,3,19,1,,Cheetos,Butterfingers,5.5,1
7,3,7,7,3,7,2,3,19,1,,Cheetos,Cheetos,6,1
4,3,4,6,3,6,2,2,23,1,,Cheetos,Goldfish,4.5,1
3,2,4,5,3,4,2,3,18,1,,Cheetos,Haribo Gummy Bear,4.5,1
4,2,4,5,3,6,2,3,21,1,,Cheetos,Haribo Gummy Bear,5,1
5,1,3,6,7,7,2,3,19,1,,Cheetos,Jelly Bellies,6,1
2,6,7,5,4,7,1,3,21,1,,Cheetos,Kit Kat,2,1
1,4,5,7,1,7,1,3,22,1,,Cheetos,Kit Kat,2.5,1
6,3,6,4,2,6,1,3,18,0,,Cheetos,Kit Kat,5.5,1
6,2,6,6,2,6,2,3,19,1,,Cheetos,Kit Kat,6,1
5,2,7,7,3,7,2,3,21,0,,Cheetos,Lays Chips,5.5,1
5,2,4,4,6,5,2,3,20,0,,Cheetos,Lays Chips,5.5,1
5,3,6,6,5,7,2,3,20,1,,Cheetos,Lays Chips,5,1
7,7,7,7,7,7,2,3,18,1,,Cheetos,M&Ms,4,1
5,3,7,6,1,6,2,3,18,1,,Cheetos,Oreos,5,1
6,2,7,5,6,5,2,3,21,1,,Cheetos,Reese's Peanut Butter Cups,6,1
4,5,6,6,7,5,2,3,18,0,,Cheetos,Ritz,3.5,1
5,4,7,7,5,6,2,3,18,1,,Cheetos,Ritz,4.5,1
5,1,5,2,1,7,1,3,19,1,,Cheetos,Skittles,6,1
5,2,6,5,2,7,2,3,19,1,,Cheetos,Snickers,5.5,1
5,3,5,6,4,6,2,3,20,1,,Cheetos,Snickers,5,1
6,4,6,5,3,5,2,3,22,1,,Cheetos,SunChips,5,1
5,2,5,5,3,6,2,3,19,1,,Cheetos,Twizzlers,5.5,1
5,3,6,7,3,7,2,2,18,0,,Doritos,Butterfingers,5,1
5,3,4,4,5,5,2,3,22,0,,Doritos,Butterfingers,5,1
5,2,5,3,3,5,2,3,20,1,,Doritos,Butterfingers,5.5,1
2,6,7,6,6,5,1,2,18,0,,Doritos,Cheetos,2,1
5,3,5,5,5,6,2,3,21,0,,Doritos,Fruit Roll-Ups,5,1
5,2,4,5,4,5,2,3,19,0,,Doritos,Fruit Roll-Ups,5.5,1
5,2,5,4,3,3,1,3,19,1,,Doritos,Goldfish,5.5,1
7,6,5,6,6,5,2,3,20,0,,Doritos,Haribo Gummy Bear,4.5,1
7,1,5,7,1,7,2,3,20,0,,Doritos,Jelly Bellies,7,1
7,2,7,7,2,6,2,3,20,0,,Doritos,Lays Chips,6.5,1
5,2,6,5,5,6,2,3,19,0,,Doritos,Lays Chips,5.5,1
7,1,5,6,2,6,2,3,21,0,,Doritos,M&Ms,7,1
4,4,4,5,5,5,1,1,20,1,,Doritos,Oreos,4,1
5,3,5,6,6,5,1,3,20,1,,Doritos,Oreos,5,1
6,2,6,5,1,7,2,3,19,1,,Doritos,Ritz,6,1
2,7,7,7,5,7,2,3,20,1,,Doritos,Ritz,1.5,1
2,6,5,6,5,7,1,2,20,1,,Doritos,Skittles,2,1
5,3,7,7,1,7,2,3,18,0,,Doritos,Skittles,5,1
3,4,4,6,5,5,2,3,20,0,,Doritos,Snickers,3.5,1
5,2,5,4,2,5,2,3,19,1,,Doritos,SunChips,5.5,1
5,2,5,4,7,5,2,3,20,0,,Doritos,SunChips,5.5,1
5,2,6,5,2,5,1,3,20,1,,Doritos,Twizzlers,5.5,1
5,3,6,5,5,3,2,2,18,0,,Doritos,Twizzlers,5,1
2,6,4,5,2,6,1,3,19,1,,Doritos,Welch's Fruit Snacks,2,1
6,2,5,6,5,5,1,3,20,1,,Kit Kat,Cheetos,6,1
6,2,5,6,4,6,2,3,19,0,,Kit Kat,Cheetos,6,1
6,3,5,6,1,6,2,3,21,1,,Kit Kat,Doritos,5.5,1
3,5,6,6,5,7,2,3,21,0,,Kit Kat,Doritos,3,1
4,2,6,5,5,6,1,3,19,1,,Kit Kat,Fruit Roll-Ups,5,1
5,1,6,6,6,4,2,3,20,0,,Kit Kat,Fruit Roll-Ups,6,1
7,2,7,7,5,7,2,3,20,0,,Kit Kat,Fruit Roll-Ups,6.5,1
