snackliking1,snackliking2,snackliking3,snackliking4,snackliking5,snackliking6,snackliking7,snackliking8,snackliking9,snackliking10,snackliking11,snackliking12,snackliking13,snackliking14,snackliking15,snackliking16,snackliking17,snackliking18,snackliking19,snackliking20,filler1,filler2,preferredsnack,filler3,filler4,CONDITION,ChoiceDV,Surprise,age,gender,gender.r,gender_3_TEXT
2.06,3.16,2.36,4.39,3.26,3.59,3.39,2.46,2.82,3.32,1.46,1.82,4.09,3.06,2.69,2.59,3.72,2.19,2.86,3.92,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Lays Chips,Haribo Gummy Bears,1,0,3,20,Male,1,
1.47,3.67,1.9,1.8,3.63,1.5,2.5,4.4,2.73,2.5,1.9,1.8,3.53,0.87,0.93,3.87,3.97,0.53,2.5,4.07,Jelly Bellies,Kit Kat,Skittles,Doritos,Haribo Gummy Bears,1,0,4,20,Female,0,
1.13,2.37,0.3,2.23,2.37,0.6,0.73,0.6,3.27,0.27,2.97,2.2,2.7,1.8,0.37,0.57,0.47,0.3,0.43,0.33,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Doritos,Haribo Gummy Bears,1,0,2,21,Female,0,
4.5,3.57,3.93,4.4,3.73,3.73,3.07,3.4,3.4,3.7,3.87,4.23,4.13,3.2,3.17,3.07,1.83,2.93,1.07,0.7,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Lays Chips,Haribo Gummy Bears,1,0,4,20,Male,1,
3.05,3.18,3.05,3.48,3.18,3.12,2.52,2.38,2.28,2.28,2.28,3.15,3.15,3.15,2.45,1.55,1.55,1.72,1.12,1.78,Jelly Bellies,Kit Kat,Skittles,Doritos,Fruit Roll-Ups,1,0,,19,Male,1,
2.57,0,3.6,0.77,2.6,0.47,2.6,3.63,2.47,2.67,0.2,0.23,2.63,2.57,0.4,0.37,4.67,0.23,0.37,3.63,Twinkies,Kit Kat,Skittles,Doritos,Haribo Gummy Bears,1,0,,19,Female,0,
2.48,2.48,2.78,2.72,2.42,2.55,4.15,4.92,2.08,1.88,4.22,3.42,3.38,3.55,0.92,2.62,2.62,2.95,3.05,3.65,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Doritos,Haribo Gummy Bears,1,0,,21,Male,1,
2.85,2.72,1.75,2.85,1.75,0.75,1.52,2.75,2.58,1.52,1.42,1.48,2.32,2.38,1.85,1.82,1.82,0.95,0.78,2.95,Jelly Bellies,Reese's Peanut Butter Cups,Skittles,Doritos,Fruit Roll-Ups,1,0,,19,Male,1,
0.57,1.47,2.6,3.83,1.63,0.37,3.47,3.43,3.67,2.23,4.83,1.63,3.43,3.5,0.37,4.37,1.4,3.3,0.2,4.93,Twinkies,Kit Kat,Skittles,Lays Chips,Fruit Roll-Ups,1,0,,19,Female,0,
2.98,3.78,2.82,4.45,3.65,2.78,3.65,2.55,3.92,3.75,4.32,2.55,3.75,4.82,2.68,3.88,3.62,1.65,3.88,0.92,Jelly Bellies,Kit Kat,Skittles,Lays Chips,Fruit Roll-Ups,1,0,,19,Female,0,
