RecordedDate,condition,ChoiceDV,Surprise,focus,representSurp,best,worst,Imagery,fun,Affect,Cognitive,drink,age,gender,FocusIndex
9/21/21 0:19,1,1,3,-4,5,3,4,4,4,3,3,1,56,0,2.5
9/21/21 0:26,1,1,1,4,5,3,3,4,3,3,3,1,40,1,3
9/21/21 0:26,1,1,3,-1,5,3,4,3,3,3,4,2,53,1,2.5
9/21/21 0:58,1,1,5,0,5,4,3,4,4,3,3,1,55,1,3.5
9/21/21 1:08,1,1,8,-3,4,2,4,4,2,3,3,1,19,1,2
9/21/21 1:58,1,1,3,0,5,4,4,4,3,3,3,1,27,0,3
9/21/21 2:22,1,1,8,3,4,3,4,4,4,4,4,1,41,0,2.5
9/21/21 2:41,1,1,7,2,4,4,3,3,3,4,1,1,33,1,3.5
9/21/21 2:58,1,1,4,0,2,2,1,3,3,3,2,1,41,1,3.5
9/21/21 3:02,1,1,2,4,1,5,4,2,3,2,3,1,40,0,3.5
9/21/21 3:05,1,1,1,4,5,5,1,5,4,4,1,1,73,0,5
9/21/21 3:39,1,1,1,-2,4,1,5,5,1,1,2,2,51,1,1
9/21/21 3:45,1,1,3,-3,5,4,3,5,4,4,3,1,38,0,3.5
9/21/21 3:54,1,1,5,2,5,3,3,5,1,3,3,1,76,1,3
9/21/21 3:55,1,1,3,-3,4,2,5,3,4,2,1,1,34,0,1.5
9/21/21 4:02,1,1,1,-4,5,1,5,1,2,1,2,1,33,1,1
9/21/21 4:14,1,1,1,-4,2,2,2,2,2,2,2,1,40,1,3
9/21/21 4:20,1,1,7,2,4,3,3,3,3,4,3,1,46,0,3
9/21/21 4:24,1,1,1,-1,3,2,3,2,1,1,1,1,31,1,2.5
9/21/21 4:26,1,1,1,-4,5,1,5,4,1,1,1,2,46,1,1
9/21/21 4:27,1,1,1,-4,5,1,5,4,1,1,1,1,56,1,1
9/21/21 4:30,1,1,7,2,4,4,2,3,4,4,3,1,38,1,4
9/21/21 4:44,1,1,7,0,4,4,2,4,4,3,3,2,70,1,4
9/21/21 4:53,1,1,1,-4,5,2,4,4,3,1,3,1,52,0,2
9/21/21 4:54,1,1,8,2,4,3,4,4,4,4,3,1,26,1,2.5
9/21/21 5:15,1,1,3,-2,2,1,1,2,2,1,2,1,32,0,3
9/21/21 5:19,1,1,1,1,1,3,2,4,2,3,3,1,53,0,3.5
9/21/21 0:19,1,2,9,0,5,5,5,5,5,5,1,2,30,1,3
9/21/21 0:20,1,2,3,3,5,5,1,3,4,4,3,1,22,1,5
9/21/21 0:23,1,2,9,3,5,5,4,4,5,2,3,1,47,0,3.5
9/21/21 0:39,1,2,9,2,5,4,2,5,4,3,3,1,24,2,4
9/21/21 0:47,1,2,9,1,5,4,3,5,4,4,4,1,44,1,3.5
9/21/21 0:59,1,2,9,4,5,5,5,5,5,1,1,2,38,0,3
9/21/21 1:15,1,2,6,2,4,4,2,4,4,3,3,1,45,1,4
9/21/21 1:24,1,2,7,1,2,3,4,5,2,3,3,1,48,0,2.5
9/21/21 1:34,1,2,9,4,5,5,1,4,5,5,5,1,69,0,5
9/21/21 1:41,1,2,7,2,5,5,2,5,5,4,3,1,30,0,4.5
9/21/21 1:51,1,2,7,1,4,3,2,4,3,1,1,1,42,1,3.5
9/21/21 1:51,1,2,9,4,5,5,2,4,4,2,3,1,42,1,4.5
9/21/21 2:03,1,2,8,3,4,4,2,5,4,3,3,1,50,0,4
9/21/21 2:03,1,2,9,4,5,5,1,1,5,5,5,1,24,0,5
9/21/21 2:07,1,2,9,4,5,5,1,5,5,4,3,1,53,0,5
9/21/21 2:13,1,2,7,4,5,4,4,5,3,3,3,2,31,1,3
9/21/21 2:24,1,2,8,2,5,5,2,5,5,2,2,1,53,1,4.5
9/21/21 2:28,1,2,7,-2,4,4,3,4,4,3,2,2,27,1,3.5
9/21/21 2:40,1,2,9,1,1,3,1,1,1,3,1,2,44,1,4
9/21/21 2:58,1,2,9,4,5,5,1,5,3,3,3,2,33,1,5
9/21/21 3:11,1,2,9,4,5,5,2,5,5,3,3,1,29,0,4.5
