RecordedDate,Condition,choiceDV,surprise,ManipCheck1,ManipCheck2,indiv1,indiv2,age,gender,gender_3_TEXT
11/17/21 15:32,1,2,6,6,7,5,3,32,0,
11/17/21 15:32,1,1,1,7,8,2,5,50,1,
11/17/21 15:33,1,2,9,5,8,7,1,33,0,
11/17/21 15:33,1,2,8,8,9,5,2,48,1,
11/17/21 15:33,1,1,4,9,9,5,3,19,0,
11/17/21 15:33,1,2,1,7,9,2,4,45,0,
11/17/21 15:33,1,2,6,8,9,5,2,33,0,
11/17/21 15:33,1,2,3,4,4,2,1,37,0,
11/17/21 15:34,1,2,9,9,9,7,1,63,0,
11/17/21 15:34,1,2,9,9,9,7,1,35,1,
11/17/21 15:34,1,1,1,7,5,4,4,51,0,
11/17/21 15:34,1,2,7,6,8,6,2,57,0,
11/17/21 15:34,1,2,8,4,8,6,1,63,1,
11/17/21 15:34,1,1,1,6,8,4,2,36,1,
11/17/21 15:34,1,2,6,9,9,5,2,38,0,
11/17/21 15:35,1,2,9,9,9,4,2,47,1,
11/17/21 15:35,1,2,6,6,7,4,3,33,1,
11/17/21 15:35,1,2,7,9,9,5,2,54,0,
11/17/21 15:35,1,2,3,9,9,3,6,25,1,
11/17/21 15:35,1,1,3,8,9,3,5,28,1,
11/17/21 15:35,1,2,5,6,5,5,3,42,1,
11/17/21 15:36,1,2,5,7,9,2,6,54,0,
11/17/21 15:36,1,1,1,9,9,2,6,27,1,
11/17/21 15:36,1,1,5,5,6,4,5,30,4,
11/17/21 15:36,1,1,2,9,9,3,5,34,4,
11/17/21 15:36,1,2,9,9,9,7,1,40,0,
11/17/21 15:36,1,2,9,6,9,7,1,46,0,
11/17/21 15:37,1,2,4,7,5,4,2,33,0,
11/17/21 15:37,1,2,1,9,9,1,7,66,1,
11/17/21 15:37,1,1,6,9,9,1,7,50,0,
11/17/21 15:37,1,1,1,5,8,4,3,45,0,
11/17/21 15:37,1,1,1,7,9,7,1,89,0,
11/17/21 15:38,1,1,4,7,9,4,4,29,0,
11/17/21 15:38,1,2,7,8,8,5,2,48,0,
11/17/21 15:38,1,1,1,7,5,3,5,40,1,
11/17/21 15:38,1,1,1,6,7,3,5,53,0,
11/17/21 15:38,1,1,5,5,5,4,4,26,0,
11/17/21 15:39,1,2,1,9,9,1,7,31,0,
11/17/21 15:39,1,2,2,7,9,4,2,38,1,
11/17/21 15:39,1,2,9,8,9,7,1,29,1,
11/17/21 15:39,1,1,1,9,9,2,4,50,1,
11/17/21 15:39,1,2,9,9,9,7,1,66,0,
11/17/21 15:39,1,2,9,7,7,6,2,31,1,
11/17/21 15:40,1,1,9,9,9,2,4,68,1,
11/17/21 15:40,1,1,9,9,9,1,7,32,0,
11/17/21 15:40,1,1,1,6,9,3,3,44,1,
11/17/21 15:40,1,1,5,5,7,4,6,34,1,
11/17/21 15:41,1,1,4,6,7,5,3,31,0,
11/17/21 15:41,1,2,7,9,9,5,2,46,0,
11/17/21 15:41,1,2,7,8,9,6,1,40,1,
11/17/21 15:42,1,2,5,8,8,3,3,42,0,
11/17/21 15:42,1,2,6,5,6,5,5,21,1,
11/17/21 15:42,1,1,1,1,9,4,3,30,1,
11/17/21 15:44,1,1,1,5,5,2,5,39,0,
11/17/21 15:44,1,1,1,8,1,3,2,58,0,
11/17/21 15:45,1,2,9,9,9,4,4,55,1,
11/17/21 15:48,1,1,2,8,9,3,2,39,1,
11/17/21 15:48,1,2,7,7,8,6,2,25,0,
11/17/21 15:50,1,2,5,6,7,6,2,33,1,
11/17/21 15:51,1,2,4,9,1,5,4,33,0,
11/17/21 15:51,1,2,6,9,9,3,6,39,1,
11/17/21 15:52,1,1,9,9,9,7,2,37,1,
11/17/21 15:55,1,2,7,6,7,4,5,24,1,
11/17/21 15:57,1,2,9,9,9,7,1,28,0,
11/17/21 15:59,1,2,7,5,7,6,2,38,1,
11/17/21 16:03,1,2,9,9,9,4,4,29,0,
11/17/21 16:03,1,1,1,9,9,4,4,63,1,
11/17/21 16:04,1,2,7,8,9,5,3,36,1,
11/17/21 16:04,1,1,9,8,9,2,6,33,1,
11/17/21 16:04,1,2,7,8,9,7,1,57,1,
11/17/21 16:05,1,1,1,9,9,1,7,62,0,
11/17/21 16:05,1,1,8,8,7,5,6,29,0,
11/17/21 16:10,1,2,8,8,9,4,6,34,1,
11/17/21 16:20,1,2,2,9,9,4,1,36,0,
11/17/21 16:23,1,1,7,7,7,4,6,28,1,
11/17/21 16:52,1,2,4,7,8,4,3,23,1,
11/17/21 16:52,1,1,5,7,7,6,1,58,1,
11/17/21 16:52,1,2,9,7,7,7,1,26,2,
11/17/21 16:52,1,2,8,7,8,5,2,39,1,
11/17/21 16:53,1,2,7,8,9,5,2,35,1,
11/17/21 16:53,1,1,2,9,9,1,7,44,1,
11/17/21 16:53,1,1,5,7,8,4,4,44,0,
11/17/21 16:53,1,2,6,8,8,2,5,46,0,
11/17/21 16:54,1,2,3,7,7,5,3,31,0,
11/17/21 16:54,1,2,8,7,9,5,2,49,0,
11/17/21 16:54,1,2,9,9,9,7,1,47,1,
11/17/21 16:54,1,2,7,6,8,4,4,34,0,
11/17/21 16:54,1,2,5,7,8,3,2,36,1,
11/17/21 16:54,1,1,1,8,9,4,3,51,1,
11/17/21 16:54,1,1,1,8,5,3,2,33,1,
11/17/21 16:55,1,2,7,9,9,4,2,43,0,
11/17/21 16:55,1,1,9,7,9,1,7,41,1,
11/17/21 16:55,1,1,9,9,9,1,7,24,0,
11/17/21 16:55,1,1,9,9,9,2,6,32,0,
11/17/21 16:55,1,2,8,8,9,6,1,46,0,
11/17/21 16:55,1,2,9,3,8,6,1,24,1,
11/17/21 16:56,1,2,6,5,7,4,4,42,0,
11/17/21 16:56,1,2,7,7,7,5,3,23,0,
11/17/21 16:56,1,2,9,9,9,6,3,31,1,
11/17/21 16:57,1,2,1,7,9,2,6,34,1,
11/17/21 16:57,1,2,4,7,6,5,2,49,1,
11/17/21 16:58,1,2,7,7,8,5,3,28,1,
11/17/21 16:58,1,2,8,8,8,6,5,52,1,
11/17/21 16:58,1,2,8,4,9,4,4,59,0,
11/17/21 16:59,1,1,1,9,9,2,6,40,0,
11/17/21 16:59,1,2,9,1,1,7,1,45,1,
11/17/21 16:59,1,2,4,9,9,2,3,41,0,
11/17/21 16:59,1,2,4,9,9,4,2,36,0,
11/17/21 16:59,1,2,5,9,9,4,1,42,0,
11/17/21 16:59,1,2,4,4,4,3,5,62,0,
11/17/21 17:00,1,1,4,7,7,3,3,40,1,
11/17/21 17:00,1,2,9,7,9,7,2,67,0,
11/17/21 17:00,1,1,2,9,1,5,2,72,1,
11/17/21 17:00,1,1,7,9,1,7,1,36,0,
11/17/21 17:01,1,2,9,8,7,4,4,39,1,
11/17/21 17:01,1,2,9,7,9,5,2,22,2,
11/17/21 17:02,1,2,9,9,9,7,1,45,0,
11/17/21 17:03,1,1,6,7,8,3,4,34,1,
11/17/21 17:03,1,1,9,8,9,1,7,53,0,
11/17/21 17:03,1,1,1,9,9,4,4,35,0,
11/17/21 17:03,1,2,9,3,9,7,2,46,0,
11/17/21 17:03,1,2,9,6,7,5,4,64,1,
11/17/21 17:03,1,2,2,5,5,6,2,34,1,
11/17/21 17:03,1,2,7,9,9,6,2,59,0,
11/17/21 17:03,1,2,5,6,7,3,4,34,1,
11/17/21 17:04,1,2,9,9,9,2,4,37,0,
11/17/21 17:04,1,2,8,8,9,6,7,41,1,
11/17/21 17:04,1,1,4,6,7,3,5,32,1,
11/17/21 17:05,1,2,5,9,9,3,6,40,0,
11/17/21 17:05,1,1,2,7,8,4,2,33,1,
11/17/21 17:06,1,2,4,4,5,4,3,24,0,
11/17/21 17:06,1,2,9,6,7,7,1,53,1,
11/17/21 17:06,1,1,9,9,9,1,7,38,0,
11/17/21 17:07,1,2,2,4,2,3,4,48,1,
11/17/21 17:07,1,1,1,9,9,4,3,36,0,
11/17/21 17:07,1,2,9,9,9,7,1,47,0,
11/17/21 17:08,1,1,1,7,9,2,5,37,1,
11/17/21 17:08,1,1,4,6,5,4,3,47,1,
11/17/21 17:09,1,2,3,7,9,4,4,27,0,
11/17/21 17:09,1,2,9,8,9,5,4,30,1,
11/17/21 17:10,1,1,5,7,6,5,4,71,0,
11/17/21 17:10,1,1,1,9,9,3,2,33,1,
11/17/21 17:10,1,1,1,5,9,2,6,64,1,
11/17/21 17:10,1,2,7,9,7,6,2,21,0,
11/17/21 17:10,1,2,1,6,5,7,1,38,0,
11/17/21 17:10,1,2,9,7,8,6,3,31,0,
11/17/21 17:12,1,1,5,9,9,1,4,24,1,
11/17/21 17:12,1,2,8,9,9,7,1,33,0,
11/17/21 17:12,1,1,4,6,7,4,3,34,1,
