RecordedDate,different,surprise,age,gender,gender_3_TEXT,condition
11/3/21 21:42,9,5,24,1,,1
11/3/21 21:43,9,6,29,0,,1
11/3/21 21:43,5,7,51,0,,1
11/3/21 21:43,6,6,53,1,,1
11/3/21 21:44,6,4,30,1,,1
11/3/21 21:44,7,7,29,0,,1
11/3/21 21:44,8,8,46,0,,1
11/3/21 21:44,8,9,57,0,,1
11/3/21 21:45,8,9,65,0,,1
11/3/21 21:45,8,9,29,1,,1
11/3/21 21:46,7,7,27,1,,1
11/3/21 21:46,8,6,40,0,,1
11/3/21 21:46,9,9,50,0,,1
11/3/21 21:48,7,6,30,1,,1
11/3/21 21:48,9,9,35,1,,1
11/3/21 21:49,7,9,23,1,,1
11/3/21 21:49,9,9,39,0,,1
11/3/21 21:51,9,9,30,0,,1
11/3/21 21:52,9,9,39,1,,1
11/3/21 21:53,9,9,55,1,,1
11/3/21 21:53,8,2,57,0,,1
11/3/21 21:54,8,9,26,0,,1
11/3/21 21:55,9,9,35,1,,1
11/3/21 21:56,9,9,39,1,,1
11/3/21 21:57,7,8,31,1,,1
11/3/21 21:57,7,9,22,1,,1
11/3/21 21:58,8,7,45,0,,1
11/3/21 22:00,9,9,45,1,,1
11/3/21 22:01,5,9,33,1,,1
11/3/21 22:01,4,4,25,0,,1
11/3/21 22:04,9,9,44,0,,1
11/3/21 22:04,7,7,33,0,,1
11/3/21 22:06,8,9,41,0,,1
11/3/21 22:08,9,9,22,1,,1
11/3/21 22:09,9,9,26,0,,1
11/3/21 22:11,7,9,33,1,,1
11/3/21 22:13,8,8,56,1,,1
11/3/21 22:16,3,8,21,0,,1
11/3/21 22:17,9,9,32,0,,1
11/3/21 22:19,5,6,23,1,,1
11/3/21 22:21,9,9,29,1,,1
11/3/21 22:23,9,9,32,1,,1
11/3/21 22:27,6,8,42,0,,1
11/3/21 22:28,7,3,55,1,,1
11/3/21 22:30,9,9,32,0,,1
11/3/21 22:31,9,9,33,1,,1
11/3/21 22:40,7,5,29,1,,1
11/3/21 22:44,9,9,34,1,,1
11/3/21 22:44,9,9,51,1,,1
11/3/21 21:42,3,1,50,1,,0
11/3/21 21:43,2,1,65,0,,0
11/3/21 21:43,3,6,30,0,,0
11/3/21 21:43,4,6,39,0,,0
11/3/21 21:44,8,7,33,1,,0
11/3/21 21:44,3,2,50,1,,0
11/3/21 21:44,5,4,23,0,,0
11/3/21 21:44,4,9,34,0,,0
11/3/21 21:45,5,6,30,0,,0
11/3/21 21:46,6,6,51,0,,0
11/3/21 21:46,4,3,23,0,,0
11/3/21 21:46,4,1,30,0,,0
11/3/21 21:47,2,3,28,1,,0
11/3/21 21:47,3,4,40,1,,0
11/3/21 21:48,6,7,21,0,,0
11/3/21 21:49,2,3,28,1,,0
11/3/21 21:49,7,7,61,1,,0
11/3/21 21:49,5,7,19,0,,0
11/3/21 21:51,6,5,34,1,,0
11/3/21 21:52,2,7,47,0,,0
11/3/21 21:52,7,6,49,1,,0
11/3/21 21:55,3,3,50,0,,0
11/3/21 21:56,3,7,28,0,,0
11/3/21 21:56,4,3,58,1,,0
11/3/21 21:56,5,4,33,1,,0
11/3/21 21:57,6,3,37,0,,0
11/3/21 21:57,3,2,36,1,,0
11/3/21 21:58,8,7,29,0,,0
11/3/21 21:59,5,8,23,1,,0
11/3/21 22:01,3,6,28,0,,0
11/3/21 22:03,3,1,65,0,,0
11/3/21 22:04,3,2,21,1,,0
11/3/21 22:05,1,9,65,0,,0
11/3/21 22:06,2,2,31,1,,0
11/3/21 22:08,4,3,53,2,,0
11/3/21 22:11,5,6,53,1,,0
11/3/21 22:12,5,5,39,0,,0
11/3/21 22:14,5,4,43,0,,0
11/3/21 22:14,1,1,32,0,,0
11/3/21 22:17,2,2,29,1,,0
11/3/21 22:19,9,1,20,0,,0
11/3/21 22:20,6,7,58,0,,0
11/3/21 22:21,3,4,28,1,,0
11/3/21 22:23,6,9,33,1,,0
11/3/21 22:25,8,9,25,1,,0
11/3/21 22:26,4,7,37,1,,0
11/3/21 22:28,3,3,34,0,,0
11/3/21 22:38,4,8,29,0,,0
11/3/21 22:42,5,7,34,1,,0
11/3/21 22:44,4,6,19,1,,0
