rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10,rating_11,rating_12,rating_13,rating_14,rating_15,rating_16,rating_17,rating_18,rating_19,rating_20,snacks,eat,frequency,care,age,gender
3.7,2.43,0.53,1.57,2.43,2.47,3.67,2.53,2.4,4.4,2.47,2.37,1.57,3.57,1.37,2.47,1.53,1.57,4.5,2.7,6,4,4,4,54,0
4.29,3.85,0.82,0.52,0.35,1.55,1.45,2.32,0.39,2.32,4.39,4.39,1.39,2.25,0.29,4.25,3.35,0.65,4.45,0.42,4,2,2,5,44,1
2.98,3.88,3.45,2.45,2.75,3.35,1.95,2.42,2.42,2.55,3.92,3.55,3.42,1.98,3.48,3.42,3.75,2.52,2.88,3.48,5,4,6,5,27,1
4.55,3.55,3.42,1.88,4.55,2.32,2.55,4.28,3.58,4.75,4.72,2.62,3.88,1.32,3.25,1.45,1.78,3.42,4.92,4.88,7,6,6,4,42,0
4.85,4.91,4.91,4.88,4.85,4.78,4.75,4.88,4.88,4.85,4.85,4.85,4.81,4.78,4.78,4.88,4.78,4.75,4.81,4.75,7,7,7,4,58,0
1.77,4.7,4.4,2.73,4.73,3.53,3.57,3.63,4.87,4.5,4.1,1.77,3.97,3.8,4.7,4.57,4.87,1.4,4.57,4.7,7,6,7,5,49,0
4.62,4.52,2.59,0.45,0.25,4.59,2.69,0.69,0.42,4.69,4.49,4.69,0.39,0.52,2.82,4.55,4.62,4.62,2.45,0.55,7,7,7,5,54,1
3.48,1.92,2.95,2.42,2.65,1.02,0.68,3.95,4.82,4.95,2.48,0.75,3.72,3.98,0.25,1.58,2.78,1.02,2.52,3.75,5,6,5,4,29,0
3.55,1.58,1.42,2.02,4.35,1.92,3.18,4.18,3.12,1.82,4.48,3.12,3.15,3.72,3.68,2.02,3.98,3.02,2.08,4.35,6,4,5,2,34,1
2.98,4.38,2.58,3.02,3.38,4.22,3.05,4.32,2.58,3.48,4.68,3.02,2.55,3.08,3.35,2.35,3.45,3.45,3.05,3.05,6,4,3,6,21,1
3.55,2.89,3.52,3.52,3.72,3.55,3.55,3.69,3.62,3.19,3.19,0.69,0.62,1.59,3.35,3.99,0.52,1.35,0.55,2.45,6,6,6,6,43,0
0.3,3.73,3.43,1.7,1.93,4.73,1.5,3.57,0.73,3.47,4.83,4.7,3.23,1.43,1.9,3.67,3.93,0.87,0.77,3.7,5,2,2,7,37,1
0,5,2.62,0,0,0,3.25,3.02,0,4.55,0,5,1.98,3.75,1.05,3.12,5,3.58,0,5,5,3,3,6,56,1
3,2.98,3.98,1.99,0.87,2.96,0.81,3.52,0.82,2.72,2.87,3.97,0.93,2.9,1.2,2.87,3.01,1.07,0.93,2.93,3,3,4,4,46,0
3.28,3.72,3.25,3.38,4.42,3.48,1.58,3.55,1.62,2.35,4.62,4.62,4.52,2.58,3.48,3.52,2.78,2.35,3.52,3.52,7,6,4,5,35,1
4.85,4.95,1.95,4.15,0.95,4.58,3.05,4.85,2.05,4.92,3.65,2.55,0.58,4.82,0.52,4.12,0.92,0.25,2.02,4.78,7,6,6,6,27,0
