Finished,RecordedDate,CHOICEdv,age,gender,Condition
1,2/11/21 20:15,1,50,1,1
1,2/11/21 20:29,1,51,0,1
1,2/11/21 20:35,1,32,0,1
1,2/11/21 20:39,1,33,1,1
1,2/11/21 20:42,1,44,0,1
1,2/11/21 20:56,1,60,1,1
1,2/11/21 21:02,1,27,0,1
1,2/11/21 21:08,1,28,0,1
1,2/11/21 21:10,1,40,0,1
1,2/11/21 21:32,1,30,0,1
1,2/11/21 22:04,1,32,0,1
1,2/11/21 22:28,1,67,0,1
1,2/12/21 0:52,1,32,1,1
1,2/12/21 4:33,1,28,1,1
1,2/12/21 5:59,1,56,0,1
1,2/12/21 6:24,1,34,1,1
1,2/12/21 6:45,1,72,0,1
1,2/12/21 7:30,1,41,1,1
1,2/12/21 8:16,1,52,1,1
1,2/12/21 8:44,1,28,1,1
1,2/12/21 11:43,1,63,1,1
1,2/12/21 12:19,1,39,1,1
1,2/12/21 13:02,1,59,0,1
1,2/12/21 15:32,1,38,1,1
1,2/12/21 15:33,1,33,1,1
1,2/12/21 15:42,1,24,1,1
1,2/12/21 15:48,1,53,1,1
1,2/12/21 15:54,1,31,0,1
1,2/12/21 15:55,1,32,1,1
1,2/12/21 15:56,1,36,1,1
1,2/12/21 16:47,1,40,0,1
0,2/19/21 7:04,1,,,1
1,2/11/21 20:13,2,44,0,1
1,2/11/21 20:19,2,73,0,1
1,2/11/21 20:21,2,32,0,1
1,2/11/21 20:23,2,44,1,1
1,2/11/21 20:38,2,30,0,1
1,2/11/21 20:47,2,66,1,1
1,2/11/21 20:49,2,59,1,1
1,2/11/21 20:52,2,47,0,1
1,2/11/21 20:59,2,44,1,1
1,2/11/21 21:02,2,24,0,1
1,2/11/21 21:13,2,37,0,1
1,2/11/21 21:13,2,70,1,1
1,2/11/21 21:20,2,49,1,1
1,2/11/21 21:33,2,42,0,1
1,2/11/21 21:41,2,38,0,1
1,2/11/21 22:11,2,43,1,1
1,2/11/21 22:43,2,37,1,1
1,2/11/21 22:58,2,32,0,1
1,2/11/21 23:12,2,27,1,1
1,2/11/21 23:23,2,38,0,1
1,2/12/21 2:51,2,32,0,1
1,2/12/21 3:06,2,23,0,1
1,2/12/21 3:39,2,36,0,1
1,2/12/21 4:10,2,40,1,1
1,2/12/21 4:19,2,30,1,1
1,2/12/21 4:28,2,60,0,1
1,2/12/21 4:42,2,34,0,1
1,2/12/21 4:57,2,43,0,1
1,2/12/21 5:17,2,45,0,1
1,2/12/21 5:29,2,41,0,1
1,2/12/21 6:53,2,32,1,1
1,2/12/21 7:42,2,61,0,1
1,2/12/21 7:59,2,63,1,1
1,2/12/21 8:59,2,64,0,1
1,2/12/21 9:42,2,50,0,1
1,2/12/21 10:54,2,25,0,1
1,2/12/21 11:14,2,39,0,1
1,2/12/21 11:31,2,33,1,1
1,2/12/21 11:58,2,42,1,1
1,2/12/21 12:43,2,69,0,1
1,2/12/21 12:53,2,35,0,1
1,2/12/21 14:15,2,49,1,1
1,2/12/21 15:31,2,32,1,1
1,2/12/21 15:32,2,33,0,1
1,2/12/21 15:34,2,26,1,1
1,2/12/21 15:37,2,33,0,1
1,2/12/21 15:37,2,57,1,1
1,2/12/21 15:38,2,61,0,1
1,2/12/21 15:39,2,31,1,1
1,2/12/21 15:40,2,57,0,1
1,2/12/21 15:41,2,31,0,1
1,2/12/21 15:41,2,37,1,1
1,2/12/21 15:46,2,30,1,1
1,2/12/21 15:49,2,41,1,1
1,2/12/21 15:49,2,40,0,1
1,2/12/21 15:52,2,33,0,1
1,2/12/21 15:52,2,30,0,1
1,2/12/21 15:55,2,39,0,1
1,2/12/21 16:01,2,40,1,1
1,2/12/21 16:02,2,21,0,1
1,2/12/21 16:07,2,43,0,1
1,2/12/21 16:14,2,24,0,1
1,2/12/21 16:14,2,25,1,1
1,2/12/21 16:17,2,42,0,1
1,2/12/21 16:19,2,31,0,1
1,2/12/21 16:26,2,31,1,1
1,2/12/21 16:41,2,35,1,1
0,2/18/21 20:20,2,35,2,1
0,2/18/21 22:44,2,,,1
0,2/19/21 2:30,2,,,1
0,2/19/21 5:42,2,,,1
0,2/19/21 6:08,2,45,0,1
0,2/19/21 15:31,2,,,1
0,2/19/21 15:34,2,,,1
0,2/19/21 15:54,2,,,1
1,2/11/21 20:15,1,36,0,2
1,2/11/21 20:17,1,31,0,2
1,2/11/21 20:17,1,33,0,2
1,2/11/21 20:21,1,35,0,2
1,2/11/21 20:33,1,35,0,2
1,2/11/21 20:40,1,22,0,2
1,2/11/21 20:42,1,29,0,2
1,2/11/21 20:42,1,25,0,2
1,2/11/21 20:59,1,29,1,2
1,2/11/21 21:07,1,74,0,2
1,2/11/21 21:07,1,28,1,2
1,2/11/21 21:13,1,47,1,2
1,2/11/21 21:21,1,40,1,2
1,2/11/21 21:36,1,39,1,2
1,2/11/21 21:43,1,23,0,2
1,2/11/21 22:06,1,29,1,2
1,2/11/21 22:11,1,34,0,2
1,2/11/21 23:04,1,69,0,2
1,2/11/21 23:16,1,36,0,2
1,2/12/21 0:50,1,31,1,2
1,2/12/21 3:12,1,32,0,2
1,2/12/21 3:28,1,48,0,2
1,2/12/21 4:00,1,32,0,2
1,2/12/21 4:33,1,42,0,2
1,2/12/21 5:12,1,41,1,2
1,2/12/21 5:13,1,37,0,2
1,2/12/21 5:49,1,39,1,2
1,2/12/21 6:45,1,23,1,2
1,2/12/21 6:45,1,37,0,2
1,2/12/21 6:56,1,49,0,2
1,2/12/21 7:21,1,34,0,2
1,2/12/21 7:47,1,27,0,2
1,2/12/21 7:56,1,32,1,2
1,2/12/21 8:09,1,37,0,2
1,2/12/21 8:34,1,51,0,2
1,2/12/21 9:30,1,66,1,2
1,2/12/21 11:42,1,46,0,2
1,2/12/21 11:45,1,41,0,2
1,2/12/21 12:04,1,33,0,2
1,2/12/21 12:27,1,45,1,2
1,2/12/21 13:10,1,42,0,2
1,2/12/21 14:42,1,42,1,2
1,2/12/21 15:17,1,25,1,2
1,2/12/21 15:34,1,43,1,2
1,2/12/21 15:34,1,37,0,2
1,2/12/21 15:37,1,35,1,2
1,2/12/21 15:38,1,49,0,2
1,2/12/21 15:38,1,24,1,2
1,2/12/21 15:40,1,47,0,2
1,2/12/21 15:41,1,58,1,2
1,2/12/21 15:42,1,58,1,2
1,2/12/21 15:47,1,38,1,2
1,2/12/21 15:47,1,30,1,2
1,2/12/21 15:48,1,42,1,2
1,2/12/21 15:50,1,64,0,2
1,2/12/21 15:52,1,50,0,2
1,2/12/21 15:54,1,33,1,2
1,2/12/21 15:58,1,34,0,2
1,2/12/21 16:00,1,43,1,2
1,2/12/21 16:06,1,65,1,2
1,2/12/21 16:07,1,29,1,2
