RecordedDate,Condition,choiceDV,rep_surp,focus_b,focus_w,focus_w.r,FocusIdx,imagery,Fun,Affect,Cognitive,age,gender
9/8/21 21:02,1,2,5,4,2,4,4,4,2,2,3,39,1
9/8/21 21:03,1,2,2,4,4,2,3,4,3,4,3,18,1
9/8/21 21:04,1,2,5,4,3,3,3.5,5,5,4,4,48,1
9/8/21 21:05,1,1,5,4,4,2,3,5,2,4,2,34,1
9/8/21 21:05,1,1,5,2,4,2,2,5,2,4,1,38,1
9/8/21 21:05,1,2,5,4,1,5,4.5,3,4,1,1,30,1
9/8/21 21:05,1,2,5,4,4,2,3,4,4,3,2,27,1
9/8/21 21:05,1,2,4,4,1,5,4.5,4,1,3,1,60,0
9/8/21 21:06,1,2,5,4,2,4,4,4,4,3,2,32,1
9/8/21 21:06,1,2,4,5,2,4,4.5,3,4,3,2,25,1
9/8/21 21:06,1,1,5,1,5,1,1,2,2,1,1,37,1
9/8/21 21:06,1,2,4,4,1,5,4.5,3,5,4,4,49,1
9/8/21 21:07,1,2,5,5,3,3,4,4,5,3,3,54,0
9/8/21 21:07,1,1,4,2,4,2,2,4,3,4,4,40,1
9/8/21 21:07,1,2,3,4,2,4,4,5,4,3,4,41,1
9/8/21 21:07,1,2,4,4,1,5,4.5,4,3,2,2,30,1
9/8/21 21:08,1,2,3,3,3,3,3,3,3,3,3,31,1
9/8/21 21:08,1,2,5,5,4,2,3.5,5,5,3,4,55,0
9/8/21 21:09,1,2,5,5,1,5,5,5,4,3,3,50,0
9/8/21 21:09,1,2,5,3,3,3,3,3,4,3,4,24,0
9/8/21 21:11,1,2,5,5,2,4,4.5,5,5,4,3,26,0
9/8/21 21:11,1,2,5,4,1,5,4.5,5,5,4,3,26,1
9/8/21 21:11,1,2,4,4,3,3,3.5,4,3,3,3,31,1
9/8/21 21:11,1,2,5,4,3,3,3.5,4,4,3,2,26,0
9/8/21 21:11,1,2,5,4,2,4,4,4,5,3,3,39,1
9/8/21 21:11,1,2,4,5,1,5,5,4,4,3,2,37,1
9/8/21 21:12,1,2,4,5,2,4,4.5,4,4,3,3,37,1
9/8/21 21:12,1,2,3,4,5,1,2.5,3,2,2,2,31,0
9/8/21 21:12,1,2,5,4,2,4,4,5,4,3,3,36,0
