RecordedDate,condition,choiceDV,surprise,focus,rep_surp,age,gender,gender_3_TEXT
9/22/21 18:10,1,1,4,-3,7,24,1,
9/22/21 18:11,1,1,1,-3,7,48,1,
9/22/21 18:11,1,2,7,0,7,42,1,
9/22/21 18:11,1,2,7,1,6,23,1,
9/22/21 18:11,1,2,6,1,7,26,1,
9/22/21 18:12,1,1,3,2,6,57,0,
9/22/21 18:12,1,1,5,-1,5,38,1,
9/22/21 18:12,1,1,6,-1,7,36,1,
9/22/21 18:13,1,2,3,4,7,30,1,
9/22/21 18:13,1,2,8,2,6,31,1,
9/22/21 18:13,1,1,3,-2,7,40,0,
9/22/21 18:14,1,2,9,0,7,38,1,
9/22/21 18:14,1,2,7,4,7,44,1,
9/22/21 18:14,1,2,7,0,7,43,0,
9/22/21 18:15,1,2,9,3,7,52,1,
9/22/21 18:15,1,1,5,0,7,32,0,
9/22/21 18:15,1,2,9,4,7,34,1,
9/22/21 18:15,1,1,8,-3,7,32,1,
9/22/21 18:16,1,1,3,4,7,29,0,
9/22/21 18:17,1,2,5,3,7,30,1,
9/22/21 18:17,1,2,7,1,7,53,1,
9/22/21 18:17,1,1,1,-1,7,30,0,
9/22/21 18:18,1,2,9,0,7,29,1,
9/22/21 18:18,1,2,6,2,6,25,1,
9/22/21 18:19,1,2,5,1,7,24,1,
9/22/21 18:19,1,1,9,-4,7,40,0,
9/22/21 18:21,1,2,8,2,7,53,0,
9/22/21 18:21,1,1,9,-4,7,40,1,
9/22/21 18:21,1,2,7,3,7,47,0,
9/22/21 18:21,1,1,2,-4,7,40,0,
9/22/21 18:22,1,2,9,4,7,32,1,
9/22/21 18:23,1,2,7,-3,7,49,0,
9/22/21 18:23,1,1,1,4,7,20,1,
9/22/21 18:24,1,2,9,4,7,44,0,
9/22/21 18:24,1,2,9,0,4,30,0,
9/22/21 18:24,1,2,8,2,7,37,1,
9/22/21 18:24,1,1,1,-4,7,48,0,
9/22/21 18:25,1,2,5,1,6,24,0,
9/22/21 18:25,1,2,9,0,7,26,0,
9/22/21 18:25,1,1,3,-4,4,64,0,
9/22/21 18:26,1,2,9,0,7,25,1,
9/22/21 18:26,1,2,8,1,7,24,1,
9/22/21 18:27,1,1,8,4,7,53,1,
9/22/21 18:28,1,2,9,4,7,39,1,
9/22/21 18:28,1,1,1,-4,7,33,0,
9/22/21 18:29,1,2,5,1,6,35,0,
9/22/21 18:31,1,2,5,3,4,32,0,
9/22/21 18:31,1,2,7,2,7,46,1,
9/22/21 18:32,1,1,4,0,3,40,1,
9/22/21 18:34,1,2,9,0,7,31,0,
9/22/21 18:34,1,2,8,3,7,44,0,
9/22/21 18:36,1,1,1,0,1,30,1,
9/22/21 18:36,1,1,5,-2,7,36,0,
9/22/21 18:36,1,2,6,0,7,24,1,
9/22/21 18:38,1,2,6,3,7,26,0,
9/22/21 18:38,1,2,9,0,7,42,0,
9/22/21 18:39,1,2,4,2,7,34,1,
9/22/21 18:40,1,2,3,4,7,42,1,
9/22/21 18:40,1,2,7,4,7,29,0,
9/22/21 18:41,1,2,8,2,7,35,1,
9/22/21 18:42,1,2,3,2,7,44,1,
9/22/21 18:42,1,1,1,4,7,28,1,
9/22/21 18:42,1,1,3,3,4,47,1,
9/22/21 18:44,1,1,7,2,3,37,0,
9/22/21 18:44,1,2,6,1,7,32,1,
9/22/21 18:44,1,2,3,-2,6,53,0,
9/22/21 18:45,1,2,9,3,7,61,1,
9/22/21 18:46,1,2,9,3,7,48,1,
9/22/21 18:47,1,1,3,4,7,31,1,
9/22/21 18:47,1,1,1,4,7,58,0,
9/22/21 18:48,1,2,5,1,7,28,1,
9/22/21 18:51,1,2,9,4,7,38,0,
9/22/21 18:51,1,1,2,2,7,49,1,
9/22/21 18:54,1,2,7,1,7,54,1,
9/22/21 18:54,1,1,1,4,7,33,0,
9/22/21 18:57,1,2,7,4,7,21,1,
9/22/21 18:58,1,2,6,1,7,36,1,
9/22/21 18:59,1,2,9,4,7,37,0,
9/22/21 18:59,1,1,1,-4,7,29,1,
9/22/21 19:02,1,2,7,4,7,33,0,
9/22/21 19:04,1,2,7,1,6,43,1,
9/22/21 19:05,1,1,1,0,7,24,0,
9/22/21 19:07,1,2,1,4,7,33,1,
9/22/21 19:08,1,2,3,3,3,38,1,
9/22/21 19:10,1,1,7,-4,7,37,0,
9/22/21 19:11,1,2,8,0,7,46,1,
9/22/21 19:15,1,2,7,1,5,26,1,
9/22/21 19:15,1,1,4,4,7,24,0,
9/22/21 19:16,1,1,1,4,7,25,0,
9/22/21 19:22,1,1,1,1,7,47,0,
