RecordedDate,condition,choice,surprise,focus,rep_surp,uncert,risky,exciting,gift,unknown,imagery,affect,cogn,age,gender,gender_3_TEXT
10/6/21 9:56,1,2,9,4,7,7,7,7,7,7,,,,18,0,
10/6/21 9:58,1,2,7,4,7,7,4,7,7,7,,,,20,1,
10/6/21 9:59,1,1,3,-3,7,5,6,7,4,7,,,,19,1,
10/6/21 9:59,1,2,9,1,7,7,4,6,7,7,,,,19,0,
10/6/21 10:02,1,2,6,2,7,7,7,7,7,7,,,,18,0,
10/6/21 10:54,1,2,7,4,7,7,6,6,5,7,,,,38,1,
10/6/21 10:56,1,1,6,-4,7,7,7,7,7,7,,,,18,1,
10/7/21 11:23,1,1,3,2,7,7,7,5,4,7,3,3,3,19,1,
10/7/21 11:23,1,2,2,1,7,7,7,5,4,7,5,5,5,19,1,
10/7/21 14:32,1,2,9,0,7,7,7,7,7,7,7,7,7,18,1,
10/7/21 14:32,1,2,9,4,7,6,7,7,7,7,5,2,2,20,0,
10/7/21 14:33,1,1,3,-2,2,6,6,5,5,5,5,5,4,20,0,
10/7/21 14:36,1,2,3,0,7,7,7,7,7,7,5,5,4,19,1,
10/7/21 14:37,1,1,8,2,7,7,7,5,5,7,7,4,6,18,0,
10/7/21 14:39,1,2,8,2,7,7,7,7,5,7,4,4,4,20,0,
10/7/21 14:40,1,1,3,-3,7,7,7,6,6,7,4,4,4,20,0,
10/7/21 14:40,1,2,6,-1,7,7,7,6,6,5,6,4,5,21,4,
10/7/21 15:24,1,2,6,2,7,7,7,6,7,7,5,4,4,20,1,
10/7/21 15:25,1,1,4,1,7,7,7,7,7,7,7,1,2,22,0,
10/7/21 15:25,1,2,1,-4,7,7,7,7,7,7,7,7,7,19,0,
10/7/21 15:26,1,2,6,0,6,5,5,4,4,5,5,4,4,19,0,
10/7/21 15:27,1,2,4,2,7,6,6,5,4,6,5,4,4,19,0,
10/7/21 15:27,1,1,8,-4,7,7,7,7,7,7,7,7,7,20,0,
10/7/21 15:29,1,2,9,4,7,7,7,7,7,7,7,5,6,18,0,
10/7/21 15:35,1,2,9,4,7,7,6,6,7,7,7,7,4,18,0,
10/8/21 10:19,1,2,1,-4,7,7,7,7,7,7,7,7,7,20,0,
10/8/21 10:21,1,1,1,-4,7,7,7,6,6,7,5,4,4,20,1,
10/8/21 10:21,1,2,7,3,7,7,7,7,4,7,7,7,4,20,0,
10/8/21 10:26,1,2,8,0,7,6,5,6,6,7,7,4,4,21,0,
10/8/21 10:28,1,2,7,2,7,7,1,7,7,7,7,7,7,19,1,
10/8/21 11:13,1,2,6,0,6,6,5,5,4,6,4,4,4,21,1,
10/8/21 11:14,1,2,6,4,7,7,7,7,4,7,7,6,6,22,0,
10/8/21 11:15,1,1,2,2,7,7,7,6,2,7,5,3,3,22,0,
10/8/21 11:14,1,2,7,2,7,7,7,5,5,5,5,5,5,18,1,
10/8/21 11:16,1,1,9,-3,7,7,7,5,4,7,5,2,5,22,0,
10/8/21 11:17,1,2,8,0,7,7,6,7,7,7,7,6,6,21,0,
10/8/21 11:20,1,1,3,-2,6,6,6,6,7,7,5,5,5,21,0,
10/8/21 13:11,1,2,6,2,6,7,7,7,3,7,7,4,4,19,1,
10/8/21 13:13,1,2,8,3,7,7,7,7,4,7,7,6,6,19,1,
10/8/21 13:12,1,2,6,4,7,7,7,6,7,7,4,4,4,18,1,
10/8/21 13:14,1,1,1,-4,7,6,7,5,2,7,6,6,7,18,0,
10/8/21 13:12,1,2,7,2,7,7,4,7,7,7,7,4,4,19,1,
10/8/21 13:12,1,2,6,2,7,7,7,6,6,7,4,4,4,21,0,
10/8/21 13:12,1,2,8,2,7,7,7,7,7,7,7,6,6,21,1,
10/8/21 13:15,1,1,1,4,7,2,7,5,4,7,6,4,3,18,0,
10/8/21 14:24,1,2,2,0,7,7,4,7,7,7,7,7,7,19,0,
10/8/21 14:26,1,2,6,3,7,7,7,7,7,7,7,7,6,20,0,
10/8/21 14:27,1,2,3,-2,7,7,2,7,7,7,2,7,7,19,0,
10/8/21 14:28,1,2,7,2,7,7,7,6,6,7,5,5,5,20,1,
10/8/21 14:29,1,2,6,2,7,7,7,7,7,7,7,4,3,19,0,
10/8/21 14:30,1,2,7,2,7,7,7,7,7,7,7,5,7,20,0,
10/8/21 14:46,1,2,9,2,7,1,7,7,7,7,7,7,7,33,0,
10/8/21 15:19,1,2,1,0,7,7,7,7,7,7,7,7,7,21,1,
10/8/21 15:21,1,2,5,4,7,7,7,7,7,7,2,4,4,18,1,
10/8/21 15:22,1,1,9,4,4,7,7,6,6,7,7,5,3,18,0,
10/8/21 15:23,1,2,9,4,1,7,7,7,7,7,7,7,7,19,0,
10/8/21 15:25,1,2,7,0,7,7,4,7,5,7,4,4,4,21,1,
10/8/21 15:28,1,2,6,0,7,7,5,7,7,7,7,7,4,21,0,
10/8/21 15:30,1,1,4,3,7,7,7,5,5,6,4,4,4,20,1,
10/11/21 9:21,1,2,9,0,7,7,4,7,7,7,7,7,7,19,1,
10/11/21 9:24,1,2,6,2,7,7,7,6,6,6,6,4,4,19,0,
10/11/21 9:27,1,2,6,2,7,7,7,7,4,7,7,4,6,20,0,
10/11/21 10:14,1,1,4,2,7,7,7,4,3,7,7,5,4,21,0,
10/11/21 10:13,1,2,5,2,7,6,7,5,5,6,5,2,2,18,0,
10/11/21 10:15,1,2,8,3,7,7,7,6,6,7,5,4,5,18,0,
10/11/21 10:14,1,1,1,4,7,7,7,4,4,7,1,1,1,20,0,
10/11/21 10:15,1,2,7,-3,6,6,6,7,4,6,2,2,4,19,1,
10/11/21 10:16,1,2,7,3,7,7,7,6,7,7,7,5,4,19,1,
10/11/21 10:17,1,2,7,0,6,5,6,7,2,6,5,2,4,18,1,
10/12/21 10:10,1,2,9,3,7,7,7,7,7,7,5,5,5,19,1,
10/12/21 10:12,1,2,7,3,7,7,7,6,4,5,6,2,1,21,0,
10/12/21 10:13,1,2,8,3,7,7,7,7,7,7,7,5,4,29,1,
10/12/21 10:11,1,2,7,1,7,7,7,6,6,7,6,6,3,19,1,
10/12/21 10:11,1,2,9,4,7,7,7,6,6,7,7,7,6,18,1,
10/12/21 11:28,1,1,2,0,7,7,7,7,7,7,7,4,6,20,0,
10/12/21 11:29,1,2,6,4,7,7,7,4,5,7,5,4,4,20,0,
10/12/21 11:34,1,2,9,-3,7,7,7,6,4,7,7,4,4,19,1,
10/12/21 11:35,1,1,3,2,7,7,7,5,4,6,4,5,3,19,0,
10/12/21 11:39,1,2,6,3,7,7,7,6,7,7,7,4,4,18,0,
10/12/21 11:41,1,1,3,-2,7,7,7,5,7,7,3,5,4,18,1,
10/12/21 12:23,1,2,5,2,5,6,3,6,4,5,5,5,5,19,1,
10/12/21 12:25,1,1,5,-3,7,7,7,6,5,6,7,3,2,20,1,
10/12/21 12:25,1,1,3,-2,7,7,7,4,5,6,5,4,4,21,0,
10/12/21 12:27,1,2,1,4,7,7,7,5,7,6,6,4,4,21,0,
10/12/21 12:27,1,1,1,-4,7,7,6,6,6,7,7,2,3,21,0,
10/12/21 12:27,1,2,6,2,7,7,7,5,6,5,6,4,4,19,0,
10/12/21 12:28,1,1,4,2,6,6,7,5,4,6,5,3,2,21,0,
10/12/21 13:16,1,1,5,0,7,7,7,7,5,7,6,4,4,20,1,
10/12/21 13:18,1,1,2,-4,7,7,7,6,6,7,2,3,3,20,1,
10/12/21 13:17,1,2,7,2,7,7,7,7,7,7,7,7,7,19,0,
10/12/21 13:19,1,1,4,4,7,7,7,5,5,5,7,7,7,19,0,
10/12/21 13:19,1,2,9,4,7,7,7,7,7,7,7,5,2,19,1,
10/12/21 13:19,1,1,1,0,7,7,7,4,7,7,7,4,4,18,0,
10/12/21 13:27,1,2,7,2,7,7,7,7,5,7,4,5,4,19,0,
10/13/21 9:18,1,2,7,1,7,7,7,7,7,7,2,3,3,21,1,
10/13/21 9:18,1,2,6,0,7,7,7,5,7,7,1,4,4,19,0,
10/13/21 9:20,1,1,3,0,7,7,6,5,4,6,4,4,4,20,0,
10/13/21 9:19,1,2,6,2,7,7,5,6,6,7,5,4,4,21,1,
10/13/21 9:21,1,2,9,0,7,7,7,7,7,7,4,5,5,18,0,
10/13/21 9:36,1,2,3,4,7,7,7,7,7,7,1,7,7,18,0,
10/13/21 10:10,1,1,5,1,7,7,7,4,5,7,7,5,5,18,1,
10/13/21 10:11,1,2,9,3,7,7,7,7,7,7,5,5,4,19,0,
10/13/21 10:11,1,1,1,-2,7,7,7,4,4,7,5,1,1,18,0,
10/13/21 10:08,1,2,5,-1,7,7,7,6,6,7,6,4,4,19,0,
10/13/21 10:09,1,2,8,1,7,7,7,6,6,6,5,5,5,19,0,
10/13/21 11:25,1,1,3,4,7,7,7,5,5,7,7,4,4,21,0,
