RecordedDate,cond,choice,ManipCheck,ManipSurprise,Inddif1,Inddif2,Individ_diff,age,gender,gender_3_TEXT
10/26/21 19:29,1,2,3,5,3,5,3,26,0,
10/26/21 19:29,1,2,7,9,6,2,6,38,1,
10/26/21 19:30,1,2,9,9,4,1,5.5,31,0,
10/26/21 19:30,1,1,5,7,4,2,5,51,0,
10/26/21 19:31,1,1,8,9,2,6,2,40,0,
10/26/21 19:31,1,2,9,9,3,5,3,23,1,
10/26/21 19:32,1,1,7,9,5,2,5.5,38,0,
10/26/21 19:32,1,1,9,9,2,7,1.5,49,0,
10/26/21 19:32,1,1,8,8,4,3,4.5,57,0,
10/26/21 19:32,1,1,9,9,6,3,5.5,55,0,
10/26/21 19:32,1,2,7,9,5,3,5,46,0,
10/26/21 19:32,1,1,5,1,1,7,1,48,0,
10/26/21 19:32,1,2,8,9,6,2,6,49,0,
10/26/21 19:32,1,1,6,9,3,5,3,43,0,
10/26/21 19:33,1,2,9,9,6,1,6.5,24,0,
10/26/21 19:33,1,2,3,5,4,4,4,32,1,
10/26/21 19:34,1,2,2,8,4,5,3.5,36,1,
10/26/21 19:34,1,1,8,8,5,2,5.5,40,0,
10/26/21 19:34,1,1,8,9,3,5,3,38,1,
10/26/21 19:34,1,1,6,7,5,4,4.5,56,1,
10/26/21 19:35,1,2,7,9,4,2,5,43,0,
10/26/21 19:35,1,1,7,9,3,5,3,68,0,
10/26/21 19:35,1,1,9,9,4,4,4,34,1,
10/26/21 19:36,1,2,9,9,7,1,7,35,1,
10/26/21 19:36,1,2,5,9,7,2,6.5,37,0,
10/26/21 19:36,1,2,7,9,3,5,3,23,0,
10/26/21 19:36,1,2,9,9,7,1,7,30,0,
10/26/21 19:37,1,2,7,7,7,1,7,29,0,
10/26/21 19:37,1,1,7,9,2,6,2,37,0,
10/26/21 19:38,1,2,9,8,6,2,6,32,0,
10/26/21 19:38,1,2,8,9,5,3,5,53,1,
10/26/21 19:38,1,2,7,9,7,2,6.5,39,0,
10/26/21 19:38,1,2,8,9,3,5,3,52,1,
10/26/21 19:39,1,2,7,9,5,2,5.5,60,0,
10/26/21 19:39,1,2,9,9,5,3,5,28,0,
10/26/21 19:39,1,1,8,8,2,6,2,48,0,
10/26/21 19:40,1,2,9,9,5,1,6,64,0,
10/26/21 19:41,1,2,7,9,7,2,6.5,31,0,
10/26/21 19:41,1,2,9,9,7,6,4.5,31,0,
10/26/21 19:41,1,2,9,9,6,2,6,45,0,
10/26/21 19:42,1,1,1,8,1,6,1.5,55,0,
10/26/21 19:43,1,2,9,9,7,1,7,23,0,
10/26/21 19:43,1,2,9,9,7,1,7,27,1,
10/26/21 19:43,1,1,9,9,5,2,5.5,84,1,
10/26/21 19:44,1,2,7,9,4,4,4,37,0,
10/26/21 19:44,1,1,9,9,2,6,2,31,1,
10/26/21 19:46,1,1,6,7,3,6,2.5,43,2,
10/26/21 19:46,1,1,6,7,6,3,5.5,24,1,
10/26/21 19:47,1,2,1,1,7,1,7,37,1,
10/26/21 19:47,1,1,7,2,2,5,2.5,46,1,
10/26/21 19:47,1,2,6,8,5,3,5,41,1,
10/26/21 19:47,1,2,7,7,6,2,6,28,1,
