cond,wtp,age,gender
1,10,20,0
1,10,20,0
1,15,19,1
1,5,41,1
1,10,21,1
1,6,19,0
1,10,19,1
1,20,20,1
1,10,21,1
1,5,22,1
1,7,22,0
1,10,20,0
1,13,20,1
1,3,19,0
1,20,21,1
1,5,19,1
1,5,19,0
1,10,21,1
1,10,19,0
1,6,19,1
1,8,20,1
1,10,20,0
1,7,20,1
1,5,20,1
1,20,21,0
1,10,22,0
1,17,20,0
1,5,21,1
1,10,20,1
1,5,21,1
1,10,20,1
1,10,19,1
1,5,20,0
1,3,20,0
1,13,19,0
1,10,20,0
1,10,21,1
1,20,19,1
1,10,21,1
1,8,21,0
1,5,19,1
1,15,21,1
1,15,20,0
1,5,22,1
1,5,20,1
1,10,21,1
2,69,19,2
2,50,21,1
2,15,21,0
2,5,19,1
2,15,20,1
2,20,22,0
2,6,19,0
2,15,20,1
2,8,21,1
2,7,21,0
2,50,20,1
2,50,20,1
2,15,20,1
2,15,21,1
2,20,19,0
2,5,20,1
2,15,19,1
2,8.99,21,1
2,10,22,1
2,0,21,1
2,4,21,0
2,5,21,0
2,20,22,1
2,8,19,0
2,10,20,1
2,10,20,1
2,3,20,1
2,40,20,1
2,13,19,1
2,15,20,1
2,30,19,1
2,5,19,1
2,10,20,1
2,10,20,0
2,40,20,1
2,10,20,1
2,20,19,1
2,20,21,0
2,6,19,0
2,7,22,0
2,7,20,0
2,10,20,1
2,10,22,0
2,7,21,1
2,12,20,0
2,10,21,1
3,15,20,0
3,5,20,0
3,20,20,0
3,4,21,1
3,10,20,1
3,15,19,0
3,15,21,0
3,4,19,0
3,15,20,0
3,5,21,1
3,15,20,1
3,15,19,0
3,15,20,0
3,15,20,1
3,5,22,0
3,20,20,0
3,10,20,0
3,10,20,0
3,25,20,1
3,15,21,1
3,8,21,1
3,5,21,1
3,12,20,0
3,5,19,0
3,10,20,1
3,3,20,1
3,25,22,1
3,5,21,0
3,5,20,1
3,15,21,0
3,0.5,20,0
3,5,19,1
3,12,21,0
3,5,20,0
3,8,19,1
3,20,21,0
3,10,20,1
3,25,19,1
3,2,21,1
3,10,20,1
3,5,20,1
3,10,21,0
4,7,21,1
4,20,20,1
4,15,19,0
4,10,20,1
4,15,20,1
4,15,21,0
4,15,19,0
4,10,21,1
4,1,21,0
4,2,20,1
4,10,21,1
4,10,22,1
4,20,20,1
4,20,20,1
4,7,20,0
4,5,20,0
4,7,19,1
4,15,21,0
4,10,22,0
4,10,21,1
4,10,19,0
4,10,20,1
4,7,20,1
4,10,19,1
4,1,21,0
4,15,21,0
4,5,20,1
4,9,20,0
4,10,20,1
4,3,19,1
4,5,21,1
4,5,21,0
4,15,21,0
4,10,19,0
4,15,20,1
4,20,20,0
4,10,20,0
4,8,21,1
4,15,20,1
4,8,21,1
4,10,21,0
4,4,20,1
4,10,19,1
4,10,21,1
4,15,20,0
4,15,20,1
4,20,22,1
4,10,21,1
4,10,20,1
4,8,21,0
4,6,21,1
