Condition,wtp,age,gender
1,10,30,0
2,0,44,1
2,4,23,0
2,10,19,1
2,10,21,0
2,10,19,1
3,7,18,0
3,15,21,1
3,8,18,0
1,12,19,0
1,7,21,0
1,4,19,1
1,15,19,0
1,10,20,0
1,5,19,0
1,8,18,0
1,12,20,1
1,3,20,0
1,8,20,1
1,10,20,1
1,12,20,1
1,5,20,1
1,0,20,1
1,10,24,1
1,15,20,1
2,3,20,0
2,6.5,20,0
2,5,20,1
2,5,20,0
2,20,19,0
2,3,19,1
2,20,20,0
2,8,20,0
2,8,19,0
2,10,23,0
2,7,21,1
2,20,19,0
2,1,21,1
2,5,20,1
2,8,20,1
2,40,18,0
2,15,21,0
2,7.5,20,1
2,15,20,0
2,30,23,1
2,12,19,1
2,5,20,0
2,12,19,0
2,10,20,0
3,7,27,0
3,7,18,0
3,2,19,0
3,5,20,1
3,4.5,20,0
3,3,23,1
3,7,19,0
3,10,20,0
3,5,20,1
3,5,19,0
3,10,19,1
3,5,19,1
3,8,18,1
3,25,19,0
3,5,23,0
3,8,19,1
3,3,20,1
3,5,19,0
3,10,19,1
3,7,20,0
3,3,20,0
3,15,18,1
3,5,22,1
3,7,19,1
3,10,21,0
1,5,19,0
1,5,20,0
1,20,20,1
1,10,19,0
1,5,21,1
1,25,18,1
1,7,20,0
1,15,19,0
1,12,19,1
1,6,23,0
1,8,18,0
1,10,20,0
1,7,19,0
1,5,19,1
1,3,19,1
1,7,19,0
1,5,23,1
1,7,21,0
1,10,20,1
1,10,19,1
1,7,19,0
1,4.5,21,0
1,8,20,1
1,3,19,1
1,10,19,1
1,5,19,0
1,6,19,0
1,7,19,0
1,5,21,1
1,5,19,1
1,15,20,0
1,17.99,19,0
1,10,21,1
1,5,20,1
1,8,20,1
1,10,20,1
1,10,18,0
1,7.99,22,0
1,7,21,1
1,8,21,0
1,5,20,0
1,6,18,1
1,5,19,1
1,10,20,0
1,6,18,1
1,15,25,1
1,10,21,0
1,5,20,0
1,6,21,0
1,15,20,1
1,15,19,0
1,10,21,1
1,8,19,1
1,10,20,1
1,10,20,1
1,10,20,1
1,10,20,1
1,5,21,0
1,7,21,1
1,5,18,0
2,10,21,1
2,10,21,1
2,5,20,1
2,8,20,1
2,10,18,1
2,10,20,0
2,5,20,1
2,12,19,1
2,7,20,0
2,3.75,19,1
2,15,22,1
2,10,18,0
2,10,19,0
2,5,20,1
2,10,19,0
2,10,20,1
2,5,20,1
2,5,20,0
2,6,18,1
2,10,22,0
2,5,22,1
2,10,18,0
2,15,19,1
2,5,18,1
2,15,19,0
2,8,20,1
2,4,21,1
2,15,22,0
2,5,19,1
2,10,19,0
2,5,20,1
2,10,20,0
2,4,32,1
2,10,20,1
2,6,22,1
2,5,20,1
2,5,20,0
2,10,18,0
2,10,20,1
2,3,20,1
2,25,20,0
2,15.99,20,1
2,8,19,0
2,5,29,1
2,6,23,1
2,8,21,0
2,10,19,1
2,40,21,0
2,15,19,0
2,10,19,1
2,5,20,0
2,5,21,0
2,20,22,1
2,20,19,0
2,7,20,1
2,5,19,0
2,20,20,1
2,3,23,1
3,7,20,1
3,10,24,1
3,8,18,0
3,3,33,0
3,20,19,1
3,7,18,0
3,10,18,1
3,12,19,0
3,15,19,0
3,8,19,1
3,8,18,0
3,20,20,1
3,9.99,20,1
3,10,19,0
3,7,18,0
3,5,20,0
3,2,20,0
3,10,18,0
3,4,19,1
3,3,22,1
3,10,22,1
3,5,22,1
3,10,22,0
3,3,19,0
3,4,22,0
3,3,18,0
3,2,19,0
3,10,20,0
3,20,19,0
3,10,20,0
3,5,19,1
3,5,20,0
3,5,20,1
3,6,20,0
3,7.5,18,1
3,6,19,1
3,10,19,1
3,9,19,1
3,10,23,0
3,10,20,1
3,5,22,0
3,3,19,1
3,10,21,0
3,10,20,0
3,12,19,1
3,1,20,1
3,5,19,1
