StartDate,EndDate,Accessed,Exclusion_analysis,Attention_Check,Understanding ,Gender,Age,Condition
11/18/2021 8:56,11/18/2021 8:56,0,1,20,1,1,24,Control
11/18/2021 8:56,11/18/2021 8:56,0,1,6,1,1,37,Control
11/18/2021 8:56,11/18/2021 8:56,0,0,9,1,1,47,Explanation_Prospect 
11/18/2021 8:56,11/18/2021 8:57,0,0,8,1,2,43,Explanation_Prospect 
11/18/2021 8:56,11/18/2021 8:57,0,0,9,1,1,26,Explanation_Prospect 
11/18/2021 8:56,11/18/2021 8:57,0,0,7,3,2,38,Explanation_Prospect 
11/18/2021 8:57,11/18/2021 8:57,0,1,6,1,2,26,Control
11/18/2021 8:57,11/18/2021 8:57,0,0,12,4,1,35,Control
11/18/2021 8:56,11/18/2021 8:57,0,0,7,5,2,41,Control
11/18/2021 8:57,11/18/2021 8:57,0,0,6,3,2,33,Explanation_Prospect 
11/18/2021 8:57,11/18/2021 8:57,0,0,11,4,2,32,Control
11/18/2021 8:57,11/18/2021 8:57,0,0,7,2,2,42,Control
11/18/2021 8:57,11/18/2021 8:58,0,0,0,,,,
11/18/2021 8:56,11/18/2021 8:58,0,1,9,1,2,40,Control
11/18/2021 8:56,11/18/2021 8:58,0,0,28,4,2,29,Explanation_Prospect 
11/18/2021 8:57,11/18/2021 8:58,0,0,5,2,2,32,Explanation_Prospect 
11/18/2021 8:56,11/18/2021 8:58,1,0,7,7,2,40,Explanation_Prospect 
11/18/2021 8:57,11/18/2021 8:58,0,0,14,2,1,37,Explanation_Prospect 
11/18/2021 8:57,11/18/2021 8:58,0,0,0,,,,
11/18/2021 8:58,11/18/2021 8:58,0,0,10,3,1,47,Control
11/18/2021 8:57,11/18/2021 8:58,0,1,11,1,1,49,Control
11/18/2021 8:57,11/18/2021 8:58,0,1,7,1,1,61,Control
11/18/2021 8:57,11/18/2021 8:58,0,0,5,4,2,28,Explanation_Prospect 
11/18/2021 8:58,11/18/2021 8:59,0,0,9,2,1,62,Control
11/18/2021 8:58,11/18/2021 8:59,0,0,10,2,1,27,Explanation_Prospect 
11/18/2021 8:58,11/18/2021 8:59,0,0,17,2,2,24,Control
11/18/2021 8:58,11/18/2021 8:59,0,0,8,1,1,46,Explanation_Prospect 
11/18/2021 8:58,11/18/2021 8:59,0,0,7,3,1,55,Control
11/18/2021 8:58,11/18/2021 8:59,0,0,10,7,1,43,Control
11/18/2021 8:58,11/18/2021 8:59,0,0,13,6,1,53,Explanation_Prospect 
11/18/2021 8:58,11/18/2021 8:59,0,1,5,1,2,65,Control
11/18/2021 8:59,11/18/2021 8:59,0,0,8,4,2,36,Control
11/18/2021 8:58,11/18/2021 8:59,0,0,10,4,2,68,Explanation_Prospect 
11/18/2021 8:57,11/18/2021 9:00,0,0,5,6,1,41,Explanation_Prospect 
11/18/2021 8:59,11/18/2021 9:00,0,0,7,2,2,48,Control
11/18/2021 8:59,11/18/2021 9:00,0,0,21,5,1,42,Explanation_Prospect 
11/18/2021 8:59,11/18/2021 9:00,0,0,9,2,1,41,Control
11/18/2021 8:58,11/18/2021 9:00,0,0,19,4,2,24,Explanation_Prospect 
11/18/2021 8:59,11/18/2021 9:00,0,0,18,4,2,62,Control
11/18/2021 9:00,11/18/2021 9:00,0,0,14,6,1,29,Control
11/18/2021 9:00,11/18/2021 9:00,0,0,9,6,1,39,Control
11/18/2021 8:59,11/18/2021 9:00,0,0,7,5,2,45,Explanation_Prospect 
11/18/2021 8:59,11/18/2021 9:00,0,0,16,1,2,50,Explanation_Prospect 
11/18/2021 9:00,11/18/2021 9:01,0,0,11,2,1,34,Explanation_Prospect 
11/18/2021 9:00,11/18/2021 9:01,0,0,9,5,2,63,Explanation_Prospect 
11/18/2021 9:00,11/18/2021 9:01,0,0,7,3,2,33,Control
11/18/2021 8:59,11/18/2021 9:01,0,0,6,6,1,23,Explanation_Prospect 
11/18/2021 9:00,11/18/2021 9:01,0,1,16,1,1,48,Control
11/18/2021 9:00,11/18/2021 9:01,0,0,26,6,1,24,Control
11/18/2021 9:00,11/18/2021 9:01,0,0,13,7,1,31,Explanation_Prospect 
11/18/2021 8:59,11/18/2021 9:01,1,0,25,6,2,38,Explanation_Prospect 
11/18/2021 9:00,11/18/2021 9:01,0,0,18,4,1,35,Explanation_Prospect 
11/18/2021 8:57,11/18/2021 9:02,0,0,38,6,2,24,Explanation_Prospect 
11/18/2021 9:01,11/18/2021 9:02,0,1,41,1,1,36,Control
11/18/2021 9:00,11/18/2021 9:02,1,0,9,5,2,59,Explanation_Prospect 
11/18/2021 9:01,11/18/2021 9:02,0,0,10,5,2,34,Control
11/18/2021 9:02,11/18/2021 9:02,0,0,6,5,2,27,Control
11/18/2021 9:03,11/18/2021 9:04,0,0,10,2,1,44,Explanation_Prospect 
11/18/2021 9:02,11/18/2021 9:04,0,0,5,4,1,49,Control
11/18/2021 9:03,11/18/2021 9:04,0,0,19,2,1,24,Control
11/18/2021 9:03,11/18/2021 9:04,0,0,12,2,2,53,Control
11/18/2021 8:59,11/18/2021 9:04,0,0,11,5,2,28,Explanation_Prospect 
11/18/2021 9:00,11/18/2021 9:04,1,0,5,6,1,33,Explanation_Prospect 
11/18/2021 9:04,11/18/2021 9:04,0,0,7,2,2,42,Explanation_Prospect 
11/18/2021 9:04,11/18/2021 9:04,0,0,14,5,2,61,Control
11/18/2021 9:04,11/18/2021 9:05,0,0,5,4,1,49,Explanation_Prospect 
11/18/2021 9:04,11/18/2021 9:05,0,0,10,2,2,46,Control
11/18/2021 9:05,11/18/2021 9:05,0,0,16,3,2,27,Explanation_Prospect 
11/18/2021 9:04,11/18/2021 9:05,0,0,15,6,1,47,Explanation_Prospect 
11/18/2021 9:05,11/18/2021 9:06,0,0,19,5,2,41,Control
11/18/2021 9:05,11/18/2021 9:06,0,1,5,1,1,37,Control
11/18/2021 9:05,11/18/2021 9:06,0,0,28,1,1,37,Explanation_Prospect 
11/18/2021 9:07,11/18/2021 9:07,0,0,5,6,2,37,Control
11/18/2021 9:07,11/18/2021 9:08,1,0,29,5,2,28,Explanation_Prospect 
11/18/2021 9:08,11/18/2021 9:08,0,0,8,4,2,40,Control
11/18/2021 9:07,11/18/2021 9:08,1,0,16,6,1,39,Explanation_Prospect 
11/18/2021 9:08,11/18/2021 9:09,0,0,18,2,1,36,Control
11/18/2021 9:08,11/18/2021 9:09,0,0,7,3,2,29,Explanation_Prospect 
11/18/2021 9:09,11/18/2021 9:10,0,0,5,1,1,33,Control
11/18/2021 9:09,11/18/2021 9:10,0,0,10,5,1,70,Control
11/18/2021 9:09,11/18/2021 9:10,0,0,6,3,1,23,Explanation_Prospect 
11/18/2021 9:09,11/18/2021 9:10,1,0,11,6,2,48,Explanation_Prospect 
11/18/2021 9:10,11/18/2021 9:10,0,0,9,5,2,33,Explanation_Prospect 
11/18/2021 9:10,11/18/2021 9:11,0,0,5,5,2,30,Control
11/18/2021 9:11,11/18/2021 9:11,0,0,24,1,1,50,Control
11/18/2021 9:11,11/18/2021 9:12,0,0,49,5,2,35,Explanation_Prospect 
11/18/2021 9:14,11/18/2021 9:15,0,0,13,1,1,41,Control
11/18/2021 9:14,11/18/2021 9:15,0,0,9,5,1,46,Explanation_Prospect 
11/18/2021 9:14,11/18/2021 9:15,0,0,21,4,2,34,Explanation_Prospect 
11/18/2021 9:14,11/18/2021 9:16,0,0,8,3,1,46,Control
11/18/2021 9:15,11/18/2021 9:16,0,0,15,2,1,38,Control
11/18/2021 9:15,11/18/2021 9:16,0,0,28,7,2,29,Explanation_Prospect 
11/18/2021 9:17,11/18/2021 9:18,0,0,13,2,1,50,Control
11/18/2021 9:18,11/18/2021 9:18,0,0,8,6,1,36,Explanation_Prospect 
11/18/2021 9:18,11/18/2021 9:19,0,0,7,4,2,33,Control
11/18/2021 9:18,11/18/2021 9:19,0,0,5,7,2,51,Control
11/18/2021 9:20,11/18/2021 9:20,0,0,7,3,2,36,Explanation_Prospect 
11/18/2021 9:21,11/18/2021 9:22,0,0,10,2,1,44,Explanation_Prospect 
11/18/2021 9:22,11/18/2021 9:22,0,0,7,4,1,41,Explanation_Prospect 
11/18/2021 9:21,11/18/2021 9:22,0,0,10,3,2,35,Control
11/18/2021 9:22,11/18/2021 9:22,0,0,12,5,1,30,Control
11/18/2021 9:22,11/18/2021 9:22,0,0,10,3,2,70,Explanation_Prospect 
11/18/2021 9:23,11/18/2021 9:23,0,0,7,4,1,34,Control
11/18/2021 9:23,11/18/2021 9:24,0,0,11,3,2,38,Explanation_Prospect 
11/18/2021 9:24,11/18/2021 9:25,0,0,15,6,1,33,Explanation_Prospect 
11/18/2021 9:24,11/18/2021 9:25,0,0,19,2,1,47,Explanation_Prospect 
11/18/2021 9:25,11/18/2021 9:26,0,0,13,4,2,43,Control
11/18/2021 9:25,11/18/2021 9:26,0,0,8,1,1,53,Control
11/18/2021 9:26,11/18/2021 9:27,0,0,7,5,2,44,Explanation_Prospect 
11/18/2021 9:26,11/18/2021 9:27,0,0,16,2,1,39,Control
11/18/2021 9:27,11/18/2021 9:28,0,0,9,5,2,26,Control
11/18/2021 9:27,11/18/2021 9:28,0,0,8,7,1,27,Explanation_Prospect 
11/18/2021 9:28,11/18/2021 9:28,0,0,17,3,1,31,Explanation_Prospect 
11/18/2021 9:28,11/18/2021 9:29,0,0,5,1,2,26,Control
11/18/2021 9:29,11/18/2021 9:29,0,0,12,3,2,31,Control
11/18/2021 9:29,11/18/2021 9:30,0,0,11,5,2,63,Explanation_Prospect 
11/18/2021 9:29,11/18/2021 9:30,0,0,10,6,1,43,Explanation_Prospect 
11/18/2021 9:30,11/18/2021 9:31,0,0,9,4,2,35,Explanation_Prospect 
11/18/2021 9:29,11/18/2021 9:31,0,0,12,4,2,33,Control
11/18/2021 9:30,11/18/2021 9:31,0,0,17,2,2,66,Explanation_Prospect 
11/18/2021 9:32,11/18/2021 9:32,0,0,10,1,1,51,Control
11/18/2021 9:29,11/18/2021 9:32,0,0,26,1,1,37,Control
11/18/2021 9:33,11/18/2021 9:33,0,0,10,2,1,43,Explanation_Prospect 
11/18/2021 9:32,11/18/2021 9:33,0,0,5,3,1,51,Explanation_Prospect 
11/18/2021 9:34,11/18/2021 9:34,0,0,10,1,1,39,Control
11/18/2021 9:34,11/18/2021 9:35,0,0,10,6,1,49,Control
11/18/2021 9:34,11/18/2021 9:36,0,0,9,1,1,38,Explanation_Prospect 
11/18/2021 9:35,11/18/2021 9:36,0,0,19,1,3,22,Control
11/18/2021 9:36,11/18/2021 9:36,0,0,13,1,1,49,Control
11/18/2021 9:36,11/18/2021 9:37,0,0,8,1,2,56,Explanation_Prospect 
11/18/2021 9:37,11/18/2021 9:37,0,0,10,2,2,43,Control
11/18/2021 9:36,11/18/2021 9:38,1,0,9,5,2,31,Explanation_Prospect 
11/18/2021 9:37,11/18/2021 9:38,0,0,32,5,1,30,Explanation_Prospect 
11/18/2021 9:37,11/18/2021 9:38,0,0,10,1,2,48,Control
11/18/2021 9:38,11/18/2021 9:39,0,0,5,6,2,35,Explanation_Prospect 
11/18/2021 9:38,11/18/2021 9:39,0,0,17,2,2,29,Control
11/18/2021 9:39,11/18/2021 9:40,0,0,8,1,2,70,Explanation_Prospect 
11/18/2021 9:40,11/18/2021 9:41,0,0,7,2,1,57,Control
11/18/2021 9:40,11/18/2021 9:41,1,0,12,6,2,25,Explanation_Prospect 
11/18/2021 9:42,11/18/2021 9:42,0,0,10,2,2,32,Control
11/18/2021 9:42,11/18/2021 9:42,0,0,12,1,2,54,Control
11/18/2021 9:43,11/18/2021 9:43,0,0,11,6,2,42,Explanation_Prospect 
11/18/2021 9:43,11/18/2021 9:44,0,0,11,1,2,49,Control
11/18/2021 9:43,11/18/2021 9:44,0,0,5,2,1,29,Explanation_Prospect 
11/18/2021 9:45,11/18/2021 9:45,0,0,6,6,2,33,Explanation_Prospect 
11/18/2021 9:48,11/18/2021 9:48,0,0,5,6,1,31,Control
11/18/2021 9:49,11/18/2021 9:50,0,0,12,3,1,34,Explanation_Prospect 
11/18/2021 9:49,11/18/2021 9:51,0,0,13,3,2,31,Explanation_Prospect 
11/18/2021 9:51,11/18/2021 9:52,0,0,15,3,1,19,Control
11/18/2021 9:51,11/18/2021 9:52,0,0,9,3,1,40,Control
11/18/2021 9:52,11/18/2021 9:52,0,0,11,3,1,39,Explanation_Prospect 
11/18/2021 9:52,11/18/2021 9:52,0,0,15,2,2,42,Control
11/18/2021 9:52,11/18/2021 9:53,0,0,6,5,1,44,Explanation_Prospect 
11/18/2021 9:54,11/18/2021 9:55,0,0,30,3,2,20,Explanation_Prospect 
11/18/2021 9:58,11/18/2021 9:58,0,0,7,3,1,31,Control
11/18/2021 9:58,11/18/2021 9:59,0,0,13,4,2,44,Control
11/18/2021 9:59,11/18/2021 9:59,0,0,11,6,1,24,Explanation_Prospect 
11/18/2021 9:58,11/18/2021 9:59,0,0,9,3,2,32,Explanation_Prospect 
11/18/2021 9:59,11/18/2021 10:00,0,0,15,2,1,34,Control
11/18/2021 9:58,11/18/2021 10:00,0,0,13,1,1,63,Control
11/18/2021 10:00,11/18/2021 10:00,0,0,10,1,2,61,Control
11/18/2021 9:59,11/18/2021 10:01,0,0,20,6,1,56,Explanation_Prospect 
11/18/2021 10:01,11/18/2021 10:02,0,0,8,2,2,61,Control
11/18/2021 10:01,11/18/2021 10:02,0,0,12,1,2,37,Explanation_Prospect 
11/18/2021 10:03,11/18/2021 10:04,0,0,11,2,1,30,Control
