StartDate,EndDate,Accessed,Attention_check,Choice,Understanding,Accuracy_A,Accuracy_B,Explanation_check,Gender,Age,Condition
4/18/2023 9:49,4/18/2023 9:50,0,4,,,,,,,,
4/18/2023 9:49,4/18/2023 9:50,0,12,1,6,90,89,2,1,35,89_explainable
4/18/2023 9:49,4/18/2023 9:50,0,5,1,3,75,25,1,2,69,Both_explainable
4/18/2023 9:49,4/18/2023 9:50,0,0,,,,,,,,
4/18/2023 9:50,4/18/2023 9:50,0,,,,,,,,,
4/18/2023 9:49,4/18/2023 9:50,0,18,1,4,94,89,4,1,45,No_explainable
4/18/2023 9:49,4/18/2023 9:50,0,12,1,1,94,85,3,1,34,Both_explainable
4/18/2023 9:49,4/18/2023 9:51,0,21,1,1,94,89,1,1,32,94_explainable
4/18/2023 9:49,4/18/2023 9:51,0,17,2,6,80,29,2,2,49,No_explainable
4/18/2023 9:49,4/18/2023 9:51,0,10,1,4,94,89,4,2,49,No_explainable
4/18/2023 9:50,4/18/2023 9:51,0,13,1,6,50,50,2,2,34,89_explainable
4/18/2023 9:49,4/18/2023 9:51,0,16,1,6,60,40,1,2,33,94_explainable
4/18/2023 9:50,4/18/2023 9:51,0,15,1,4,94,89,3,1,32,Both_explainable
4/18/2023 9:49,4/18/2023 9:51,0,5,1,4,94,87,4,2,44,No_explainable
4/18/2023 9:49,4/18/2023 9:51,0,12,1,6,55,66,1,1,35,Both_explainable
4/18/2023 9:50,4/18/2023 9:51,0,9,1,5,50,60,2,1,33,94_explainable
4/18/2023 9:50,4/18/2023 9:51,0,5,1,6,60,70,2,1,32,Both_explainable
4/18/2023 9:50,4/18/2023 9:51,0,11,1,6,25,76,3,1,32,Both_explainable
4/18/2023 9:50,4/18/2023 9:51,0,12,1,6,94,89,2,1,37,89_explainable
4/18/2023 9:49,4/18/2023 9:51,0,8,2,5,55,44,2,1,26,94_explainable
4/18/2023 9:50,4/18/2023 9:51,0,0,,,,,,,,
4/18/2023 9:49,4/18/2023 9:51,0,5,1,4,94,89,4,1,52,94_explainable
4/18/2023 9:50,4/18/2023 9:51,0,10,1,4,94,89,3,1,34,Both_explainable
4/18/2023 9:50,4/18/2023 9:51,0,12,1,4,94,89,4,2,23,No_explainable
4/18/2023 9:50,4/18/2023 9:51,0,0,,,,,,,,
4/18/2023 9:49,4/18/2023 9:51,0,10,1,1,94,89,1,1,69,94_explainable
4/18/2023 9:49,4/18/2023 9:51,0,15,2,7,94,89,3,1,35,89_explainable
4/18/2023 9:49,4/18/2023 9:51,1,7,1,4,94,89,3,2,34,Both_explainable
4/18/2023 9:50,4/18/2023 9:51,0,9,2,6,40,60,2,2,43,89_explainable
4/18/2023 9:49,4/18/2023 9:51,0,16,1,2,94,89,1,2,44,94_explainable
4/18/2023 9:50,4/18/2023 9:51,0,27,1,7,94,89,2,3,37,89_explainable
4/18/2023 9:50,4/18/2023 9:52,0,6,1,7,94,89,2,1,46,89_explainable
4/18/2023 9:50,4/18/2023 9:52,0,17,1,4,94,89,1,2,21,94_explainable
4/18/2023 9:49,4/18/2023 9:52,0,12,1,4,94,89,3,2,34,Both_explainable
4/18/2023 9:50,4/18/2023 9:52,0,7,1,2,94,89,3,2,52,89_explainable
4/18/2023 9:51,4/18/2023 9:52,0,7,1,4,94,89,4,1,35,No_explainable
4/18/2023 9:51,4/18/2023 9:52,0,5,1,4,94,89,3,2,30,Both_explainable
4/18/2023 9:50,4/18/2023 9:52,0,7,1,4,94,89,4,2,29,Both_explainable
4/18/2023 9:51,4/18/2023 9:52,0,16,1,2,94,89,1,2,38,94_explainable
4/18/2023 9:51,4/18/2023 9:52,0,15,2,5,94,89,2,2,26,89_explainable
4/18/2023 9:50,4/18/2023 9:52,0,10,1,2,95,89,4,1,32,No_explainable
4/18/2023 9:50,4/18/2023 9:52,0,0,,,,,,,,
