StartDate,EndDate,Attention_check,Intentions,Trust1,Trust2,Transparency1,Transparency2,Understanding,Empowerment1,Empowerment2,Accessibility,Gender,Age,Condition,Questions_order
8/1/2023 10:47,8/1/2023 10:47,,,,,,,,,,,,,,
8/1/2023 10:47,8/1/2023 10:48,11,5,5,4,4,5,4,4,5,4,1,32,Control,Understanding|Trust&Transparency|Empowerment
8/1/2023 10:47,8/1/2023 10:48,10,5,5,4,3,5,3,5,4,5,1,27,Explanation_Prospect,Understanding|Trust&Transparency|Empowerment
8/1/2023 10:48,8/1/2023 10:48,,,,,,,,,,,,,,
8/1/2023 10:47,8/1/2023 10:48,12,3,5,4,3,4,2,3,3,2,2,41,Control,Trust&Transparency|Empowerment|Understanding
8/1/2023 10:48,8/1/2023 10:48,15,3,3,3,1,5,5,5,6,6,2,25,Explanation_Prospect,Empowerment|Trust&Transparency|Understanding
8/1/2023 10:48,8/1/2023 10:48,,,,,,,,,,,,,,
8/1/2023 10:47,8/1/2023 10:49,7,4,4,5,5,4,5,4,3,6,2,59,Explanation_Prospect,Trust&Transparency|Empowerment|Understanding
8/1/2023 10:47,8/1/2023 10:49,15,3,5,4,3,4,4,3,4,3,2,27,Explanation_Prospect,Understanding|Empowerment|Trust&Transparency
8/1/2023 10:47,8/1/2023 10:49,13,7,6,7,7,3,5,6,5,6,2,50,Control,Trust&Transparency|Empowerment|Understanding
8/1/2023 10:47,8/1/2023 10:49,10,5,5,5,5,5,3,4,4,5,1,37,Control,Understanding|Empowerment|Trust&Transparency
8/1/2023 10:47,8/1/2023 10:49,7,4,6,6,5,6,2,4,5,2,1,53,Control,Understanding|Empowerment|Trust&Transparency
8/1/2023 10:47,8/1/2023 10:49,5,7,6,7,7,7,7,6,7,7,2,42,Control,Understanding|Empowerment|Trust&Transparency
8/1/2023 10:48,8/1/2023 10:49,11,3,4,3,3,4,3,4,5,3,1,38,Control,Understanding|Empowerment|Trust&Transparency
8/1/2023 10:48,8/1/2023 10:49,5,6,4,4,4,4,5,4,4,3,1,40,Control,Trust&Transparency|Understanding|Empowerment
8/1/2023 10:48,8/1/2023 10:49,8,2,5,5,4,3,1,4,4,3,1,43,Control,Empowerment|Trust&Transparency|Understanding
8/1/2023 10:48,8/1/2023 10:49,16,5,4,5,4,5,5,5,5,5,2,24,Explanation_Prospect,Empowerment|Trust&Transparency|Understanding
8/1/2023 10:48,8/1/2023 10:49,9,6,7,7,4,4,2,5,7,7,2,48,Explanation_Prospect,Trust&Transparency|Empowerment|Understanding
8/1/2023 10:48,8/1/2023 10:49,19,4,6,6,6,5,1,5,5,5,2,36,Control,Empowerment|Understanding|Trust&Transparency
8/1/2023 10:48,8/1/2023 10:49,17,1,2,2,2,2,2,2,2,1,3,51,Control,Understanding|Empowerment|Trust&Transparency
8/1/2023 10:47,8/1/2023 10:49,5,4,4,4,3,2,4,7,7,5,2,36,Explanation_Prospect,Empowerment|Trust&Transparency|Understanding
8/1/2023 10:48,8/1/2023 10:49,7,5,6,5,6,4,5,5,4,6,2,29,Control,Empowerment|Trust&Transparency|Understanding
8/1/2023 10:48,8/1/2023 10:50,6,2,1,1,2,2,1,1,1,2,2,48,Control,Empowerment|Trust&Transparency|Understanding
8/1/2023 10:48,8/1/2023 10:50,5,1,2,2,1,1,1,2,2,7,1,65,Explanation_Prospect,Understanding|Trust&Transparency|Empowerment
8/1/2023 10:48,8/1/2023 10:50,6,6,6,6,6,6,6,6,6,7,2,42,Explanation_Prospect,Trust&Transparency|Understanding|Empowerment
