StartDate,EndDate,Attention_check,Text,Understanding,Intentions,Empowerment1,Empowerment2,Pointers1,Pointers2,Trust1,Trust2,Transparency1,Transparency2,Gender,Age,Condition,Questions_order
8/15/2023 14:56,8/15/2023 14:57,7,not available,3,3,3,3,3,3,3,3,3,3,1,34,Control,Empowerment|Trust&Transparency|Pointers
8/15/2023 14:56,8/15/2023 14:57,5,anybody,3,3,2,2,3,2,4,4,4,4,1,41,Explanation_Prospect_Laypeople,Pointers|Empowerment|Trust&Transparency
8/15/2023 14:57,8/15/2023 14:57,32,,,,,,,,,,,,,,,
8/15/2023 14:56,8/15/2023 14:57,9,not availabe,1,1,1,1,1,1,4,4,1,4,1,32,Control,Trust&Transparency|Empowerment|Pointers
8/15/2023 14:57,8/15/2023 14:57,8,data science experts,5,4,3,3,4,4,4,3,3,3,1,28,Explanation_Prospect_Expert,Trust&Transparency|Pointers|Empowerment
8/15/2023 14:56,8/15/2023 14:58,10,nonexistent,1,1,5,5,1,1,2,2,1,2,2,28,Control,Empowerment|Pointers|Trust&Transparency
8/15/2023 14:56,8/15/2023 14:58,6,anybody,4,5,4,3,6,5,5,5,4,5,2,33,Explanation_Prospect_Laypeople,Trust&Transparency|Pointers|Empowerment
8/15/2023 14:57,8/15/2023 14:58,10,anybody,5,5,4,4,4,4,4,4,4,4,2,26,Explanation_Prospect_Laypeople,Pointers|Empowerment|Trust&Transparency
8/15/2023 14:56,8/15/2023 14:58,9,data science experts,1,3,1,1,7,7,3,3,3,4,1,42,Explanation_Prospect_Expert,Pointers|Trust&Transparency|Empowerment
8/15/2023 14:57,8/15/2023 14:58,7,data scientists,2,3,2,2,4,4,4,4,4,4,1,35,Explanation_Prospect_Expert,Empowerment|Trust&Transparency|Pointers
8/15/2023 14:57,8/15/2023 14:58,7,data science experts,2,2,3,3,6,6,4,4,4,4,1,47,Explanation_Prospect_Expert,Empowerment|Trust&Transparency|Pointers
8/15/2023 14:57,8/15/2023 14:58,12,not available,2,1,1,1,1,1,1,1,1,1,1,40,Control,Empowerment|Pointers|Trust&Transparency
8/15/2023 14:57,8/15/2023 14:58,14,data science experts,3,6,5,5,3,2,5,5,4,3,1,33,Explanation_Prospect_Expert,Trust&Transparency|Empowerment|Pointers
8/15/2023 14:57,8/15/2023 14:58,12,not available,1,1,1,1,1,1,1,1,1,1,1,48,Control,Trust&Transparency|Empowerment|Pointers
8/15/2023 14:56,8/15/2023 14:58,15,not available ,1,1,1,1,1,1,1,1,1,1,1,28,Control,Empowerment|Pointers|Trust&Transparency
8/15/2023 14:57,8/15/2023 14:58,10,anybody,5,5,5,5,5,5,5,5,5,5,1,30,Explanation_Prospect_Laypeople,Empowerment|Trust&Transparency|Pointers
8/15/2023 14:56,8/15/2023 14:58,5,not available,1,1,1,1,1,1,4,4,1,4,1,36,Control,Trust&Transparency|Pointers|Empowerment
8/15/2023 14:57,8/15/2023 14:58,12,anybody,1,1,7,5,4,4,4,4,6,5,1,32,Explanation_Prospect_Laypeople,Trust&Transparency|Pointers|Empowerment
8/15/2023 14:57,8/15/2023 14:58,11,not available,1,2,2,1,1,1,1,1,1,1,1,43,Control,Empowerment|Trust&Transparency|Pointers
8/15/2023 14:57,8/15/2023 14:58,9,unavailable,1,2,2,2,1,1,4,4,1,2,1,48,Control,Pointers|Trust&Transparency|Empowerment
8/15/2023 14:57,8/15/2023 14:58,5,anybody,4,4,6,6,4,4,5,5,6,6,1,23,Explanation_Prospect_Laypeople,Empowerment|Pointers|Trust&Transparency
8/15/2023 14:57,8/15/2023 14:58,14,not available,6,6,4,5,6,6,5,6,5,6,2,32,Control,Trust&Transparency|Empowerment|Pointers
8/15/2023 14:56,8/15/2023 14:58,31,data science experts,1,3,1,1,7,7,4,4,4,4,2,49,Explanation_Prospect_Expert,Trust&Transparency|Empowerment|Pointers
8/15/2023 14:56,8/15/2023 14:59,5,anybody,4,4,5,5,6,6,5,5,5,5,2,62,Explanation_Prospect_Laypeople,Pointers|Empowerment|Trust&Transparency
8/15/2023 14:57,8/15/2023 14:59,19,not available,4,2,4,4,2,2,4,3,2,2,2,42,Control,Pointers|Empowerment|Trust&Transparency
8/15/2023 14:58,8/15/2023 14:59,17,,,,,,,,,,,,,,,
8/15/2023 14:56,8/15/2023 14:59,7,anybody,6,5,5,5,6,5,5,6,6,6,2,59,Explanation_Prospect_Laypeople,Pointers|Empowerment|Trust&Transparency
8/15/2023 14:57,8/15/2023 14:59,16,data scientist experts,1,3,1,1,5,5,4,4,3,4,2,32,Explanation_Prospect_Expert,Empowerment|Trust&Transparency|Pointers
8/15/2023 14:57,8/15/2023 14:59,6,data science experts,4,5,4,5,5,6,4,5,6,7,2,33,Explanation_Prospect_Expert,Empowerment|Pointers|Trust&Transparency
8/15/2023 14:56,8/15/2023 14:59,5,only data science experts,1,2,1,1,5,5,2,2,3,3,1,26,Explanation_Prospect_Expert,Trust&Transparency|Pointers|Empowerment
8/15/2023 14:57,8/15/2023 14:59,8,data science experts,3,4,6,5,6,5,5,4,5,5,2,33,Explanation_Prospect_Expert,Empowerment|Trust&Transparency|Pointers
8/15/2023 14:57,8/15/2023 14:59,5,anybody,7,6,7,6,6,7,6,7,6,5,2,27,Explanation_Prospect_Laypeople,Pointers|Trust&Transparency|Empowerment
8/15/2023 14:57,8/15/2023 14:59,8,anyone,4,7,6,6,7,7,7,7,7,7,2,69,Explanation_Prospect_Laypeople,Pointers|Trust&Transparency|Empowerment
8/15/2023 14:58,8/15/2023 14:59,11,not available,1,2,3,2,1,2,4,4,2,2,1,42,Control,Pointers|Trust&Transparency|Empowerment
8/15/2023 14:58,8/15/2023 14:59,12,not available ,1,1,1,1,4,6,2,2,1,1,2,34,Control,Pointers|Trust&Transparency|Empowerment
8/15/2023 14:58,8/15/2023 14:59,8,anybody,5,4,5,5,4,4,5,5,4,4,1,30,Explanation_Prospect_Laypeople,Empowerment|Trust&Transparency|Pointers
8/15/2023 14:58,8/15/2023 14:59,9,not available,2,4,2,3,2,2,4,4,1,4,1,36,Control,Empowerment|Pointers|Trust&Transparency
8/15/2023 14:56,8/15/2023 14:59,5,"data science experts, can understand how the Ai.XR works. With this explanation, only data science exerts ",1,2,3,2,3,3,3,3,1,2,2,71,Explanation_Prospect_Expert,Empowerment|Pointers|Trust&Transparency
8/15/2023 14:57,8/15/2023 14:59,16,anybody,5,6,6,7,6,5,5,6,7,6,1,49,Explanation_Prospect_Laypeople,Empowerment|Trust&Transparency|Pointers
8/15/2023 14:58,8/15/2023 14:59,12,anybody,3,3,3,3,2,2,3,3,4,3,1,40,Explanation_Prospect_Laypeople,Empowerment|Pointers|Trust&Transparency
8/15/2023 14:58,8/15/2023 14:59,6,unknown,1,1,1,1,1,1,2,1,1,1,1,59,Control,Trust&Transparency|Pointers|Empowerment
8/15/2023 14:57,8/15/2023 14:59,23,data science experts,1,1,1,1,7,7,4,4,3,3,2,28,Explanation_Prospect_Expert,Empowerment|Trust&Transparency|Pointers
8/15/2023 14:58,8/15/2023 14:59,10,anybody,6,5,6,6,6,6,5,5,6,6,1,45,Explanation_Prospect_Laypeople,Trust&Transparency|Empowerment|Pointers
8/15/2023 14:58,8/15/2023 14:59,11,data science experts,3,4,3,4,4,3,3,2,3,3,1,37,Explanation_Prospect_Expert,Trust&Transparency|Pointers|Empowerment
8/15/2023 14:59,8/15/2023 14:59,0,,,,,,,,,,,,,,,
8/15/2023 14:58,8/15/2023 15:00,7,not available,1,4,1,1,1,1,4,4,1,4,1,43,Control,Pointers|Trust&Transparency|Empowerment
8/15/2023 14:58,8/15/2023 15:00,15,data science experts,1,2,1,1,5,4,4,4,5,4,1,41,Explanation_Prospect_Expert,Trust&Transparency|Empowerment|Pointers
8/15/2023 14:58,8/15/2023 15:00,7,date science experts,2,4,3,4,6,6,4,4,3,3,1,45,Explanation_Prospect_Expert,Empowerment|Trust&Transparency|Pointers
8/15/2023 14:58,8/15/2023 15:00,5,data science experts,1,2,3,3,4,4,3,3,3,3,1,28,Explanation_Prospect_Expert,Empowerment|Pointers|Trust&Transparency
8/15/2023 14:59,8/15/2023 15:00,7,only data science experts,1,2,1,1,5,5,1,1,1,1,2,26,Explanation_Prospect_Expert,Pointers|Trust&Transparency|Empowerment
8/15/2023 14:58,8/15/2023 15:00,9,Anybody,6,4,5,5,4,5,4,4,5,4,1,54,Explanation_Prospect_Laypeople,Trust&Transparency|Pointers|Empowerment
8/15/2023 14:57,8/15/2023 15:00,20,science experts,1,4,2,2,6,6,6,6,4,5,2,53,Explanation_Prospect_Expert,Empowerment|Trust&Transparency|Pointers
8/15/2023 14:59,8/15/2023 15:00,6, not available,6,7,4,6,5,3,2,5,4,6,1,29,Control,Trust&Transparency|Pointers|Empowerment
8/15/2023 14:59,8/15/2023 15:00,9,not available,1,2,1,1,1,1,3,3,2,3,1,32,Control,Empowerment|Pointers|Trust&Transparency
8/15/2023 14:58,8/15/2023 15:00,10,anybody,1,4,7,7,7,7,5,5,7,7,2,41,Explanation_Prospect_Laypeople,Pointers|Empowerment|Trust&Transparency
8/15/2023 14:58,8/15/2023 15:00,7,not available,1,3,2,3,2,3,4,3,2,3,1,29,Control,Pointers|Trust&Transparency|Empowerment
8/15/2023 14:57,8/15/2023 15:00,12,unknown,1,2,3,2,2,1,3,2,2,3,1,45,Control,Empowerment|Pointers|Trust&Transparency
8/15/2023 14:58,8/15/2023 15:00,7,data science experts,1,1,1,1,6,6,4,3,4,4,1,35,Explanation_Prospect_Expert,Pointers|Empowerment|Trust&Transparency
8/15/2023 14:57,8/15/2023 15:00,7,data science experts,6,6,6,5,6,6,6,4,6,5,1,32,Explanation_Prospect_Expert,Trust&Transparency|Empowerment|Pointers
