StartDate,EndDate,Accessed,Attention_check,Intentions,Understanding,Empowerment1,Empowerment2,Gender,Age,Condition
9/21/2023 10:33,9/21/2023 10:33,0,,,,,,,,
9/21/2023 10:34,9/21/2023 10:34,0,,,,,,,,
9/21/2023 10:33,9/21/2023 10:34,0,6,4,4,5,5,1,30,Control
9/21/2023 10:33,9/21/2023 10:34,0,6,4,3,4,4,2,40,Prospect
9/21/2023 10:33,9/21/2023 10:34,0,12,1,1,1,1,1,32,Control
9/21/2023 10:33,9/21/2023 10:34,0,17,2,1,2,2,1,41,Control
9/21/2023 10:34,9/21/2023 10:34,0,,,,,,,,
9/21/2023 10:34,9/21/2023 10:34,0,7,6,6,7,7,1,23,Prospect
9/21/2023 10:34,9/21/2023 10:34,0,10,4,3,4,4,1,35,Prospect
9/21/2023 10:33,9/21/2023 10:34,0,6,2,1,4,4,1,33,Control
9/21/2023 10:33,9/21/2023 10:35,0,12,4,6,5,4,1,39,Prospect
9/21/2023 10:33,9/21/2023 10:35,0,21,1,1,1,1,2,42,Control
9/21/2023 10:34,9/21/2023 10:35,0,6,3,4,4,4,2,42,Control
9/21/2023 10:33,9/21/2023 10:35,0,16,5,5,5,5,2,54,Prospect
9/21/2023 10:34,9/21/2023 10:35,0,5,2,1,4,4,2,45,Control
9/21/2023 10:33,9/21/2023 10:35,0,11,1,1,1,1,3,39,Control
9/21/2023 10:34,9/21/2023 10:35,0,18,5,3,5,3,1,28,Prospect
9/21/2023 10:34,9/21/2023 10:35,0,15,1,4,4,4,1,36,Control
9/21/2023 10:35,9/21/2023 10:35,0,,,,,,,,
9/21/2023 10:34,9/21/2023 10:35,0,15,1,1,1,1,1,31,Control
9/21/2023 10:34,9/21/2023 10:35,1,8,5,5,6,6,1,52,Prospect
9/21/2023 10:33,9/21/2023 10:35,0,14,7,1,6,6,2,31,Control
9/21/2023 10:34,9/21/2023 10:35,0,0,,,,,,,
9/21/2023 10:34,9/21/2023 10:35,0,5,5,5,4,3,1,31,Control
9/21/2023 10:33,9/21/2023 10:35,0,19,1,5,1,2,2,36,Prospect
9/21/2023 10:35,9/21/2023 10:35,0,,,,,,,,
9/21/2023 10:34,9/21/2023 10:35,0,5,1,7,1,7,2,23,Prospect
9/21/2023 10:34,9/21/2023 10:35,0,7,1,1,1,1,1,28,Control
9/21/2023 10:34,9/21/2023 10:35,0,8,4,5,5,5,1,57,Prospect
9/21/2023 10:34,9/21/2023 10:35,0,17,1,7,3,4,1,29,Control
9/21/2023 10:35,9/21/2023 10:35,0,,,,,,,,
9/21/2023 10:33,9/21/2023 10:35,0,10,3,4,4,4,2,61,Prospect
9/21/2023 10:33,9/21/2023 10:35,0,11,2,5,4,4,1,47,Prospect
9/21/2023 10:34,9/21/2023 10:35,1,10,1,5,1,1,1,35,Prospect
9/21/2023 10:34,9/21/2023 10:35,0,10,2,4,1,1,1,27,Prospect
9/21/2023 10:34,9/21/2023 10:35,0,5,3,5,2,2,2,28,Control
9/21/2023 10:33,9/21/2023 10:35,0,15,4,5,5,5,1,60,Prospect
9/21/2023 10:34,9/21/2023 10:36,0,17,2,1,2,2,1,63,Control
9/21/2023 10:35,9/21/2023 10:36,0,7,1,1,3,3,1,72,Prospect
9/21/2023 10:34,9/21/2023 10:36,0,5,2,1,4,4,1,63,Control
9/21/2023 10:34,9/21/2023 10:36,0,8,1,1,1,1,1,65,Control
9/21/2023 10:34,9/21/2023 10:36,0,20,6,6,6,6,1,33,Control
9/21/2023 10:34,9/21/2023 10:36,1,11,1,7,7,7,2,49,Prospect
9/21/2023 10:35,9/21/2023 10:36,1,11,1,7,5,5,2,50,Prospect
9/21/2023 10:35,9/21/2023 10:36,1,11,2,6,5,5,2,45,Prospect
9/21/2023 10:35,9/21/2023 10:36,0,5,4,3,4,4,2,28,Prospect
9/21/2023 10:33,9/21/2023 10:36,0,5,1,1,1,1,2,57,Control
9/21/2023 10:33,9/21/2023 10:36,0,10,1,1,2,2,2,67,Control
9/21/2023 10:35,9/21/2023 10:36,0,11,7,7,7,7,2,24,Control
9/21/2023 10:36,9/21/2023 10:36,0,,,,,,,,
9/21/2023 10:35,9/21/2023 10:36,0,7,6,6,6,6,1,50,Prospect
9/21/2023 10:35,9/21/2023 10:36,0,18,1,1,1,1,2,40,Control
9/21/2023 10:34,9/21/2023 10:36,0,6,1,1,1,1,2,33,Control
9/21/2023 10:34,9/21/2023 10:36,0,21,6,6,6,6,1,37,Prospect
9/21/2023 10:33,9/21/2023 10:36,0,33,1,6,3,2,1,72,Prospect
9/21/2023 10:36,9/21/2023 10:36,0,1,,,,,,,
9/21/2023 10:36,9/21/2023 10:36,0,,,,,,,,
9/21/2023 10:36,9/21/2023 10:36,0,8,2,1,3,2,1,33,Control
9/21/2023 10:34,9/21/2023 10:36,0,15,4,7,7,7,1,59,Prospect
9/21/2023 10:35,9/21/2023 10:36,1,9,2,2,6,6,2,53,Prospect
9/21/2023 10:35,9/21/2023 10:36,0,16,7,7,7,7,2,61,Prospect
9/21/2023 10:35,9/21/2023 10:36,0,5,2,3,3,3,1,33,Prospect
9/21/2023 10:35,9/21/2023 10:36,0,6,2,3,3,3,1,52,Prospect
9/21/2023 10:35,9/21/2023 10:36,0,39,1,1,2,2,1,27,Control
9/21/2023 10:36,9/21/2023 10:36,0,,,,,,,,
9/21/2023 10:34,9/21/2023 10:36,0,11,1,1,1,1,2,34,Control
9/21/2023 10:34,9/21/2023 10:36,0,7,1,1,2,4,2,68,Control
9/21/2023 10:35,9/21/2023 10:36,0,9,2,6,4,4,1,39,Prospect
9/21/2023 10:35,9/21/2023 10:36,0,5,4,3,5,5,2,38,Control
9/21/2023 10:35,9/21/2023 10:36,0,5,1,4,2,2,1,36,Prospect
9/21/2023 10:35,9/21/2023 10:36,0,7,4,4,4,4,2,38,Prospect
9/21/2023 10:34,9/21/2023 10:37,0,29,5,6,6,7,1,33,Control
9/21/2023 10:35,9/21/2023 10:37,0,10,1,2,4,3,1,37,Control
9/21/2023 10:36,9/21/2023 10:37,0,7,1,4,1,1,2,67,Control
9/21/2023 10:35,9/21/2023 10:37,0,16,1,5,2,3,2,59,Prospect
9/21/2023 10:36,9/21/2023 10:37,0,5,7,6,7,6,2,34,Control
9/21/2023 10:36,9/21/2023 10:37,1,8,1,1,2,2,1,51,Prospect
9/21/2023 10:36,9/21/2023 10:37,0,6,4,4,7,7,2,37,Prospect
9/21/2023 10:35,9/21/2023 10:37,0,5,1,1,4,4,2,37,Control
9/21/2023 10:36,9/21/2023 10:37,0,7,2,2,2,3,1,70,Prospect
9/21/2023 10:33,9/21/2023 10:37,0,21,6,7,5,6,1,45,Prospect
9/21/2023 10:35,9/21/2023 10:37,0,10,2,2,3,3,2,64,Control
9/21/2023 10:36,9/21/2023 10:37,0,5,7,7,7,7,1,41,Prospect
9/21/2023 10:35,9/21/2023 10:37,0,7,1,1,3,3,2,63,Control
9/21/2023 10:34,9/21/2023 10:37,0,5,3,3,3,3,2,32,Control
9/21/2023 10:36,9/21/2023 10:37,0,9,2,1,3,3,3,,Prospect
9/21/2023 10:37,9/21/2023 10:37,0,,,,,,,,
9/21/2023 10:36,9/21/2023 10:37,0,6,6,5,5,5,1,32,Control
9/21/2023 10:37,9/21/2023 10:37,0,7,6,5,5,4,1,25,Control
9/21/2023 10:37,9/21/2023 10:37,0,5,5,5,6,6,2,37,Prospect
9/21/2023 10:37,9/21/2023 10:37,0,,,,,,,,
9/21/2023 10:35,9/21/2023 10:37,0,25,5,7,5,6,1,27,Prospect
9/21/2023 10:37,9/21/2023 10:37,0,25,1,1,1,1,1,33,Control
9/21/2023 10:36,9/21/2023 10:38,0,5,7,7,7,7,2,69,Prospect
9/21/2023 10:38,9/21/2023 10:38,0,,,,,,,,
9/21/2023 10:37,9/21/2023 10:38,0,9,7,7,7,7,1,35,Control
9/21/2023 10:35,9/21/2023 10:38,1,7,1,5,4,3,2,55,Prospect
9/21/2023 10:36,9/21/2023 10:38,0,16,5,3,5,5,1,50,Control
9/21/2023 10:34,9/21/2023 10:38,0,13,2,2,3,3,1,42,Control
9/21/2023 10:36,9/21/2023 10:38,0,29,5,6,5,4,2,29,Prospect
9/21/2023 10:37,9/21/2023 10:38,0,8,6,5,5,6,2,33,Prospect
9/21/2023 10:37,9/21/2023 10:38,0,7,7,1,7,7,1,45,Control
9/21/2023 10:37,9/21/2023 10:38,0,12,5,2,5,5,2,34,Prospect
9/21/2023 10:37,9/21/2023 10:38,0,7,1,3,1,1,1,52,Control
9/21/2023 10:37,9/21/2023 10:38,0,6,2,1,1,1,1,30,Control
9/21/2023 10:33,9/21/2023 10:38,0,7,1,4,1,1,1,30,Prospect
9/21/2023 10:36,9/21/2023 10:38,0,13,2,6,3,4,1,32,Prospect
9/21/2023 10:37,9/21/2023 10:38,0,5,1,1,1,1,1,38,Control
9/21/2023 10:38,9/21/2023 10:38,0,,,,,,,,
9/21/2023 10:37,9/21/2023 10:38,0,12,7,7,7,7,2,69,Prospect
9/21/2023 10:34,9/21/2023 10:38,0,12,3,2,2,2,1,53,Control
9/21/2023 10:37,9/21/2023 10:38,0,5,5,5,5,5,1,52,Control
9/21/2023 10:38,9/21/2023 10:38,0,8,5,4,6,6,1,40,Prospect
9/21/2023 10:38,9/21/2023 10:38,0,5,6,5,5,6,1,31,Control
9/21/2023 10:37,9/21/2023 10:39,0,20,6,6,5,5,2,33,Prospect
9/21/2023 10:38,9/21/2023 10:39,0,7,1,6,6,6,1,54,Prospect
9/21/2023 10:38,9/21/2023 10:39,0,18,1,4,1,1,2,58,Control
9/21/2023 10:38,9/21/2023 10:39,0,10,5,5,3,4,1,35,Control
9/21/2023 10:33,9/21/2023 10:39,0,9,5,5,5,5,1,42,Prospect
9/21/2023 10:35,9/21/2023 10:39,0,10,1,1,4,1,2,71,Control
9/21/2023 10:38,9/21/2023 10:39,0,11,6,4,5,6,1,25,Prospect
9/21/2023 10:35,9/21/2023 10:39,0,11,4,4,4,4,1,42,Prospect
9/21/2023 10:37,9/21/2023 10:39,0,9,3,2,2,2,2,37,Control
9/21/2023 10:38,9/21/2023 10:39,0,15,3,2,4,3,2,46,Control
9/21/2023 10:39,9/21/2023 10:39,0,17,2,1,4,4,2,36,Control
9/21/2023 10:38,9/21/2023 10:39,0,7,3,3,2,2,1,52,Control
9/21/2023 10:38,9/21/2023 10:39,1,11,5,6,5,5,1,49,Prospect
9/21/2023 10:37,9/21/2023 10:39,0,13,4,7,5,5,2,38,Prospect
9/21/2023 10:37,9/21/2023 10:40,1,5,1,3,2,2,1,55,Prospect
9/21/2023 10:39,9/21/2023 10:40,0,9,3,1,3,2,1,62,Control
9/21/2023 10:34,9/21/2023 10:40,0,8,5,7,5,6,1,42,Control
9/21/2023 10:39,9/21/2023 10:40,0,5,2,1,1,1,2,31,Control
9/21/2023 10:38,9/21/2023 10:40,0,11,1,7,4,4,1,40,Prospect
9/21/2023 10:39,9/21/2023 10:40,0,16,1,1,1,1,2,30,Control
9/21/2023 10:39,9/21/2023 10:40,1,6,2,5,5,5,2,52,Prospect
9/21/2023 10:39,9/21/2023 10:40,0,6,3,5,4,4,1,36,Prospect
9/21/2023 10:39,9/21/2023 10:40,0,5,5,5,5,4,2,37,Prospect
9/21/2023 10:38,9/21/2023 10:40,0,19,4,3,2,2,1,44,Prospect
9/21/2023 10:38,9/21/2023 10:40,0,26,6,6,6,6,2,48,Prospect
9/21/2023 10:37,9/21/2023 10:40,0,19,1,1,1,1,2,44,Control
9/21/2023 10:39,9/21/2023 10:40,0,15,2,2,1,1,2,33,Prospect
9/21/2023 10:39,9/21/2023 10:40,0,31,1,1,1,3,1,22,Control
9/21/2023 10:39,9/21/2023 10:40,0,5,7,7,7,7,2,36,Control
9/21/2023 10:39,9/21/2023 10:40,0,21,4,5,5,6,1,43,Prospect
9/21/2023 10:39,9/21/2023 10:41,1,20,1,7,1,1,2,50,Prospect
9/21/2023 10:40,9/21/2023 10:41,0,7,4,3,4,5,1,25,Prospect
9/21/2023 10:39,9/21/2023 10:41,0,5,1,1,5,6,2,34,Control
9/21/2023 10:40,9/21/2023 10:41,0,10,1,1,1,1,1,33,Control
9/21/2023 10:38,9/21/2023 10:41,0,5,1,4,2,2,2,57,Prospect
9/21/2023 10:39,9/21/2023 10:41,0,7,1,1,1,1,1,44,Control
9/21/2023 10:40,9/21/2023 10:41,0,5,1,1,4,4,2,69,Control
9/21/2023 10:41,9/21/2023 10:42,0,10,3,5,4,4,1,25,Control
9/21/2023 10:40,9/21/2023 10:42,0,13,6,7,6,6,2,32,Control
9/21/2023 10:34,9/21/2023 10:42,0,7,7,6,7,6,2,45,Control
9/21/2023 10:40,9/21/2023 10:42,0,20,5,4,6,5,2,29,Prospect
9/21/2023 10:37,9/21/2023 10:42,0,8,6,7,6,7,2,38,Control
9/21/2023 10:42,9/21/2023 10:42,0,,,,,,,,
9/21/2023 10:41,9/21/2023 10:42,0,17,2,3,5,4,1,38,Prospect
9/21/2023 10:33,9/21/2023 10:42,0,5,7,7,7,7,2,49,Prospect
9/21/2023 10:41,9/21/2023 10:42,0,10,1,3,1,1,1,34,Prospect
9/21/2023 10:37,9/21/2023 10:42,0,6,5,6,5,6,2,38,Prospect
9/21/2023 10:41,9/21/2023 10:42,0,10,1,7,1,1,2,71,Control
9/21/2023 10:41,9/21/2023 10:42,0,17,3,4,3,2,1,52,Control
9/21/2023 10:35,9/21/2023 10:42,0,7,1,1,1,4,2,55,Control
9/21/2023 10:41,9/21/2023 10:42,0,11,1,1,1,1,2,44,Control
9/21/2023 10:41,9/21/2023 10:42,0,7,5,1,4,4,2,32,Control
9/21/2023 10:39,9/21/2023 10:42,0,8,6,7,5,7,1,31,Prospect
9/21/2023 10:40,9/21/2023 10:42,0,10,6,6,7,7,2,40,Prospect
9/21/2023 10:41,9/21/2023 10:42,0,15,2,4,2,2,1,29,Prospect
9/21/2023 10:41,9/21/2023 10:42,0,5,1,1,2,2,2,38,Control
9/21/2023 10:41,9/21/2023 10:42,0,11,1,1,2,2,2,46,Control
9/21/2023 10:41,9/21/2023 10:42,0,8,5,6,5,5,2,36,Prospect
9/21/2023 10:41,9/21/2023 10:43,0,6,4,4,5,5,1,40,Control
9/21/2023 10:41,9/21/2023 10:43,0,6,1,1,1,1,2,35,Control
9/21/2023 10:41,9/21/2023 10:43,0,42,3,4,3,4,1,24,Control
9/21/2023 10:41,9/21/2023 10:43,0,6,3,7,6,6,1,46,Prospect
9/21/2023 10:40,9/21/2023 10:43,0,17,5,5,5,5,2,39,Prospect
9/21/2023 10:42,9/21/2023 10:43,0,10,3,4,4,4,1,26,Prospect
9/21/2023 10:40,9/21/2023 10:43,0,20,6,7,6,6,2,32,Control
9/21/2023 10:42,9/21/2023 10:43,0,6,6,5,6,6,1,37,Control
9/21/2023 10:42,9/21/2023 10:43,0,6,4,3,4,4,2,32,Control
9/21/2023 10:41,9/21/2023 10:43,0,7,1,5,2,2,1,34,Prospect
