StartDate,EndDate,Attention_check,Trust1,Trust2,Gender,Age,Condition
12/21/2023 12:30,12/21/2023 12:30,,,,,,
12/21/2023 12:30,12/21/2023 12:31,6,7,5,1,32,Control
12/21/2023 12:31,12/21/2023 12:31,7,7,7,1,41,Control
12/21/2023 12:30,12/21/2023 12:32,14,4,4,2,36,Explanation_Prospect
12/21/2023 12:31,12/21/2023 12:32,11,6,4,1,29,Explanation_Prospect
12/21/2023 12:31,12/21/2023 12:32,5,3,4,2,35,Explanation_Prospect
12/21/2023 12:32,12/21/2023 12:32,,,,,,
12/21/2023 12:31,12/21/2023 12:32,14,4,4,1,36,Explanation_Prospect
12/21/2023 12:30,12/21/2023 12:32,35,1,2,1,37,Explanation_Prospect
12/21/2023 12:31,12/21/2023 12:32,9,6,6,2,48,Explanation_Prospect
12/21/2023 12:31,12/21/2023 12:32,28,5,5,1,49,Explanation_Prospect
12/21/2023 12:31,12/21/2023 12:32,6,4,5,1,27,Control
12/21/2023 12:31,12/21/2023 12:32,6,5,5,1,32,Explanation_Prospect
12/21/2023 12:31,12/21/2023 12:32,24,6,6,2,33,Control
12/21/2023 12:31,12/21/2023 12:32,16,3,3,2,47,Control
12/21/2023 12:30,12/21/2023 12:32,9,3,3,2,35,Explanation_Prospect
12/21/2023 12:31,12/21/2023 12:32,9,6,7,2,56,Control
12/21/2023 12:31,12/21/2023 12:32,7,4,4,1,42,Explanation_Prospect
12/21/2023 12:31,12/21/2023 12:32,32,7,7,1,30,Control
12/21/2023 12:32,12/21/2023 12:32,,,,,,
12/21/2023 12:31,12/21/2023 12:32,7,5,5,2,52,Control
12/21/2023 12:32,12/21/2023 12:32,12,6,5,1,30,Explanation_Prospect
12/21/2023 12:32,12/21/2023 12:32,7,1,1,1,32,Explanation_Prospect
12/21/2023 12:31,12/21/2023 12:33,5,7,7,2,32,Explanation_Prospect
12/21/2023 12:32,12/21/2023 12:33,5,6,6,1,56,Control
12/21/2023 12:31,12/21/2023 12:33,12,2,2,1,26,Control
12/21/2023 12:30,12/21/2023 12:33,7,4,3,1,55,Control
12/21/2023 12:31,12/21/2023 12:33,22,6,5,2,35,Explanation_Prospect
12/21/2023 12:32,12/21/2023 12:33,10,7,6,2,34,Control
12/21/2023 12:32,12/21/2023 12:33,16,4,4,2,39,Explanation_Prospect
12/21/2023 12:33,12/21/2023 12:33,6,5,5,1,36,Control
12/21/2023 12:31,12/21/2023 12:33,10,7,7,1,31,Control
12/21/2023 12:32,12/21/2023 12:33,13,5,5,1,63,Explanation_Prospect
12/21/2023 12:32,12/21/2023 12:33,5,4,5,1,48,Control
12/21/2023 12:32,12/21/2023 12:33,10,4,4,2,49,Control
12/21/2023 12:33,12/21/2023 12:34,7,4,4,2,46,Explanation_Prospect
12/21/2023 12:31,12/21/2023 12:34,6,7,6,1,29,Control
12/21/2023 12:33,12/21/2023 12:34,18,1,1,2,58,Explanation_Prospect
12/21/2023 12:33,12/21/2023 12:34,12,5,4,1,40,Control
12/21/2023 12:33,12/21/2023 12:34,8,5,5,1,30,Explanation_Prospect
12/21/2023 12:33,12/21/2023 12:34,5,3,3,1,46,Explanation_Prospect
12/21/2023 12:33,12/21/2023 12:34,21,5,4,2,49,Control
12/21/2023 12:33,12/21/2023 12:34,6,6,6,1,26,Explanation_Prospect
12/21/2023 12:33,12/21/2023 12:34,6,3,3,2,56,Explanation_Prospect
12/21/2023 12:34,12/21/2023 12:34,9,5,5,1,28,Control
12/21/2023 12:34,12/21/2023 12:34,7,7,7,1,45,Control
12/21/2023 12:33,12/21/2023 12:34,5,4,4,2,25,Control
12/21/2023 12:33,12/21/2023 12:34,7,5,5,1,37,Control
12/21/2023 12:33,12/21/2023 12:34,7,3,3,2,35,Control
12/21/2023 12:33,12/21/2023 12:34,9,3,3,2,48,Control
12/21/2023 12:34,12/21/2023 12:34,11,1,1,1,43,Explanation_Prospect
12/21/2023 12:31,12/21/2023 12:34,5,5,4,,54,Explanation_Prospect
12/21/2023 12:33,12/21/2023 12:34,5,3,3,2,75,Explanation_Prospect
12/21/2023 12:33,12/21/2023 12:34,5,1,1,2,33,Explanation_Prospect
12/21/2023 12:34,12/21/2023 12:35,11,4,4,1,31,Explanation_Prospect
12/21/2023 12:35,12/21/2023 12:35,,,,,,
12/21/2023 12:33,12/21/2023 12:35,6,3,3,2,56,Explanation_Prospect
12/21/2023 12:34,12/21/2023 12:35,18,5,5,2,51,Control
12/21/2023 12:34,12/21/2023 12:35,7,3,3,1,55,Explanation_Prospect
12/21/2023 12:31,12/21/2023 12:35,34,6,7,2,30,Control
12/21/2023 12:34,12/21/2023 12:35,12,2,2,2,35,Control
12/21/2023 12:33,12/21/2023 12:35,7,4,4,2,65,Control
12/21/2023 12:34,12/21/2023 12:35,5,6,5,2,35,Control
12/21/2023 12:34,12/21/2023 12:35,7,1,1,2,63,Explanation_Prospect
12/21/2023 12:34,12/21/2023 12:35,16,6,6,2,30,Explanation_Prospect
12/21/2023 12:34,12/21/2023 12:35,7,2,1,1,39,Control
12/21/2023 12:34,12/21/2023 12:35,11,5,5,2,47,Control
12/21/2023 12:33,12/21/2023 12:35,5,1,1,1,56,Explanation_Prospect
12/21/2023 12:33,12/21/2023 12:35,10,5,5,1,70,Control
12/21/2023 12:33,12/21/2023 12:35,12,2,2,2,32,Control
12/21/2023 12:33,12/21/2023 12:35,15,4,4,2,36,Control
12/21/2023 12:34,12/21/2023 12:35,5,4,4,2,36,Explanation_Prospect
12/21/2023 12:34,12/21/2023 12:36,7,4,5,1,29,Control
12/21/2023 12:34,12/21/2023 12:36,5,4,4,1,53,Explanation_Prospect
12/21/2023 12:36,12/21/2023 12:36,,,,,,
12/21/2023 12:34,12/21/2023 12:36,7,3,3,2,39,Explanation_Prospect
12/21/2023 12:35,12/21/2023 12:36,6,3,3,3,38,Control
12/21/2023 12:35,12/21/2023 12:36,14,2,2,2,42,Control
12/21/2023 12:34,12/21/2023 12:36,29,5,6,1,36,Explanation_Prospect
12/21/2023 12:35,12/21/2023 12:36,7,5,4,2,22,Control
12/21/2023 12:35,12/21/2023 12:36,13,1,1,1,39,Explanation_Prospect
12/21/2023 12:36,12/21/2023 12:37,11,2,2,2,38,Control
12/21/2023 12:33,12/21/2023 12:37,5,4,4,2,40,Explanation_Prospect
12/21/2023 12:36,12/21/2023 12:37,5,7,7,1,36,Explanation_Prospect
12/21/2023 12:32,12/21/2023 12:37,12,6,6,1,53,Explanation_Prospect
12/21/2023 12:36,12/21/2023 12:37,9,7,7,2,58,Explanation_Prospect
12/21/2023 12:35,12/21/2023 12:37,15,4,4,2,61,Explanation_Prospect
12/21/2023 12:37,12/21/2023 12:37,9,7,7,2,42,Explanation_Prospect
12/21/2023 12:36,12/21/2023 12:37,16,6,4,1,32,Control
12/21/2023 12:37,12/21/2023 12:37,15,4,4,2,38,Explanation_Prospect
12/21/2023 12:36,12/21/2023 12:37,5,5,5,2,43,Control
12/21/2023 12:36,12/21/2023 12:37,5,1,1,1,30,Control
12/21/2023 12:37,12/21/2023 12:38,12,5,6,1,32,Explanation_Prospect
12/21/2023 12:37,12/21/2023 12:38,6,5,5,2,23,Control
12/21/2023 12:37,12/21/2023 12:38,5,2,2,1,34,Control
12/21/2023 12:37,12/21/2023 12:38,7,6,6,1,27,Explanation_Prospect
12/21/2023 12:38,12/21/2023 12:39,13,3,3,3,,Explanation_Prospect
12/21/2023 12:38,12/21/2023 12:39,5,4,5,2,35,Control
12/21/2023 12:36,12/21/2023 12:39,25,6,6,1,42,Explanation_Prospect
12/21/2023 12:38,12/21/2023 12:39,18,4,4,2,47,Control
12/21/2023 12:31,12/21/2023 12:39,23,4,5,2,27,Control
12/21/2023 12:38,12/21/2023 12:39,10,1,1,2,38,Control
12/21/2023 12:38,12/21/2023 12:39,7,5,6,1,51,Explanation_Prospect
12/21/2023 12:39,12/21/2023 12:39,,,,,,
12/21/2023 12:39,12/21/2023 12:39,8,4,6,1,30,Control
12/21/2023 12:38,12/21/2023 12:39,12,6,7,2,43,Explanation_Prospect
12/21/2023 12:39,12/21/2023 12:39,9,3,3,1,28,Explanation_Prospect
12/21/2023 12:39,12/21/2023 12:40,15,5,6,1,33,Control
12/21/2023 12:39,12/21/2023 12:40,10,4,4,1,34,Control
12/21/2023 12:39,12/21/2023 12:40,19,4,5,2,22,Explanation_Prospect
12/21/2023 12:39,12/21/2023 12:40,9,6,6,2,39,Explanation_Prospect
12/21/2023 12:39,12/21/2023 12:40,10,5,5,1,43,Control
12/21/2023 12:39,12/21/2023 12:40,11,2,2,1,63,Control
12/21/2023 12:37,12/21/2023 12:40,11,3,3,2,31,Control
12/21/2023 12:40,12/21/2023 12:41,13,4,4,2,50,Control
12/21/2023 12:40,12/21/2023 12:41,10,4,4,1,52,Explanation_Prospect
12/21/2023 12:40,12/21/2023 12:41,15,4,5,1,29,Control
12/21/2023 12:36,12/21/2023 12:42,7,7,7,2,40,Explanation_Prospect
12/21/2023 12:41,12/21/2023 12:42,16,4,4,2,58,Explanation_Prospect
12/21/2023 12:41,12/21/2023 12:42,12,2,1,1,42,Control
12/21/2023 12:41,12/21/2023 12:42,10,1,1,2,69,Control
12/21/2023 12:41,12/21/2023 12:42,13,3,3,1,37,Explanation_Prospect
12/21/2023 12:41,12/21/2023 12:42,18,5,5,2,30,Explanation_Prospect
12/21/2023 12:41,12/21/2023 12:42,12,1,1,1,68,Control
12/21/2023 12:41,12/21/2023 12:42,10,5,5,1,44,Explanation_Prospect
12/21/2023 12:40,12/21/2023 12:43,16,6,6,2,30,Explanation_Prospect
12/21/2023 12:40,12/21/2023 12:43,5,5,5,2,58,Explanation_Prospect
12/21/2023 12:43,12/21/2023 12:43,11,4,5,1,36,Explanation_Prospect
12/21/2023 12:42,12/21/2023 12:43,10,2,2,2,44,Control
12/21/2023 12:43,12/21/2023 12:44,13,3,3,1,30,Control
12/21/2023 12:44,12/21/2023 12:44,0,,,,,
12/21/2023 12:44,12/21/2023 12:44,8,4,4,1,48,Control
12/21/2023 12:44,12/21/2023 12:45,5,4,4,1,40,Explanation_Prospect
12/21/2023 12:41,12/21/2023 12:45,13,4,4,1,48,Control
12/21/2023 12:44,12/21/2023 12:45,15,3,3,1,43,Explanation_Prospect
12/21/2023 12:45,12/21/2023 12:45,,,,,,
12/21/2023 12:44,12/21/2023 12:45,7,4,4,2,46,Control
12/21/2023 12:46,12/21/2023 12:46,,,,,,
12/21/2023 12:45,12/21/2023 12:46,6,6,6,2,50,Explanation_Prospect
12/21/2023 12:46,12/21/2023 12:46,16,3,4,1,38,Explanation_Prospect
12/21/2023 12:46,12/21/2023 12:46,,,,,,
12/21/2023 12:46,12/21/2023 12:46,3,,,,,
12/21/2023 12:45,12/21/2023 12:46,14,3,3,3,21,Control
12/21/2023 12:46,12/21/2023 12:46,10,6,6,2,23,Explanation_Prospect
12/21/2023 12:45,12/21/2023 12:46,6,2,2,1,22,Control
12/21/2023 12:46,12/21/2023 12:47,5,5,5,2,48,Explanation_Prospect
12/21/2023 12:33,12/21/2023 12:47,20,4,4,1,27,Control
12/21/2023 12:46,12/21/2023 12:47,0,,,,,
12/21/2023 12:46,12/21/2023 12:47,6,4,4,2,36,Explanation_Prospect
12/21/2023 12:47,12/21/2023 12:47,9,2,2,2,53,Control
12/21/2023 12:47,12/21/2023 12:48,13,6,5,2,36,Control
12/21/2023 12:47,12/21/2023 12:48,3,,,,,
12/21/2023 12:46,12/21/2023 12:48,11,2,2,2,39,Explanation_Prospect
12/21/2023 12:47,12/21/2023 12:48,12,4,4,1,46,Explanation_Prospect
12/21/2023 12:47,12/21/2023 12:48,5,6,6,2,25,Control
12/21/2023 12:48,12/21/2023 12:48,5,5,5,1,31,Control
12/21/2023 12:47,12/21/2023 12:49,5,4,4,2,55,Explanation_Prospect
12/21/2023 12:49,12/21/2023 12:49,0,,,,,
12/21/2023 12:44,12/21/2023 12:49,0,,,,,
12/21/2023 12:48,12/21/2023 12:50,19,4,4,2,22,Explanation_Prospect
12/21/2023 12:46,12/21/2023 12:50,8,6,5,2,45,Explanation_Prospect
12/21/2023 12:48,12/21/2023 12:50,5,5,5,1,43,Control
12/21/2023 12:49,12/21/2023 12:50,5,5,6,2,35,Explanation_Prospect
12/21/2023 12:49,12/21/2023 12:50,6,6,6,1,68,Control
12/21/2023 12:48,12/21/2023 12:50,14,5,6,2,57,Explanation_Prospect
12/21/2023 12:44,12/21/2023 12:50,8,4,6,1,33,Explanation_Prospect
12/21/2023 12:49,12/21/2023 12:50,5,3,3,2,39,Control
12/21/2023 12:49,12/21/2023 12:50,8,3,3,1,67,Control
12/21/2023 12:50,12/21/2023 12:51,9,2,2,1,29,Explanation_Prospect
12/21/2023 12:50,12/21/2023 12:51,5,4,4,2,24,Control
12/21/2023 12:46,12/21/2023 12:51,15,7,7,1,51,Control
12/21/2023 12:50,12/21/2023 12:51,14,2,2,1,39,Explanation_Prospect
12/21/2023 12:51,12/21/2023 12:51,10,3,2,1,21,Control
12/21/2023 12:51,12/21/2023 12:51,15,5,5,1,41,Control
12/21/2023 12:44,12/21/2023 12:52,17,7,7,1,26,Control
12/21/2023 12:51,12/21/2023 12:52,5,5,5,2,52,Explanation_Prospect
12/21/2023 12:51,12/21/2023 12:52,13,5,4,1,34,Control
12/21/2023 12:52,12/21/2023 12:52,0,,,,,
12/21/2023 12:51,12/21/2023 12:52,5,4,4,1,47,Control
12/21/2023 12:52,12/21/2023 12:52,5,3,3,2,51,Control
12/21/2023 12:50,12/21/2023 12:52,11,5,4,1,24,Explanation_Prospect
12/21/2023 12:50,12/21/2023 12:52,5,1,1,2,59,Explanation_Prospect
12/21/2023 12:51,12/21/2023 12:52,9,2,2,2,49,Explanation_Prospect
12/21/2023 12:52,12/21/2023 12:53,6,1,1,2,73,Control
12/21/2023 12:52,12/21/2023 12:53,9,3,3,1,29,Explanation_Prospect
12/21/2023 12:53,12/21/2023 12:53,,,,,,
12/21/2023 12:53,12/21/2023 12:53,,,,,,
12/21/2023 12:47,12/21/2023 12:53,12,6,5,1,27,Explanation_Prospect
12/21/2023 12:51,12/21/2023 12:53,5,3,3,1,63,Control
12/21/2023 12:53,12/21/2023 12:54,5,1,1,1,45,Control
12/21/2023 12:52,12/21/2023 12:54,18,6,6,1,30,Explanation_Prospect
12/21/2023 12:53,12/21/2023 12:54,5,2,2,1,37,Explanation_Prospect
12/21/2023 12:53,12/21/2023 12:54,17,4,3,1,60,Control
12/21/2023 12:53,12/21/2023 12:54,4,,,,,
12/21/2023 12:53,12/21/2023 12:54,18,6,6,1,48,Explanation_Prospect
12/21/2023 12:54,12/21/2023 12:55,12,3,3,1,39,Control
12/21/2023 12:54,12/21/2023 12:55,5,3,3,2,40,Control
12/21/2023 12:54,12/21/2023 12:55,11,1,1,1,45,Explanation_Prospect
12/21/2023 12:54,12/21/2023 12:55,59,6,6,1,38,Control
12/21/2023 12:54,12/21/2023 12:55,15,4,4,2,38,Explanation_Prospect
12/21/2023 12:55,12/21/2023 12:56,20,5,4,1,52,Explanation_Prospect
12/21/2023 12:55,12/21/2023 12:57,11,5,5,2,46,Control
12/21/2023 12:55,12/21/2023 12:57,11,5,5,2,70,Control
12/21/2023 12:56,12/21/2023 12:57,10,1,1,1,36,Control
12/21/2023 12:56,12/21/2023 12:57,5,7,7,2,27,Explanation_Prospect
12/21/2023 12:55,12/21/2023 12:57,24,4,4,2,35,Explanation_Prospect
12/21/2023 12:56,12/21/2023 12:57,7,4,4,2,36,Control
12/21/2023 12:56,12/21/2023 12:58,7,5,6,2,31,Explanation_Prospect
12/21/2023 12:57,12/21/2023 12:58,23,4,3,1,38,Explanation_Prospect
12/21/2023 12:57,12/21/2023 12:58,5,4,4,1,63,Explanation_Prospect
12/21/2023 12:57,12/21/2023 12:58,13,4,4,2,54,Control
12/21/2023 13:00,12/21/2023 13:01,10,4,3,2,34,Control
12/21/2023 13:00,12/21/2023 13:02,34,5,5,2,33,Control
12/21/2023 13:01,12/21/2023 13:03,12,1,1,2,55,Explanation_Prospect
12/21/2023 13:02,12/21/2023 13:03,8,4,4,2,47,Explanation_Prospect
12/21/2023 13:02,12/21/2023 13:03,9,7,7,2,55,Control
12/21/2023 13:03,12/21/2023 13:04,20,4,4,2,48,Explanation_Prospect
12/21/2023 13:02,12/21/2023 13:04,25,5,5,1,32,Control
12/21/2023 13:03,12/21/2023 13:05,15,4,4,1,53,Control
