Variable_Name,Average_Human_Response,Question,Average_LLM_Response
polviews,4.086482349564719,"We hear a lot of talk these days about liberals and conservatives. I'm going to show you a seven-point scale on which the political views that people might hold are arranged from extremely liberal--point 1--to extremely conservative--point 7. Where would you place yourself on this scale? Choices: 1-Extremely liberal, 2-Liberal, 3-Slightly liberal, 4-Moderate, middle of the road, 5-Slightly conservative, 6-Conservative, 7-Extremely conservative",4.0
natsoc,1.4773302161582094,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? M. Social Security Choices: 1-TOO LITTLE, 2-ABOUT RIGHT, 3-TOO MUCH",2.1666666666666665
natchld,1.4961856841421848,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)?
P. Assistance for childcare Choices: 1-TOO LITTLE, 2-ABOUT RIGHT, 3-TOO MUCH",1.1666666666666667
natsci,1.6880855715178014,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? Q. Supporting scientific research Choices: 1-TOO LITTLE, 2-ABOUT RIGHT, 3-TOO MUCH",2.0
equal4,2.3458856345885635,"It is the responsibility of government to meet everyone's needs, even in case of sickness, poverty, unemployment, and old age. Choices: 1-STRONGLY AGREE, 2-SOMEWHAT AGREE, 3-SOMEWHT DISAGREE, 4-STRNGLY DISAGREE",1.3333333333333333
eqwlth,3.293753682969947,"Some people think that the government in Washington ought to reduce the income differences between the rich and the poor, perhaps by raising the taxes of wealthy families or by giving income assistance to the poor. Others think that the government should not concern itself with reducing this income difference between the rich and the poor. Here is a card with a scale from 1 to 7. Think of a score of 1 as meaning that the government ought to reduce the income differences between rich and poor, and a score of 7 meaning that the government should not concern itself with reducing income differences. What score between 1 and 7 comes closest to the way you feel? (CIRCLE ONE): Choices: 1-The government should reduce income differences, 7-The government should not concern itself with reducing income differences",1.5
libhomo,1.6929499072356216,"If some people in your community suggested that a book he wrote in favor of homosexuality should be taken out of your public library, would you favor removing this book, or not? Choices: 1-REMOVE, 2-NOT REMOVE",2.0
gunlaw,1.2471691473285444,"Would you favor or oppose a law which would require a person to obtain a police permit before he or she could buy a gun Choices: 1-FAVOR, 2-OPPOSE",1.3333333333333333
lawimp,1.7169042769857434,"How important is the law enforcement issue to you--would you say it is one of the most important, important, not very important, or not important at all? Choices: 1-ONE OF MOST IMP, 2-IMPORTANT, 3-NOT VERY IMP, 4-NOT IMPORTANT",2.0
grass,1.67229563733223,"Do you think the use of marijuana should be made legal or not? Choices: 1-Should be legal, 2-Should not be legal",1.0
