Variable_Name,Average_Human_Response,Question
natsci,1.6880855715178014,"Are we spending too much, too little, or about the right amount on supporting scientific research? Choices: 1-TOO LITTLE, 2-ABOUT RIGHT, 3-TOO MUCH"
spkath,1.2751615881809788,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion . . . . If such a person wanted to make a speech in your (city/town/community) against churches and religion, should he be allowed to speak, or not? Choices: 1-ALLOWED, 2-NOT ALLOWED"
colath,4.44328125,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion . . . . Should such a person be allowed to teach in a college or university, or not? Choices: 1-Yes, allowed to teach, 2-Not allowed, 4-ALLOWED, 5-NOT ALLOWED"
colrac,4.557715644270536,"Consider a person who believes that Blacks are genetically inferior....Should such a person be allowed to teach in a college or university, or not? Choices: 1-Yes, allowed to teach, 2-Not allowed, 4-ALLOWED, 5-NOT ALLOWED"
libhomo,1.6929499072356216,"If some people in your community suggested that a book he wrote in favor of homosexuality should be taken out of your public library, would you favor removing this book, or not? Choices: 1-REMOVE, 2-NOT REMOVE"
capfirm,3.204301075268817,"How firm are you about your opinion on the death penalty--would you say you are very likely to change your opinion, somewhat likely to change, somewhat unlikely to change, or very unlikely to change?  Choices: 1-CHANGE VERY LIKELY, 2-SOMEWHAT LIKELY, 3-SOMEWHAT UNLIKELY, 4-CHANGE VERY UNLIKELY"
confinan,1.9646764959437653,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?  Banks and financial institutions. Choices: 1-A GREAT DEAL, 2-ONLY SOME, 3-HARDLY ANY"
conbus,1.9345507638918278,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? Major companies. Choices: 1-A GREAT DEAL, 2-ONLY SOME, 3-HARDLY ANY"
conclerg,1.9648171207868133,"I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them? Organized religion.  Choices: 1-A GREAT DEAL, 2-ONLY SOME, 3-HARDLY ANY"
socbar,5.595150812064965,"Would you tell me which answer comes closest to how often you do the following things… Go to a bar or tavern? Choices: 1-ALMOST DAILY, 2-SEV TIMES A WEEK, 3-SEV TIMES A MNTH, 4-ONCE A MONTH, 5-SEV TIMES A YEAR, 6-ONCE A YEAR, 7-NEVER"
aged,1.7055114605741415,"As you know, many older people share a home with their grown children. Do you think this is generally a good idea or a bad idea? Choices: 1-A GOOD IDEA, 2-A BAD IDEA, 3-DEPENDS"
anomia1,1.6811561729778177,"Now I'm going to read you several more statements. Some people agree with a statement, others disagree. As I read each one, tell me whether you more or less agree with it, or more or less disagree. Next to health, money is the most important thing in life. Choices: 1-AGREE, 2-DISAGREE"
anomia3,1.7527422303473492,"Now I'm going to read you several more statements. Some people agree with a statement, others disagree. As I read each one, tell me whether you more or less agree with it, or more or less disagree. To make money, there are no right and wrong ways any more, only easy and hard ways. Choices: 1-AGREE, 2-DISAGREE"
anomia4,1.5517861154796675,"Nowadays, a person has to live pretty much for today and let tomorrow take care of itself. Do you more or less agree with that, or more or less disagree? Choices: 1-AGREE, 2-DISAGREE"
abnomore,1.5455188982796344,"Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if she is married and does not want any more children? Choices: 1-YES, 2-NO"
chldidel,7.0,What do you think is the ideal number of children for a family to have? Choices: 7-7 or more
pillok,2.289655844788925,"Do you strongly agree, agree, disagree, or strongly disagree that methods of birth control should be available to teenagers between the ages of 14 and 16 if their parents do not approve? Choices: 1-STRONGLY AGREE, 2-AGREE, 3-DISAGREE, 4-STRONGLY DISAGREE"
fear,1.6070859090015508,"Is there any area right around here--that is, within a mile--where you would be afraid to walk alone at night? Choices: 1-YES, 2-NO"
helpblk,3.4976317347542927,"Some people think that (Blacks/Negroes/African-Americans) have been discriminated against for so long that the government has a special obligation to help improve their living standards. Others believe that the 
government should not be giving special treatment to (Blacks/Negroes/African-Americans). Where would you place yourself on this scale? Choices: 1-Government should help, 3-Agree with both, 5-No special treatment"
