Variable_Name,Average_Human_Response,Question
helppoor,2.791745248803134,"I'd like to talk with you about issues some people tell us are important. Please look at CARD BC. Some people think that the government in Washington should do everything possible to improve the standard of living of all poor Americans; they are at Point 1 on this card. Other people think it is not the government's responsibility, and that each person should take care of himself; they are at Point 5.
A. Where would you place yourself on this scale, or haven't you have up your mind on this? Choices: 1-GOVT ACTION, 3-AGREE WITH BOTH, 5-PEOPLE HELP SELVES"
helpsick,2.3557248470747174,"In general, some people think that it is the responsibility of the government in Washington to see to it that people have help in paying for doctors and hospital bills. Others think that these matters are not the responsibility of the federal government and that people should take care of these things themselves. A. Where would you place yourself on this scale, or haven't you made up your mind on this? Choices: 1-GOVT SHOULD HELP, 3-AGREE WITH BOTH, 5-PEOPLE HELP SELVES"
helpblk,3.4976317347542927,"Now look at CARD BF. Some people think that (Blacks/Negroes/African-Americans) have been discriminated against for so long that the government has a special obligation to help improve their living standards. Others believe that the government should not be giving special treatment to (Blacks/Negroes/African-Americans). A. Where would you place yourself on this scale, or haven't you made up your mind on this? Choices: 1-Government should help, 3-Agree with both, 5-No special treatment"
punsin,2.5806613226452906,"Please consider the following statements and tell me whether you agree strongly, agree somewhat, disagree somewhat or disagree strongly with each statement. A. Those who violate God's rules must be punished. Choices: 1-AGREE STRONGLY, 2-AGREE SOMEWHAT, 3-DISAGREE SOMEWHAT, 4-DISAGREE STRONGLY"
blkwhite,1.7956924557814944,"Please consider the following statements and tell me whether you agree strongly, agree somewhat, disagree somewhat or disagree strongly with each statement. B. Right and wrong are not usually a simple matter of black and white; there are many shades of gray. Choices: 1-AGREE STRONGLY, 2-AGREE SOMEWHAT, 3-DISAGREE SOMEWHAT, 4-DISAGREE STRONGLY"
rotapple,2.2674516400336415,"Please consider the following statements and tell me whether you agree strongly, agree somewhat, disagree somewhat or disagree strongly with each statement. C. Immoral actions by one person can corrupt society in general. Choices: 1-AGREE STRONGLY, 2-AGREE SOMEWHAT, 3-DISAGREE SOMEWHAT, 4-DISAGREE STRONGLY"
marhisp,2.6438175452838806,"What about having a close relative marry a Jewish person? Would you be very in favor of it happening, somewhat In favor, neither in favor nor opposed to it happening, somewhat opposed, or very opposed to it happening? D. An Hispanic American person? Choices: 1-STRONGLY FAVOR, 2-FAVOR, 3-NEITHER FAVOR NOR OPPOSE, 4-OPPOSE, 5-STRONGLY OPPOSE"
discaff,2.2336849294278345,"What do you think the chances are these days that a white person won't get a job or promotion while an equally or less qualified black person gets one instead? Is this very likely, somewhat likely, or not very likely to happen these days? Choices: 1-Very likely, 2-Somewhat likely, 3-Not very likely, 4-Very unlikely"
wrkindep,1.8255555555555556,"How true would you say each of the following statements is about your job?  Would you say very true, true, somewhat true, or not true at all: 
A.I can work independently. Choices: 1-VERY TRUE, 2-TRUE, 3-SOMEWHAT TRUE, 4-NOT TRUE AT ALL"
gvtmelt,1.7848605577689243,"Some people say that it is better for America if different racial and ethnic groups maintain their distinct cultures. Others say that it is better if groups change so that they blend into the larger society as in the idea of a melting pot. Here is a card with a scale from 1 to 7. Think of a score of 1 as meaning that racial and ethnic groups should maintain their distinct cultures, and a score of 7 as meaning that groups should change so that they blend into the larger society. What score between 1 and 7 comes closest to the way you feel? (CIRCLE ONE): B. Should it be up to the government to help racial and ethnic groups change so that they blend into the larger society, or should this be left up to the groups themselves? Choices: 1-GOVT TO HELP, 2-LEFT UP TO GROUPS"
immecon,2.813970588235294,"What do you think will happen as a result of more immigrants coming to this country? Is each of these possible results very likely, somewhat likely, not too likely, or not at all likely? A. Higher economic growth. Choices: 1-VERY LIKELY, 2-SOMEWHAT LIKELY, 3-NOT SO LIKELY, 4-NOT AT ALL LIKELY"
