ParticipantID,Age,Gender,Race,Response
ece08dcc-8b4a-4a99-ba50-796ac7b56383,31,Male,Black,"{
  ""Q1"": 4,
  ""Q2"": 5,
  ""Q3"": 6,
  ""Q4"": ""I think of organic food as a healthier option compared to non-organic food."",
  ""Q5"": 5,
  ""Q6"": ""Cost is a barrier that prevents me from buying organic food."",
  ""Q7"": ""Elders may view organic food as a trendy or unnecessary expense.""
}"
6161d2c1-a1f2-4864-87e6-466860bfa709,26,Male,Indigenous,"{
  ""Q1"": 4,
  ""Q2"": 5,
  ""Q3"": 6,
  ""Q4"": ""I think of organic food as a healthier and more sustainable option compared to non-organic food."",
  ""Q5"": 5,
  ""Q6"": ""Cost is a barrier that prevents me from buying organic food on a regular basis."",
  ""Q7"": ""Elders in my community view organic food as a return to traditional and natural ways of consuming food.""
}"
732df516-1425-477a-afbe-af3e1bbf65d6,22,Male,White,"{
  ""Q1"": 5,
  ""Q2"": 6,
  ""Q3"": 4,
  ""Q4"": ""I think of organic food as a healthier and more sustainable option compared to conventional food."",
  ""Q5"": 5,
  ""Q6"": ""The main barriers preventing me from buying organic food are the higher cost compared to non-organic options and limited availability in my area."",
  ""Q7"": ""Elders may think of organic food as a newer trend that they are not as familiar with, but some may also see it as a healthier choice for themselves and their families.""
}"
1a1c77b1-f622-476a-b38c-6013447f77ad,26,Male,White,"{
  ""Q1"": 4,
  ""Q2"": 6,
  ""Q3"": 5,
  ""Q4"": ""I think of organic food as a healthier option compared to non-organic."",
  ""Q5"": 6,
  ""Q6"": ""The barriers that prevent me from buying organic food include higher cost and limited availability in my area."",
  ""Q7"": ""Elders may view organic food as a new trend or fad that is not necessary for their diet.""
}"
1e69ea17-e894-43cc-8126-ae0811042c76,24,Male,Black,"{
  ""Q1"": 4,
  ""Q2"": 5,
  ""Q3"": 6,
  ""Q4"": ""I think of organic food as a healthier option compared to non-organic."",
  ""Q5"": 5,
  ""Q6"": ""The high cost of organic food is a barrier for me."",
  ""Q7"": ""Elders may view organic food as a trend or unnecessary expense.""
}"
b55cc6bd-6730-4792-be02-cc86b7adc600,25,Female,White,"{
  ""Q1"": 5,
  ""Q2"": 6,
  ""Q3"": 4,
  ""Q4"": ""I think of organic food as a healthier and more environmentally friendly option compared to conventional products."",
  ""Q5"": 5,
  ""Q6"": ""The main barrier for me is the higher cost of organic food compared to non-organic options."",
  ""Q7"": ""Elders may view organic food as a newer trend or unnecessary expense, depending on their beliefs and values.""
}"
598f8a9a-4a7f-499c-ae82-8268f343fe7e,22,Female,Latino,"{
  ""Q1"": 5,
  ""Q2"": 6,
  ""Q3"": 4,
  ""Q4"": ""I think of organic food as a healthier and more environmentally friendly option."",
  ""Q5"": 6,
  ""Q6"": ""The higher cost of organic food compared to non-organic options is a barrier for me."",
  ""Q7"": ""Elders may view organic food as a new trend or unnecessary expense.""
}"
b8456393-ccdc-4423-8062-385801562e58,24,Female,Latino,"{
  ""Q1"": 5,
  ""Q2"": 6,
  ""Q3"": 4,
  ""Q4"": ""I think of organic food as healthier and better for the environment."",
  ""Q5"": 5,
  ""Q6"": ""The high cost of organic food is a barrier for me."",
  ""Q7"": ""Elders may see organic food as a new trend or unnecessary expense.""
}"
86f148b6-79fc-491e-8d19-b75fec0c5647,44,Female,Asian,"{
  ""Q1"": 4,
  ""Q2"": 5,
  ""Q3"": 6,
  ""Q4"": ""I think of organic food as a healthier option compared to non-organic food."",
  ""Q5"": 5,
  ""Q6"": ""The higher cost of organic food compared to non-organic options is a barrier for me."",
  ""Q7"": ""Elders may view organic food as a trendy or unnecessary expense.""
}"
84c268ec-2db6-427a-817b-a196766eaabe,51,Male,Black,"{
  ""Q1"": 4,
  ""Q2"": 5,
  ""Q3"": 6,
  ""Q4"": ""I think of organic food as healthier and better for the environment."",
  ""Q5"": 5,
  ""Q6"": ""Cost and availability are barriers that prevent me from buying organic food."",
  ""Q7"": ""Elders may see organic food as a luxury or unnecessary expense.""
}"
a8a333ca-36b8-4ce1-b5c0-9811092a908c,55,Male,Asian,"{
  ""Q1"": 5,
  ""Q2"": 6,
  ""Q3"": 4,
  ""Q4"": ""I think of organic food as healthier and better for the environment."",
  ""Q5"": 6,
  ""Q6"": ""The higher cost of organic food is a barrier for me."",
  ""Q7"": ""Elders may view organic food as a trend or unnecessary expense.""
}"
c986ad76-3858-4e8d-b812-d4b6b6ad4c7a,35,Female,Black,"{
  ""Q1"": 4,
  ""Q2"": 5,
  ""Q3"": 6,
  ""Q4"": ""I think of organic food as healthier and better for the environment."",
  ""Q5"": 5,
  ""Q6"": ""The main barrier for me is the higher cost of organic food compared to non-organic options."",
  ""Q7"": ""Elders may view organic food as a newer trend or unnecessary expense.""
}"
61ea8a6b-57b8-4d91-af96-0aeb30044df4,53,Male,Asian,"{
  ""Q1"": 5,
  ""Q2"": 6,
  ""Q3"": 4,
  ""Q4"": ""I think of organic food as a healthier option compared to non-organic products."",
  ""Q5"": 4,
  ""Q6"": ""The higher cost of organic food and limited availability in my area are barriers that prevent me from buying organic food."",
  ""Q7"": ""Elders may view organic food as a new and trendy concept, but some may also see it as a return to traditional and natural ways of eating.""
}"
